time,step,epoch,phase,metric,value,task,model,eps
2025-11-29 08:25:26,1,0.00018264840182648402,train,loss,1.334,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:26,1,0.00018264840182648402,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:26,1,0.00018264840182648402,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:27,2,0.00036529680365296805,train,loss,1.793,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:27,2,0.00036529680365296805,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:27,2,0.00036529680365296805,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:28,3,0.000547945205479452,train,loss,1.7998,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:28,3,0.000547945205479452,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:28,3,0.000547945205479452,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:30,4,0.0007305936073059361,train,loss,2.166,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:30,4,0.0007305936073059361,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:30,4,0.0007305936073059361,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:31,5,0.0009132420091324201,train,loss,1.3125,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:31,5,0.0009132420091324201,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:31,5,0.0009132420091324201,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:32,6,0.001095890410958904,train,loss,1.4854,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:32,6,0.001095890410958904,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:32,6,0.001095890410958904,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:33,7,0.0012785388127853881,train,loss,1.4023,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:33,7,0.0012785388127853881,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:33,7,0.0012785388127853881,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:34,8,0.0014611872146118722,train,loss,1.6562,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:34,8,0.0014611872146118722,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:34,8,0.0014611872146118722,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:35,9,0.0016438356164383563,train,loss,2.4551,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:35,9,0.0016438356164383563,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:35,9,0.0016438356164383563,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:36,10,0.0018264840182648401,train,loss,2.0508,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:36,10,0.0018264840182648401,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:36,10,0.0018264840182648401,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:38,11,0.002009132420091324,train,loss,1.7539,SQuAD,opt-1.3b,0.001
2025-11-29 08:25:38,11,0.002009132420091324,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
