time,step,epoch,phase,metric,value,task,model,eps
2025-12-03 08:18:50,1,0.00018264840182648402,train,loss,1.3818,SQuAD,opt-1.3b,0.002154
2025-12-03 08:18:50,1,0.00018264840182648402,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:18:50,1,0.00018264840182648402,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:18:55,2,0.00036529680365296805,train,loss,2.0801,SQuAD,opt-1.3b,0.002154
2025-12-03 08:18:55,2,0.00036529680365296805,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:18:55,2,0.00036529680365296805,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:00,3,0.000547945205479452,train,loss,1.8643,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:00,3,0.000547945205479452,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:00,3,0.000547945205479452,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:05,4,0.0007305936073059361,train,loss,2.1562,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:05,4,0.0007305936073059361,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:05,4,0.0007305936073059361,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:11,5,0.0009132420091324201,train,loss,1.3154,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:11,5,0.0009132420091324201,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:11,5,0.0009132420091324201,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:16,6,0.001095890410958904,train,loss,1.5449,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:16,6,0.001095890410958904,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:16,6,0.001095890410958904,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:21,7,0.0012785388127853881,train,loss,1.5098,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:21,7,0.0012785388127853881,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:21,7,0.0012785388127853881,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:26,8,0.0014611872146118722,train,loss,1.75,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:26,8,0.0014611872146118722,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:26,8,0.0014611872146118722,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:31,9,0.0016438356164383563,train,loss,2.5156,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:31,9,0.0016438356164383563,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:31,9,0.0016438356164383563,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:35,10,0.0018264840182648401,train,loss,2.3984,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:35,10,0.0018264840182648401,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:35,10,0.0018264840182648401,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:41,11,0.002009132420091324,train,loss,1.8691,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:41,11,0.002009132420091324,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:41,11,0.002009132420091324,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:46,12,0.002191780821917808,train,loss,2.2012,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:46,12,0.002191780821917808,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:46,12,0.002191780821917808,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:52,13,0.002374429223744292,train,loss,2.0469,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:52,13,0.002374429223744292,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:52,13,0.002374429223744292,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:57,14,0.0025570776255707762,train,loss,1.5928,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:57,14,0.0025570776255707762,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:19:57,14,0.0025570776255707762,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:02,15,0.0027397260273972603,train,loss,1.6318,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:02,15,0.0027397260273972603,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:02,15,0.0027397260273972603,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:07,16,0.0029223744292237444,train,loss,1.4111,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:07,16,0.0029223744292237444,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:07,16,0.0029223744292237444,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:12,17,0.0031050228310502285,train,loss,2.2266,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:12,17,0.0031050228310502285,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:12,17,0.0031050228310502285,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:17,18,0.0032876712328767125,train,loss,2.4531,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:17,18,0.0032876712328767125,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:17,18,0.0032876712328767125,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:22,19,0.003470319634703196,train,loss,2.375,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:22,19,0.003470319634703196,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.002154
2025-12-03 08:20:22,19,0.003470319634703196,train,epoch,0.0,SQuAD,opt-1.3b,0.002154
