time,step,epoch,phase,metric,value,task,model,eps
2025-11-17 16:05:10,1,0.00018691588785046728,train,loss,8.1562,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:10,1,0.00018691588785046728,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:10,1,0.00018691588785046728,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:11,2,0.00037383177570093456,train,loss,8.8047,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:11,2,0.00037383177570093456,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:11,2,0.00037383177570093456,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:13,3,0.0005607476635514019,train,loss,7.2188,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:13,3,0.0005607476635514019,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:13,3,0.0005607476635514019,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:14,4,0.0007476635514018691,train,loss,7.6719,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:14,4,0.0007476635514018691,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:14,4,0.0007476635514018691,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:15,5,0.0009345794392523365,train,loss,7.8359,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:15,5,0.0009345794392523365,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:15,5,0.0009345794392523365,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:16,6,0.0011214953271028037,train,loss,7.6836,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:16,6,0.0011214953271028037,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:16,6,0.0011214953271028037,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:17,7,0.001308411214953271,train,loss,7.9453,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:17,7,0.001308411214953271,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:17,7,0.001308411214953271,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:19,8,0.0014953271028037382,train,loss,6.9062,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:19,8,0.0014953271028037382,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:19,8,0.0014953271028037382,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:20,9,0.0016822429906542056,train,loss,8.4531,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:20,9,0.0016822429906542056,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:20,9,0.0016822429906542056,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:21,10,0.001869158878504673,train,loss,8.3438,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:21,10,0.001869158878504673,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:21,10,0.001869158878504673,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:23,11,0.00205607476635514,train,loss,7.8398,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:23,11,0.00205607476635514,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:23,11,0.00205607476635514,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:24,12,0.0022429906542056075,train,loss,7.9844,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:24,12,0.0022429906542056075,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:24,12,0.0022429906542056075,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:25,13,0.002429906542056075,train,loss,7.9922,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:25,13,0.002429906542056075,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:25,13,0.002429906542056075,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:27,14,0.002616822429906542,train,loss,7.2188,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:27,14,0.002616822429906542,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:27,14,0.002616822429906542,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:27,15,0.002803738317757009,train,loss,6.6602,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:27,15,0.002803738317757009,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:27,15,0.002803738317757009,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:28,16,0.0029906542056074765,train,loss,7.3672,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:28,16,0.0029906542056074765,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:28,16,0.0029906542056074765,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:30,17,0.003177570093457944,train,loss,7.9766,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:30,17,0.003177570093457944,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:30,17,0.003177570093457944,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:31,18,0.0033644859813084112,train,loss,7.8281,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:31,18,0.0033644859813084112,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:31,18,0.0033644859813084112,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:34,19,0.0035514018691588786,train,loss,8.75,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:34,19,0.0035514018691588786,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:34,19,0.0035514018691588786,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:35,20,0.003738317757009346,train,loss,7.3867,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:35,20,0.003738317757009346,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:35,20,0.003738317757009346,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:36,21,0.003925233644859813,train,loss,6.7188,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:36,21,0.003925233644859813,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:36,21,0.003925233644859813,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:37,22,0.00411214953271028,train,loss,7.1406,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:37,22,0.00411214953271028,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:37,22,0.00411214953271028,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:38,23,0.004299065420560748,train,loss,7.4219,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:38,23,0.004299065420560748,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:38,23,0.004299065420560748,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:39,24,0.004485981308411215,train,loss,8.5469,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:39,24,0.004485981308411215,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:39,24,0.004485981308411215,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:41,25,0.004672897196261682,train,loss,7.0586,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:41,25,0.004672897196261682,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:41,25,0.004672897196261682,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:42,26,0.00485981308411215,train,loss,7.375,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:42,26,0.00485981308411215,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:42,26,0.00485981308411215,train,epoch,0.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:43,27,0.005046728971962617,train,loss,7.6719,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:43,27,0.005046728971962617,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:43,27,0.005046728971962617,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:44,28,0.005233644859813084,train,loss,8.1641,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:44,28,0.005233644859813084,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:44,28,0.005233644859813084,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:45,29,0.005420560747663551,train,loss,7.0703,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:45,29,0.005420560747663551,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:45,29,0.005420560747663551,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:46,30,0.005607476635514018,train,loss,6.8438,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:46,30,0.005607476635514018,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:46,30,0.005607476635514018,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:47,31,0.005794392523364486,train,loss,6.9688,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:47,31,0.005794392523364486,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:47,31,0.005794392523364486,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:49,32,0.005981308411214953,train,loss,7.957,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:49,32,0.005981308411214953,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:49,32,0.005981308411214953,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:50,33,0.006168224299065421,train,loss,9.2656,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:50,33,0.006168224299065421,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:50,33,0.006168224299065421,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:51,34,0.006355140186915888,train,loss,8.1094,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:51,34,0.006355140186915888,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:51,34,0.006355140186915888,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:52,35,0.0065420560747663555,train,loss,7.4609,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:52,35,0.0065420560747663555,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:52,35,0.0065420560747663555,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:54,36,0.0067289719626168224,train,loss,6.8398,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:54,36,0.0067289719626168224,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:54,36,0.0067289719626168224,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:55,37,0.006915887850467289,train,loss,7.2383,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:55,37,0.006915887850467289,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:55,37,0.006915887850467289,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:56,38,0.007102803738317757,train,loss,6.7852,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:56,38,0.007102803738317757,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:56,38,0.007102803738317757,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:58,39,0.007289719626168224,train,loss,7.7109,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:58,39,0.007289719626168224,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:58,39,0.007289719626168224,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:59,40,0.007476635514018692,train,loss,7.9766,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:59,40,0.007476635514018692,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:05:59,40,0.007476635514018692,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:00,41,0.007663551401869159,train,loss,7.7656,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:00,41,0.007663551401869159,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:00,41,0.007663551401869159,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:01,42,0.007850467289719627,train,loss,7.5586,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:01,42,0.007850467289719627,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:01,42,0.007850467289719627,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:03,43,0.008037383177570093,train,loss,7.8516,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:03,43,0.008037383177570093,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:03,43,0.008037383177570093,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:04,44,0.00822429906542056,train,loss,7.0742,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:04,44,0.00822429906542056,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:04,44,0.00822429906542056,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:05,45,0.008411214953271028,train,loss,7.4336,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:05,45,0.008411214953271028,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:05,45,0.008411214953271028,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:06,46,0.008598130841121496,train,loss,7.707,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:06,46,0.008598130841121496,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:06,46,0.008598130841121496,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:07,47,0.008785046728971962,train,loss,7.1484,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:07,47,0.008785046728971962,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:07,47,0.008785046728971962,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:08,48,0.00897196261682243,train,loss,7.125,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:08,48,0.00897196261682243,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:08,48,0.00897196261682243,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:09,49,0.009158878504672898,train,loss,8.9141,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:09,49,0.009158878504672898,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:09,49,0.009158878504672898,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:11,50,0.009345794392523364,train,loss,7.6367,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:11,50,0.009345794392523364,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:11,50,0.009345794392523364,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:12,51,0.009532710280373832,train,loss,7.9453,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:12,51,0.009532710280373832,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:12,51,0.009532710280373832,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:13,52,0.0097196261682243,train,loss,7.375,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:13,52,0.0097196261682243,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:13,52,0.0097196261682243,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:14,53,0.009906542056074767,train,loss,9.6016,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:14,53,0.009906542056074767,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:14,53,0.009906542056074767,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:15,54,0.010093457943925233,train,loss,7.3945,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:15,54,0.010093457943925233,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:15,54,0.010093457943925233,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:17,55,0.010280373831775701,train,loss,6.6992,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:17,55,0.010280373831775701,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:17,55,0.010280373831775701,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:18,56,0.010467289719626169,train,loss,7.5586,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:18,56,0.010467289719626169,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:18,56,0.010467289719626169,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:19,57,0.010654205607476635,train,loss,7.0234,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:19,57,0.010654205607476635,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:19,57,0.010654205607476635,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:20,58,0.010841121495327103,train,loss,8.0,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:20,58,0.010841121495327103,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:20,58,0.010841121495327103,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:22,59,0.01102803738317757,train,loss,6.7109,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:22,59,0.01102803738317757,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:22,59,0.01102803738317757,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:23,60,0.011214953271028037,train,loss,8.2578,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:23,60,0.011214953271028037,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:23,60,0.011214953271028037,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:24,61,0.011401869158878504,train,loss,7.75,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:24,61,0.011401869158878504,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:24,61,0.011401869158878504,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:25,62,0.011588785046728972,train,loss,8.0078,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:25,62,0.011588785046728972,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:25,62,0.011588785046728972,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:26,63,0.01177570093457944,train,loss,7.6367,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:26,63,0.01177570093457944,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:26,63,0.01177570093457944,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:30,64,0.011962616822429906,train,loss,7.5781,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:30,64,0.011962616822429906,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:30,64,0.011962616822429906,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:31,65,0.012149532710280374,train,loss,7.8867,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:31,65,0.012149532710280374,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:31,65,0.012149532710280374,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:32,66,0.012336448598130842,train,loss,7.8555,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:32,66,0.012336448598130842,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:32,66,0.012336448598130842,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:34,67,0.012523364485981308,train,loss,8.7422,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:34,67,0.012523364485981308,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:34,67,0.012523364485981308,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:35,68,0.012710280373831775,train,loss,8.5,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:35,68,0.012710280373831775,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:35,68,0.012710280373831775,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:36,69,0.012897196261682243,train,loss,7.8281,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:36,69,0.012897196261682243,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00501
2025-11-17 16:06:36,69,0.012897196261682243,train,epoch,0.01,SQuAD,opt-1.3b,0.00501
