time,step,epoch,phase,metric,value,task,model,eps
2025-11-18 01:46:05,1,0.00018691588785046728,train,loss,1.4521,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:05,1,0.00018691588785046728,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:05,1,0.00018691588785046728,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:09,2,0.00037383177570093456,train,loss,1.8174,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:09,2,0.00037383177570093456,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:09,2,0.00037383177570093456,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:14,3,0.0005607476635514019,train,loss,1.8672,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:14,3,0.0005607476635514019,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:14,3,0.0005607476635514019,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:18,4,0.0007476635514018691,train,loss,2.1621,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:18,4,0.0007476635514018691,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:18,4,0.0007476635514018691,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:23,5,0.0009345794392523365,train,loss,0.894,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:23,5,0.0009345794392523365,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:23,5,0.0009345794392523365,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:28,6,0.0011214953271028037,train,loss,1.5898,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:28,6,0.0011214953271028037,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:28,6,0.0011214953271028037,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:31,7,0.001308411214953271,train,loss,2.582,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:31,7,0.001308411214953271,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:31,7,0.001308411214953271,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:36,8,0.0014953271028037382,train,loss,1.5762,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:36,8,0.0014953271028037382,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:36,8,0.0014953271028037382,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:41,9,0.0016822429906542056,train,loss,1.8008,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:41,9,0.0016822429906542056,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:41,9,0.0016822429906542056,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:46,10,0.001869158878504673,train,loss,1.7764,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:46,10,0.001869158878504673,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:46,10,0.001869158878504673,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:51,11,0.00205607476635514,train,loss,1.7441,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:51,11,0.00205607476635514,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:51,11,0.00205607476635514,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:54,12,0.0022429906542056075,train,loss,1.3916,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:54,12,0.0022429906542056075,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:54,12,0.0022429906542056075,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:59,13,0.002429906542056075,train,loss,1.3877,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:59,13,0.002429906542056075,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:46:59,13,0.002429906542056075,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:04,14,0.002616822429906542,train,loss,1.8643,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:04,14,0.002616822429906542,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:04,14,0.002616822429906542,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:08,15,0.002803738317757009,train,loss,1.6885,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:08,15,0.002803738317757009,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:08,15,0.002803738317757009,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:13,16,0.0029906542056074765,train,loss,2.6035,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:13,16,0.0029906542056074765,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:13,16,0.0029906542056074765,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:18,17,0.003177570093457944,train,loss,2.0312,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:18,17,0.003177570093457944,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:18,17,0.003177570093457944,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:22,18,0.0033644859813084112,train,loss,1.9482,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:22,18,0.0033644859813084112,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:22,18,0.0033644859813084112,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:28,19,0.0035514018691588786,train,loss,1.4961,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:28,19,0.0035514018691588786,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:28,19,0.0035514018691588786,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:32,20,0.003738317757009346,train,loss,2.3789,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:32,20,0.003738317757009346,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:32,20,0.003738317757009346,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:37,21,0.003925233644859813,train,loss,1.2871,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:37,21,0.003925233644859813,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:37,21,0.003925233644859813,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:42,22,0.00411214953271028,train,loss,1.4443,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:42,22,0.00411214953271028,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:42,22,0.00411214953271028,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:46,23,0.004299065420560748,train,loss,1.8252,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:46,23,0.004299065420560748,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:46,23,0.004299065420560748,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:51,24,0.004485981308411215,train,loss,1.8018,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:51,24,0.004485981308411215,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:51,24,0.004485981308411215,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:56,25,0.004672897196261682,train,loss,1.4668,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:56,25,0.004672897196261682,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:47:56,25,0.004672897196261682,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:48:01,26,0.00485981308411215,train,loss,2.332,SQuAD,opt-1.3b,0.001
2025-11-18 01:48:01,26,0.00485981308411215,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.001
2025-11-18 01:48:01,26,0.00485981308411215,train,epoch,0.0,SQuAD,opt-1.3b,0.001
2025-11-18 01:48:05,27,0.005046728971962617,train,loss,2.0508,SQuAD,opt-1.3b,0.001
