time,step,epoch,phase,metric,value,task,model,eps
2025-11-17 09:59:03,1,0.00018691588785046728,train,loss,1.4297,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:03,1,0.00018691588785046728,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:03,1,0.00018691588785046728,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:08,2,0.00037383177570093456,train,loss,1.8438,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:08,2,0.00037383177570093456,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:08,2,0.00037383177570093456,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:14,3,0.0005607476635514019,train,loss,1.8848,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:14,3,0.0005607476635514019,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:14,3,0.0005607476635514019,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:19,4,0.0007476635514018691,train,loss,2.2578,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:19,4,0.0007476635514018691,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:19,4,0.0007476635514018691,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:24,5,0.0009345794392523365,train,loss,0.9033,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:24,5,0.0009345794392523365,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:24,5,0.0009345794392523365,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:28,6,0.0011214953271028037,train,loss,1.6416,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:28,6,0.0011214953271028037,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:28,6,0.0011214953271028037,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:32,7,0.001308411214953271,train,loss,2.5605,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:32,7,0.001308411214953271,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:32,7,0.001308411214953271,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:36,8,0.0014953271028037382,train,loss,1.6133,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:36,8,0.0014953271028037382,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:36,8,0.0014953271028037382,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:41,9,0.0016822429906542056,train,loss,1.833,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:41,9,0.0016822429906542056,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:41,9,0.0016822429906542056,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:45,10,0.001869158878504673,train,loss,1.9072,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:45,10,0.001869158878504673,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:45,10,0.001869158878504673,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:50,11,0.00205607476635514,train,loss,1.7695,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:50,11,0.00205607476635514,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:50,11,0.00205607476635514,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:55,12,0.0022429906542056075,train,loss,1.457,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:55,12,0.0022429906542056075,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:55,12,0.0022429906542056075,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:59,13,0.002429906542056075,train,loss,1.4092,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:59,13,0.002429906542056075,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.00158
2025-11-17 09:59:59,13,0.002429906542056075,train,epoch,0.0,SQuAD,opt-1.3b,0.00158
2025-11-17 10:00:04,14,0.002616822429906542,train,loss,1.874,SQuAD,opt-1.3b,0.00158
