time,step,epoch,phase,metric,value,task,model,eps
2025-11-09 17:48:17,1,0.00024348672997321646,train,loss,2.1367,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:17,1,0.00024348672997321646,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:17,1,0.00024348672997321646,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:23,2,0.0004869734599464329,train,loss,1.5674,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:23,2,0.0004869734599464329,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:23,2,0.0004869734599464329,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:27,3,0.0007304601899196494,train,loss,1.7314,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:27,3,0.0007304601899196494,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:27,3,0.0007304601899196494,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:31,4,0.0009739469198928658,train,loss,1.7002,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:31,4,0.0009739469198928658,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:31,4,0.0009739469198928658,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:36,5,0.0012174336498660824,train,loss,1.5215,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:36,5,0.0012174336498660824,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:36,5,0.0012174336498660824,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:40,6,0.0014609203798392988,train,loss,2.0352,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:40,6,0.0014609203798392988,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:40,6,0.0014609203798392988,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:44,7,0.0017044071098125152,train,loss,2.2051,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:44,7,0.0017044071098125152,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:44,7,0.0017044071098125152,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:49,8,0.0019478938397857316,train,loss,1.8164,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:49,8,0.0019478938397857316,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:49,8,0.0019478938397857316,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:53,9,0.002191380569758948,train,loss,1.7402,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:53,9,0.002191380569758948,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:53,9,0.002191380569758948,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:57,10,0.0024348672997321647,train,loss,1.9355,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:57,10,0.0024348672997321647,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:48:57,10,0.0024348672997321647,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:02,11,0.002678354029705381,train,loss,1.3877,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:02,11,0.002678354029705381,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:02,11,0.002678354029705381,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:06,12,0.0029218407596785976,train,loss,2.1953,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:06,12,0.0029218407596785976,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:06,12,0.0029218407596785976,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:10,13,0.003165327489651814,train,loss,2.1309,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:10,13,0.003165327489651814,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:10,13,0.003165327489651814,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:15,14,0.0034088142196250304,train,loss,1.5488,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:15,14,0.0034088142196250304,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:15,14,0.0034088142196250304,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:19,15,0.003652300949598247,train,loss,2.2676,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:19,15,0.003652300949598247,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:19,15,0.003652300949598247,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:23,16,0.0038957876795714633,train,loss,1.4346,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:23,16,0.0038957876795714633,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:23,16,0.0038957876795714633,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:27,17,0.0041392744095446795,train,loss,2.6387,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:27,17,0.0041392744095446795,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:27,17,0.0041392744095446795,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:32,18,0.004382761139517896,train,loss,1.6035,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:32,18,0.004382761139517896,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:32,18,0.004382761139517896,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:37,19,0.004626247869491113,train,loss,1.7646,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:37,19,0.004626247869491113,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:37,19,0.004626247869491113,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:41,20,0.004869734599464329,train,loss,2.9043,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:41,20,0.004869734599464329,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:41,20,0.004869734599464329,train,epoch,0.0,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:45,21,0.005113221329437546,train,loss,2.0723,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:45,21,0.005113221329437546,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:45,21,0.005113221329437546,train,epoch,0.01,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:49,22,0.005356708059410762,train,loss,1.5801,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:49,22,0.005356708059410762,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:49,22,0.005356708059410762,train,epoch,0.01,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:53,23,0.0056001947893839785,train,loss,1.4375,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:53,23,0.0056001947893839785,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:53,23,0.0056001947893839785,train,epoch,0.01,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:57,24,0.005843681519357195,train,loss,2.5527,SQuAD,opt-1.3b,0.0001
2025-11-09 17:49:57,24,0.005843681519357195,train,learning_rate,1e-07,SQuAD,opt-1.3b,0.0001
