dataset,prefix_path,Delta,G_clean,L_clean_derived,L_lowbit,hstar_cleanGL,nearest_cleanGL,existing_lowbitL_hstar,d_trainable,activeD_applicable
sst-2,prefix_mezo32_fp32_trainable,1.2418387188269063e-07,0.028511776272977345,1.0649598954304798e-06,2.799827168409844e-05,5.8155612005749574e-05,0.0001,1.2644784318183699e-05,245760,no_fp32_prefix_trainable
sst-5,prefix_mezo32_fp32_trainable,1.2334685149274812e-07,0.08226705752126542,3.7284139269758045e-06,1.9582819417593184e-06,5.2617290065940696e-05,3e-05,7.268508887167083e-05,245760,no_fp32_prefix_trainable
rte,prefix_mezo32_fp32_trainable,1.2418387188269063e-07,0.10347813824312176,5.7290612011287635e-06,9.957379062765839e-06,4.7767079832413946e-05,3e-05,2.9281472711033098e-05,245760,no_fp32_prefix_trainable
mnli,prefix_mezo32_fp32_trainable,1.2473970318657783e-07,0.05518709534059917,1.4418630973235657e-06,2.604980924578104e-05,6.969034742727197e-05,0.0001,1.476068069187428e-05,245760,no_fp32_prefix_trainable
trec,prefix_mezo32_fp32_trainable,1.243859022162023e-07,0.12500359553742033,4.065911464304133e-06,3.510159473419548e-05,6.237081163672941e-05,0.0001,1.8886530005982893e-05,245760,no_fp32_prefix_trainable
sst-2,prefix_quantized_int4_trainable,0.29036004220962064,0.028511776272977345,1.0649598954304798e-06,,0.08892573380935367,1e-2,,245760,not_recomputed_no_probe_active_curve
sst-5,prefix_quantized_int4_trainable,0.27971750709347876,0.08226705752126542,3.7284139269758045e-06,,0.0792363145438239,1e-2,,245760,not_recomputed_no_probe_active_curve
rte,prefix_quantized_int4_trainable,0.29036004220962064,0.10347813824312176,5.7290612011287635e-06,,0.07304063149756615,1e-2,,245760,not_recomputed_no_probe_active_curve
mnli,prefix_quantized_int4_trainable,0.2917518107797759,0.05518709534059917,1.4418630973235657e-06,,0.10658032900824298,1e-2,,245760,not_recomputed_no_probe_active_curve
trec,prefix_quantized_int4_trainable,0.2811818698168857,0.12500359553742033,4.065911464304133e-06,,0.09377551817193255,1e-2,,245760,not_recomputed_no_probe_active_curve
