group,model,dataset,seed,G_method,h_G,G_hat,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,corr_h_2h,sign_flip_rate_h_2h,stability_score,fallback_flags
C_model,OPT-1.3B,sst-2,16,absG_candidate,1e-05,81.36501464310943,0.9177118699233457,1.0363324196929253,0.3877615901663321,nan,nan,0.4963821399359117,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,16,absG_candidate,3e-05,52.416535071977194,0.9876947103053415,1.0118641780914566,0.15353946154372086,nan,nan,0.16770892932983592,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.0001,53.50491610369016,0.9988365854294541,1.0010993936644983,0.04752924574478007,nan,nan,0.04862863940927836,
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.0003,53.61292468847972,0.9998681805223937,1.000118248572536,0.015910700886594593,nan,nan,0.016028949459130543,
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.001,53.239156623120394,0.9999884484979167,1.0000154941415444,0.0047760929387566445,0.9834493729112735,0.0,0.004791587080301092,
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.0015,53.59796534385439,0.9999949462939669,1.0000050746629738,0.0031838874400072084,0.9156619545829888,0.09375,0.0031889621029810447,
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.002,52.736979734795426,0.9999971876650118,1.0000070832263996,0.0023880623822579907,0.6418016898012114,0.15625,0.3168434558074462,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.003,49.28336749539755,0.9999987700072044,1.0000008719784819,0.0015916444153624351,nan,nan,0.0015925163938442996,
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.004,43.47681304020391,0.9999993167076741,1.0000050549424748,0.001194061544353199,nan,nan,0.0011991164868280237,
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.005,46.58592273558347,0.9999995607661992,1.0000007191012577,0.0009555916046512136,0.6554514190213387,0.21875,0.36425489168457015,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,16,absG_candidate,0.01,29.055772248875627,0.9999998842979738,1.0000004607086919,0.00047770464765072924,nan,nan,0.0004781653563425921,
C_model,OPT-1.3B,sst-2,16,absG,0.0001,53.50491610369016,0.9988365854294541,1.0010993936644983,0.04752924574478007,nan,nan,0.04862863940927836,
C_model,OPT-1.3B,sst-2,16,absG_fixed_0.0003,0.0003,53.61292468847972,,,,,,,diagnostic_only
C_model,OPT-1.3B,sst-2,16,absG_fixed_0.001,0.001,53.239156623120394,,,,,,,diagnostic_only
C_model,OPT-1.3B,sst-2,16,richardsonG_candidate,0.001,53.587396377005604,,,,,,,diagnostic_only
C_model,OPT-1.3B,sst-2,17,absG_candidate,1e-05,72.64013096603857,0.9177123216023002,1.0363332785420196,0.3877642203990873,nan,nan,0.4963851773388067,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,17,absG_candidate,3e-05,58.73721612969789,0.9876945859576862,1.011864992060767,0.15354652325220758,nan,nan,0.1677169293552883,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.0001,53.54852418071902,0.9988365018635869,1.0010986056273539,0.0475344639342819,nan,nan,0.04863306956163577,
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.0003,56.268472933817115,0.9998681680152319,1.0001178976735323,0.015909844631165022,nan,nan,0.01602774230469734,
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.001,53.895264420606466,0.999988451061494,1.000015500054269,0.004775861893244084,0.9756801481042132,0.03125,0.004791361947513064,
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.0015,53.33979292165421,0.9999949420952373,1.0000050893874657,0.003184718139827042,0.8444043732642678,0.21875,0.17753543426302498,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.002,54.2311598359844,0.9999971916897747,1.0000070909434888,0.002389102752080382,0.5885181181019619,0.375,0.5888780755936074,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.003,56.268711439805855,0.9999987741258186,1.0000009101295873,0.0015923423020134523,nan,nan,0.0015932524316007027,
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.004,58.08790672559088,0.9999993109151122,1.000005040638475,0.0011946858042475405,nan,nan,0.0011997264427226029,
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.005,81.26768505696901,0.999999560022211,1.000000723057937,0.0009557632737471009,0.5051765233561992,0.40625,0.7020299629754849,candidate_not_primary_pass
C_model,OPT-1.3B,sst-2,17,absG_candidate,0.01,51.15019223259526,0.9999998820384203,1.0000004611698756,0.0004781725338141188,nan,nan,0.0004786337036897395,
C_model,OPT-1.3B,sst-2,17,absG,0.0001,53.54852418071902,0.9988365018635869,1.0010986056273539,0.0475344639342819,nan,nan,0.04863306956163577,
C_model,OPT-1.3B,sst-2,17,absG_fixed_0.0003,0.0003,56.268472933817115,,,,,,,diagnostic_only
C_model,OPT-1.3B,sst-2,17,absG_fixed_0.001,0.001,53.895264420606466,,,,,,,diagnostic_only
C_model,OPT-1.3B,sst-2,17,richardsonG_candidate,0.001,53.82267416968571,,,,,,,diagnostic_only
