group,model,dataset,seed,L_mode,h2,m_L,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,zero_K_frac,stability_q90_2x,stability_q90_next,stability_q90_prev,log_slope_q90_next,log_slope_q90_prev,low_h2_noise_suspected,large_h2_nonlocal_suspected,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error
A_seed,roberta-large,sst-5,16,L_clean32,1e-05,1,2.0456162068047332e-05,2.0456162068047332e-05,2.0456162068047332e-05,8344.650268554686,0.0,8344650268554686.0,1.0,0.0,nan,0.9682539209208508,nan,3.140312638430483,nan,True,False,0.9999999998313587,1.0000000159574076,0.0001377365688938202,3.1119164014975016e-09
A_seed,roberta-large,sst-5,16,L_clean32,3e-05,1,6.494019704142012e-07,6.494019704142012e-07,6.494019704142012e-07,264.90953233506946,0.0,264909532335069.47,1.0,0.0,nan,70.23489184681438,30.499953033784266,3.5432550777567915,3.140312638430483,False,False,1.0000000013234982,0.9999999989437793,4.598736442742341e-05,3.11142350821809e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.0001,1,4.626014936245562e-05,4.626014936245562e-05,4.626014936245562e-05,18870.830535888672,0.0,1.887083053588867e+16,1.0,0.0,nan,0.6940408357024156,0.9859619355897888,1.0779996256720126,3.5432550777567915,True,False,0.9999999992002011,0.9999999972614253,1.3904068818355309e-05,3.1082260336001936e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.0003,1,1.4153715945177517e-05,1.4153715945177517e-05,1.4153715945177517e-05,5773.70325724284,0.0,5773703257242840.0,1.0,0.0,nan,0.15407431808874997,2.268410025552862,0.13897636979343675,1.0779996256720126,False,False,1.0000000137003955,0.999999998264539,4.694339172628776e-06,3.0886673208774197e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.001,1,1.1972991658428106e-05,1.1972991658428106e-05,1.1972991658428106e-05,4884.123802185059,0.0,4884123802185059.0,1.0,0.0,0.830538604328353,0.30003604381315835,0.18213694344950104,0.8797956452789021,0.13897636979343675,False,False,1.00000000942951,0.9999999999097232,1.5002274536025121e-06,3.037739733355322e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.0015,1,8.380662308589348e-06,8.380662308589348e-06,8.380662308589348e-06,3418.710496690538,0.0,3418710496690538.0,1.0,0.0,0.3916444066667141,0.757899825878445,0.42864499116161575,4.930455637143545,0.8797956452789021,False,False,1.000000004617476,1.0000000044718518,9.952489316382679e-07,3.0092658495673082e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.002,1,2.028959046263609e-06,2.028959046263609e-06,2.028959046263609e-06,827.6700973510742,0.0,827670097351074.2,1.0,0.0,2.6627255348238004,4.748217289459647,3.1305216058948973,4.313292895367253,4.930455637143545,False,False,1.000000003583181,0.9999999980245042,7.525650788496262e-07,2.989753289621999e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.003,1,1.1662902217555324e-05,1.1662902217555324e-05,1.1662902217555324e-05,4757.6295004950625,0.0,4757629500495063.0,1.0,0.0,nan,0.36280670155944833,0.8260330203881343,1.5665982046082272,4.313292895367253,False,False,0.9999999981835771,0.9999999992221046,5.319433944963156e-07,2.9552198221391652e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.004,1,7.431522770587e-06,7.431522770587e-06,7.431522770587e-06,3031.529486179352,0.0,3031529486179352.0,1.0,0.0,nan,0.9357348360528609,0.5693824816541085,12.300322156509738,1.5665982046082272,True,False,0.999999991380902,0.999999999565072,4.4124336870662124e-07,2.9346150478638102e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.005,1,4.775870934938343e-07,4.775870934938343e-07,4.775870934938343e-07,194.82135772705078,0.0,194821357727050.78,1.0,0.0,9.54016897594163,9.54016897594163,14.560529820207801,3.3978260907807925,12.300322156509738,False,True,1.0000000004803546,1.0000000004706695,3.4809199086855675e-07,2.9175044895309905e-09
A_seed,roberta-large,sst-5,16,L_clean32,0.01,1,5.0338582063228225e-06,5.0338582063228225e-06,5.0338582063228225e-06,2053.4539222717285,0.0,2053453922271728.5,1.0,0.0,nan,nan,0.9051248606846302,nan,3.3978260907807925,False,True,0.9999999999068514,1.0000000000949725,2.1326762820820025e-07,2.93111307542147e-09
A_seed,roberta-large,sst-5,16,L_oracle_precision,1e-05,1,0.0037405554195709717,0.0037405554195709717,0.0037405554195709717,1525878.9062499998,0.0,1.52587890625e+18,1.0,0.0,nan,0.9055555553134644,nan,2.1479311023650443,nan,True,False,0.7953015004677629,0.9663817802782856,0.593580452695203,1.2597690782935627e-05
A_seed,roberta-large,sst-5,16,L_oracle_precision,3e-05,1,0.00035327467851503625,0.00035327467851503625,0.00035327467851503625,144110.78559027778,0.0,1.4411078559027778e+17,1.0,0.0,nan,0.7670588213581301,9.588235266976627,1.2101347341349407,2.1479311023650443,True,False,0.9414122803508717,1.0197426372213745,0.3057552877710562,2.0773843298104842e-05
A_seed,roberta-large,sst-5,16,L_oracle_precision,0.0001,1,8.229221923056139e-05,8.229221923056139e-05,8.229221923056139e-05,33569.3359375,0.0,3.35693359375e+16,1.0,0.0,nan,0.8560605956579141,3.2929292529142185,1.7643739207564788,1.2101347341349407,True,False,0.9921250752240593,1.0072296610472873,0.10905586759278812,2.523142814456214e-05
A_seed,roberta-large,sst-5,16,L_oracle_precision,0.0003,1,1.1845092161974749e-05,1.1845092161974749e-05,1.1845092161974749e-05,4831.949869791668,0.0,4831949869791668.0,1.0,0.0,nan,0.013157893626011509,5.947367918957092,0.011001266454514885,1.7643739207564788,False,False,0.9991115658420806,1.0008698609709148,0.037386344716939954,2.5307847836128876e-05
A_seed,roberta-large,sst-5,16,L_oracle_precision,0.001,1,1.1689235686159289e-05,1.1689235686159289e-05,1.1689235686159289e-05,4768.37158203125,0.0,4768371582031250.0,1.0,0.0,0.835599928515435,0.24835553430903948,0.013333332192683109,0.7041095426135238,0.011001266454514885,False,False,0.999922674852899,1.0000809086176088,0.011259540423165432,2.4875697669839684e-05
A_seed,roberta-large,sst-5,16,L_oracle_precision,0.0015,1,8.786149063303373e-06,8.786149063303373e-06,8.786149063303373e-06,3584.1200086805557,0.0,3584120008680555.5,1.0,0.0,0.3067643927108101,0.7812794758843362,0.3304162348627617,5.283473164558003,0.7041095426135238,False,False,0.9999662324367006,1.0000338893108722,0.007505098652922726,2.4657007594013917e-05
