group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected,source_output_dir
A_seed,roberta-large,sst-5,16,1e-05,16,2.8355096048926483e+17,532495033.30009085,450760126.1138915,357627868.65234363,4.3402979309027537e-05,9.04312669370967e-05,0.00010851535503724995,1.0,0.0,0.375,nan,0.9729067505395125,nan,0.8103988998043327,3.284571560636804,1.5135757205794647,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,3e-05,16,7682316907296486.0,87648827.18722759,63743856.21812607,38632640.132197626,4.688472164216935e-06,1.7145866892962714e-05,1.9958671810173082e-05,1.0,0.0,0.4375,nan,0.9365473416461817,nan,0.2538122897634567,0.5489382021878055,0.18786864704055697,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.0001,16,1.4877170384508526e+16,121972006.56096679,67133456.46858214,29563903.808593743,3.587867789389978e-06,2.1497698882857315e-05,2.8483793161962028e-05,1.0,0.0,0.375,nan,0.9865306377965353,nan,0.8641356597685987,3.920707681425577,1.8169270542177054,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.0003,16,200385996471603.9,14155776.08157193,10894956.412138764,7162491.480509441,8.692025061444162e-07,2.9207698110770825e-06,3.1591987910024747e-06,1.0,0.0,0.5,nan,0.9662760257561125,nan,0.8347563162644794,2.815301375974291,1.4953278155370995,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.001,16,6757812183844.08,2599579.232076622,2041768.2826519012,1445651.0543823242,1.7546145416289073e-07,4.826379281695614e-07,6.059028944908953e-07,1.0,0.0,0.6875,0.6418079131564035,0.40231109880216587,0.31370965879096957,0.14974032090382833,1.2693691324298269,0.4000676459996932,True,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.0015,16,4039069338663.104,2009743.6002294184,1456895.3602402299,1047337.496722186,1.271160279167286e-07,4.103674201847715e-07,5.764200270653244e-07,1.0,0.0,0.6875,0.7249733765089776,0.4007048045802084,0.48252361241648983,0.19284618795688524,1.779745898565795,0.7447145723068315,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.002,16,2420594848628.1934,1555826.098453228,1113696.489483118,899516.0460472107,1.0916730156914514e-07,3.31229434694249e-07,4.248739683286321e-07,1.0,0.0,0.875,0.5431292754100135,0.5410832164299717,0.38761844743386414,0.35888751330599084,1.9209701875561613,1.0963960703535673,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.003,16,1110851602258.6301,1053969.4503440934,858496.0467285579,608996.1087262189,7.391235902876522e-08,2.123549676555676e-07,2.385692268294798e-07,1.0,0.0,0.75,nan,0.004458453151626069,nan,0.04481418584752354,0.015532499666574783,0.1593751993084998,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.004,16,1105898922431.5513,1051617.2889561825,849510.7758790255,798228.6624610424,9.687704720340375e-08,2.028384078552203e-07,2.255920052097082e-07,1.0,0.0,0.5625,nan,0.01032524633670161,nan,0.10277397951728341,0.04651230754352713,0.485998695648636,False,False,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
A_seed,roberta-large,sst-5,16,0.005,16,1094480243633.9526,1046174.0981471261,849814.8620128629,848135.471343994,1.0292110328764593e-07,1.8199179470700998e-07,2.0833586296467113e-07,1.0,0.0,0.4375,0.9726543168798951,0.9726543168798951,0.8342672401017565,0.8342672401017565,5.1925430873884295,2.593069290932065,True,True,analysis/fp16_strict_twopoint_directG_T3_roberta_20260520_193448
