h,G_abs,G_rms,d2_mean,d2_abs_mean,alignment_eff,norm_ratio_eff,active_frac_eff,zero_coord_frac_eff,delta_visibility_mse,empirical_snap_rms,lowbit_visibility_nmse,corr_d2_h_2h,sign_flip_rate_h_2h,strict_fp16_visibility_pass,lowbit_window_visibility_pass
1e-05,221.83905018401796,202.0623212554547,67.138671875,177.001953125,0.038605038462371344,21.160801019062607,0.001096350519873355,0.9989036494801267,1.788471002689112e-07,0.0004229031807268789,447.1459393760318,,,False,False
3e-05,43.34786038078513,40.28114801681179,-18.310546875,34.58658854166667,0.06711472873009362,12.198609974403169,0.003286337557913703,0.9967136624420863,5.333737040012762e-07,0.0007303243827240579,148.16870066820627,,,False,False
0.0001,44.36781003680359,40.264703375172466,7.32421875,35.400390625,0.12318055490217414,6.697905534743375,0.011029567937678196,0.9889704320623218,1.7683620556506678e-06,0.0013297977499043484,44.21183804557725,,,False,False
0.0003,52.01743245694215,56.96033266470416,30.517578125000004,41.50390625000001,0.2163452495552904,3.899243081834671,0.03373724545757675,0.9662627545424233,5.225766519792114e-06,0.00228599355200143,14.516931303913749,,,False,False
0.001,42.761389328574495,39.95672925342145,27.28271484375,34.11865234375,0.4080956239504711,2.183173767348381,0.11809800819836636,0.8819019918016336,1.5936439154940583e-05,0.003992046988067724,3.984360399639567,0.663329155483666,0.125,False,True
0.0015,24.784776641248904,28.001414853634426,17.659505208333332,19.775390625,0.5064970496929159,1.8045392427191256,0.1806835681568233,0.8193164318431767,2.1853992071293306e-05,0.004674825351956296,2.4283742746246544,0.7543378745471766,0.375,False,True
0.002,18.4738381446346,24.407805594715647,14.495849609375,14.739990234375,0.5883119234072134,1.5826249324458561,0.24211255347567714,0.7578874465243228,2.6279105981329432e-05,0.005126315048973232,1.642547440632736,0.6666387378648202,0.625,False,True
0.003,11.525431113008748,15.471231623285588,8.544921875,9.195963541666666,0.7140250839126864,1.3355393969339526,0.35391679242009977,0.6460832075799002,3.1550148803560986e-05,0.005616951913944162,0.8764482215153448,,,False,True
0.004,12.908737833983803,13.964985133168973,5.9967041015625,10.2996826171875,0.7985804371720522,1.2100975907746232,0.44651498556432334,0.5534850144356767,3.4021261740543334e-05,0.005832774789115668,0.531615654779043,,,False,True
0.005,8.552277865714899,9.413259638190759,6.33544921875,6.82373046875,0.8535301067676297,1.140474262089075,0.5206665506630151,0.47933344933698485,3.538009999203595e-05,0.00594811734854281,0.35382330575882304,0.1368618536619903,0.625,False,True
0.01,8.751168048638501,10.765383558514126,4.21142578125,6.982421875,0.9515979051449537,1.027737658309035,0.7236027159085386,0.27639728409146136,4.010094742664122e-05,0.006332530886355093,0.10025868898064239,,,False,True
