task,direction,default_h,default_best,default_status,default_reliability,cleanL_h,cleanL_best,cleanL_status,lowbitL_h,lowbitL_best,lowbitL_status,L_clean32,L_lowbit,L_ratio,lowbitL_h2,cleanL_h_cont,orig_hstar_h,orig_hstar_best,orig_hstar_status
mnli,dense,,,missing,,0.0013127067362835,0.4727272727272727,complete,5.098073478756064e-05,0.3447924624395213,complete,4.2078903117565655e-05,0.0119693331069843,284.4497413238851,3e-05,0.0008598226121227,,,
rte,dense,,,missing,,0.0017056253106509,0.6024096385542169,complete,9.131247237078676e-05,0.5662650602409639,complete,2.3083018130487348e-05,0.0049205692366921,213.16836511050607,3e-05,0.001333188255224,,,
sst-2,dense,0.001,0.8990348923533779,complete,,0.0014831360079805,0.8087602078693392,complete,0.0006214786934837,0.8819599109131403,complete,2.5277084722664352e-05,0.0001225662699512,4.848908459817472,0.001,0.0013685108240143,0.0015,0.6549368968077208,complete
sst-5,dense,,,missing,,0.0015509397815746,0.4262295081967213,complete,0.0006145433384826,0.4765807962529274,complete,4.675401909980773e-05,0.0002781517745104,5.949259119662693,0.001,0.001498938994764,,,
trec,dense,,,missing,,0.0006975900432871,0.8278388278388278,complete,0.0016242532645506,0.7142857142857143,complete,6.340415255508683e-05,7.690152822749053e-05,1.2128784177136809,0.002,0.0017888024556486,,,
mnli,sparse,,,missing,,,,,0.000437324731266,0.5768016297428062,complete,0.0002949876681286,0.0016227515435622,5.501082651544243,0.001,0.0010257183450845,,,
rte,sparse,,,missing,,,,,0.0003591546781873,0.6184738955823293,complete,0.0004323457990226,0.0046512607271637,10.7581957259179,0.0003,0.001178016160561,,,
sst-2,sparse,0.001,0.5578322197475872,complete,deprecated_untrusted_legacy_abs_importance_sparse,0.000458314754972,0.8956198960653303,complete,0.0010440057466626,0.8910170749814402,complete,0.0003669103670044,0.000664028003661,1.809782615526329,0.001,0.0014044817337847,0.002,0.4421677802524127,complete
sst-5,sparse,,,missing,,,,,0.0013665044203238,0.2950819672131147,complete,0.000160848398332,0.000681486709151,4.236826205408373,0.002,0.0028127515046377,,,
trec,sparse,,,missing,,,,,0.0006825578664185,0.8388278388278388,complete,0.0005226951500573,0.0033736683544085,6.454370877629611,0.001,0.0017340692408006,,,
