h,G_abs,G_rms,d2_mean,d2_abs_mean,alignment_eff,norm_ratio_eff,active_frac_eff,zero_coord_frac_eff,delta_visibility_mse,empirical_snap_rms,lowbit_visibility_nmse,corr_d2_h_2h,sign_flip_rate_h_2h,strict_fp16_visibility_pass,lowbit_window_visibility_pass
1e-05,122.3939587222168,97.65624999999999,-97.65624999999999,97.65624999999999,0.16818318553550435,5.914232594321516,0.02093967063887769,0.9790603293611223,1.3594684931139155e-08,0.00011659624750024829,33.98879822561505,,,False,False
3e-05,0.0,0.0,0.0,0.0,0.2916108446871171,3.401942297566603,0.06248434597565015,0.9375156540243499,3.811851003265764e-08,0.00019523962208695662,10.589124863986171,,,False,False
0.0001,12.239395872221682,9.765625,-9.765625,9.765625,0.5320992703593858,1.8648161989482215,0.20715552596621836,0.7928444740337817,9.971407130661887e-08,0.00031577534942838533,2.4930047784120197,,,False,True
0.0003,34.6782883046281,27.669270833333336,27.669270833333336,27.669270833333336,0.8439935489933059,1.1789453200891449,0.5198127805687153,0.48018721943128473,1.4394351481328823e-07,0.00037939888615188134,0.3998675782886364,,,False,True
0.001,15.911214633888186,12.6953125,12.6953125,12.6953125,0.9811208117920365,1.015042164256447,0.8279402200765703,0.1720597799234297,1.54201001795923e-07,0.0003926843538975331,0.03855261082161778,nan,0.0,False,True
0.0015,18.767073670739908,14.973958333333332,14.973958333333332,14.973958333333332,0.9908988003177495,1.0048480756670761,0.8838020784584425,0.1161979215415575,1.6481724400223315e-07,0.00040597690082347436,0.018314149811992864,nan,0.0,False,True
0.002,21.41894277638794,17.08984375,17.08984375,17.08984375,0.9943793730460768,1.0012026879615072,0.9124333199311335,0.08756668006886648,1.8008849484887017e-07,0.00042436834807613795,0.011256220086929059,nan,0.0,True,True
0.003,21.82692263879533,17.415364583333332,17.415364583333332,17.415364583333332,0.996857748803758,0.9984005299891603,0.941420292497948,0.05857970750205199,2.2595846501858272e-07,0.00047535088620784407,0.006277008823758457,,,True,True
0.004,24.17280684763782,19.287109375,19.287109375,19.287109375,0.9976943950114318,0.9972160376136574,0.9560109484797541,0.0439890515202459,2.947738227197239e-07,0.00054293077157196,0.004606122988566137,,,True,True
0.005,23.01006423977676,18.359375,18.359375,18.359375,0.9980506157079535,0.9964774671661771,0.9647930220738056,0.03520697792619443,3.8972041175771865e-07,0.0006242759099610673,0.0038974432812820914,nan,1.0,True,True
0.01,21.1129578795824,16.845703125,-16.845703125,16.845703125,0.9982390932584835,0.9935737938130267,0.9823750057373715,0.017624994262628535,1.4161041802454026e-06,0.0011900017564043352,0.00354047770939189,,,True,True
