variant,model,task,h_str,h,eval_loss,eval_acc,last_eval_step,source_csv
quzo8,roberta-large,sst5,1e-8,1e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-8/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-8,3e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-8/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,1e-7,1e-07,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-7/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-7,3e-07,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-7/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,1e-6,1e-06,11.653305053710938,0.2716627634660422,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-6/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-6,3e-06,1.5817654132843018,0.25878220140515223,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-6/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,1e-5,1e-05,1.0785402059555054,0.5327868852459017,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-5/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-5,3e-05,1.0398592948913574,0.522248243559719,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-5/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,1e-4,0.0001,1.0498474836349487,0.5304449648711944,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-4/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-4,0.0003,1.0390052795410156,0.531615925058548,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-4/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
