time,step,epoch,phase,split,metric,value,task,model,eps,seed,precision,zo_quantization_bits
2026-04-18 09:52:25,500,0.020371577574967405,train,train,loss,1.1439,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:52:25,500,0.020371577574967405,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:52:25,500,0.020371577574967405,train,train,epoch,0.02,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,train,train,eval_loss,1.11328125,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,train,train,eval_runtime,36.7063,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,train,train,eval_samples_per_second,267.393,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,train,train,eval_steps_per_second,33.428,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,train,train,epoch,0.02,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,eval,eval,eval_loss,1.11328125,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,eval,eval,eval_runtime,36.7063,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,eval,eval,eval_samples_per_second,267.393,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,eval,eval,eval_steps_per_second,33.428,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,eval,eval,epoch,0.02,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,eval,eval,accuracy,0.358634742740703,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:53:02,500,0.020371577574967405,train_probe,train_probe,accuracy,0.30078125,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:58:36,1000,0.04074315514993481,train,train,loss,1.1185,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:58:36,1000,0.04074315514993481,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:58:36,1000,0.04074315514993481,train,train,epoch,0.04,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,train,train,eval_loss,1.09765625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,train,train,eval_runtime,36.5831,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,train,train,eval_samples_per_second,268.293,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,train,train,eval_steps_per_second,33.54,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,train,train,epoch,0.04,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,eval,eval,eval_loss,1.09765625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,eval,eval,eval_runtime,36.5831,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,eval,eval,eval_samples_per_second,268.293,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,eval,eval,eval_steps_per_second,33.54,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,eval,eval,epoch,0.04,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,eval,eval,accuracy,0.38145695364238413,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 09:59:13,1000,0.04074315514993481,train_probe,train_probe,accuracy,0.34375,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:04:52,1500,0.06111473272490222,train,train,loss,1.1195,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:04:52,1500,0.06111473272490222,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:04:52,1500,0.06111473272490222,train,train,epoch,0.06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,train,train,eval_loss,1.09765625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,train,train,eval_runtime,36.5263,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,train,train,eval_samples_per_second,268.71,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,train,train,eval_steps_per_second,33.592,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,train,train,epoch,0.06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,eval,eval,eval_loss,1.09765625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,eval,eval,eval_runtime,36.5263,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,eval,eval,eval_samples_per_second,268.71,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,eval,eval,eval_steps_per_second,33.592,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,eval,eval,epoch,0.06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,eval,eval,accuracy,0.3739174732552216,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:05:29,1500,0.06111473272490222,train_probe,train_probe,accuracy,0.32421875,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:02,2000,0.08148631029986962,train,train,loss,1.1165,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:02,2000,0.08148631029986962,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:02,2000,0.08148631029986962,train,train,epoch,0.08,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,train,train,eval_loss,1.0947265625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,train,train,eval_runtime,36.4425,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,train,train,eval_samples_per_second,269.328,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,train,train,eval_steps_per_second,33.669,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,train,train,epoch,0.08,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,eval,eval,eval_loss,1.0947265625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,eval,eval,eval_runtime,36.4425,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,eval,eval,eval_samples_per_second,269.328,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,eval,eval,eval_steps_per_second,33.669,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,eval,eval,epoch,0.08,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,eval,eval,accuracy,0.38145695364238413,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:11:39,2000,0.08148631029986962,train_probe,train_probe,accuracy,0.38671875,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:17,2500,0.10185788787483703,train,train,loss,1.1166,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:17,2500,0.10185788787483703,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:17,2500,0.10185788787483703,train,train,epoch,0.1,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,train,train,eval_loss,1.115234375,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,train,train,eval_runtime,36.5084,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,train,train,eval_samples_per_second,268.842,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,train,train,eval_steps_per_second,33.609,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,train,train,epoch,0.1,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,eval,eval,eval_loss,1.115234375,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,eval,eval,eval_runtime,36.5084,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,eval,eval,eval_samples_per_second,268.842,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,eval,eval,eval_steps_per_second,33.609,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,eval,eval,epoch,0.1,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,eval,eval,accuracy,0.3562913907284768,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:17:53,2500,0.10185788787483703,train_probe,train_probe,accuracy,0.3828125,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:23:27,3000,0.12222946544980444,train,train,loss,1.1108,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:23:27,3000,0.12222946544980444,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:23:27,3000,0.12222946544980444,train,train,epoch,0.12,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,train,train,eval_loss,1.1171875,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,train,train,eval_runtime,36.412,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,train,train,eval_samples_per_second,269.554,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,train,train,eval_steps_per_second,33.698,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,train,train,epoch,0.12,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,eval,eval,eval_loss,1.1171875,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,eval,eval,eval_runtime,36.412,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,eval,eval,eval_samples_per_second,269.554,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,eval,eval,eval_steps_per_second,33.698,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,eval,eval,epoch,0.12,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,eval,eval,accuracy,0.3413143148242486,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:24:04,3000,0.12222946544980444,train_probe,train_probe,accuracy,0.296875,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:29:44,3500,0.14260104302477183,train,train,loss,1.1066,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:29:44,3500,0.14260104302477183,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:29:44,3500,0.14260104302477183,train,train,epoch,0.14,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,train,train,eval_loss,1.09765625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,train,train,eval_runtime,36.5469,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,train,train,eval_samples_per_second,268.559,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,train,train,eval_steps_per_second,33.573,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,train,train,epoch,0.14,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,eval,eval,eval_loss,1.09765625,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,eval,eval,eval_runtime,36.5469,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,eval,eval,eval_samples_per_second,268.559,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,eval,eval,eval_steps_per_second,33.573,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,eval,eval,epoch,0.14,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,eval,eval,accuracy,0.3640346408558329,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:30:20,3500,0.14260104302477183,train_probe,train_probe,accuracy,0.36328125,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:35:52,4000,0.16297262059973924,train,train,loss,1.111,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:35:52,4000,0.16297262059973924,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:35:52,4000,0.16297262059973924,train,train,epoch,0.16,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:36:28,4000,0.16297262059973924,train,train,eval_loss,1.1005859375,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:36:28,4000,0.16297262059973924,train,train,eval_runtime,36.3771,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:36:28,4000,0.16297262059973924,train,train,eval_samples_per_second,269.813,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:36:28,4000,0.16297262059973924,train,train,eval_steps_per_second,33.73,MNLI,opt-1.3b,0.001,42,fp16,16
2026-04-18 10:36:28,4000,0.16297262059973924,train,train,epoch,0.16,MNLI,opt-1.3b,0.001,42,fp16,16
