global_step,eps,precision,zo_quantization_bits,fd_mean,td_mean,mae,mse,rmse,sign_acc,corr,probe_num_seeds
100,0.003,fp16,16,2.573649138212204,8.33098715543747,47.21124389767647,3028.917568435746,55.03560273528169,0.6875,0.27846111308073945,16
200,0.003,fp16,16,-13.000488752499223,-2.025419980287552,37.90467234887183,2104.2131633738577,45.87170329706384,0.6875,0.7013617354607872,16
300,0.003,fp16,16,-3.214518368244171,7.039655305445194,23.413774825632572,935.2769349886476,30.582297738865986,0.875,0.590007545142912,16
400,0.003,fp16,16,1.627604216337204,-4.279964298009872,37.857750564813614,1962.1416839284816,44.29606849290896,0.75,0.3399246701689092,16
500,0.003,fp16,16,9.958903312683105,13.037893608212471,27.79971055686474,1390.9598474740228,37.29557410034095,0.8125,0.6841067357466747,16
600,0.003,fp16,16,2.2786459624767303,-12.282401740550995,41.04772025346756,3024.48751466716,54.99534084508578,0.75,0.3451499019582621,16
700,0.003,fp16,16,7.314046293497086,10.467247556895018,40.920175921171904,3431.9952926848946,58.583233887221475,0.75,0.352302246873183,16
800,0.003,fp16,16,-5.4728191792964935,-16.819950252771378,38.36861580610275,2084.264765957848,45.65374865175748,0.5625,0.1195576057463364,16
900,0.003,fp16,16,7.497151851654053,2.1372291445732117,43.022125363349915,2356.0322493313834,48.53897659954713,0.3125,0.1558240743909083,16
1000,0.003,fp16,16,9.76562537252903,5.3096878081560135,34.62287309765816,1843.3750307194916,42.9345435601625,0.625,0.39429461660239673,16
1100,0.003,fp16,16,7.171630941331387,-8.071037545800209,40.861533261835575,2369.570683249269,48.678236238069154,0.25,0.3621503088745412,16
1200,0.003,fp16,16,9.134928405284882,2.2997723519802094,24.358511239290237,994.8788710293412,31.541700509473824,0.8125,0.7515053853465267,16
1300,0.003,fp16,16,4.608154378831387,-2.6331582814455032,23.726140402257442,914.9288020706688,30.247790036144274,0.6875,0.5969008569280604,16
1400,0.003,fp16,16,1.6682943822816014,2.4923053085803986,34.250450807623565,1567.944247628578,39.5972757601906,0.4375,-0.22759358554515552,16
1500,0.003,fp16,16,-30.354818493127823,-31.443678930401802,35.68268893659115,2316.503242545841,48.130065889689384,0.875,0.5654045778630422,16
1600,0.003,fp16,16,-7.832844980061054,-23.97489257156849,36.22067350894213,2137.6632166566665,46.234870137772276,0.6875,0.26274105632234235,16
1700,0.003,fp16,16,-11.072794864885509,-0.3760773539543152,44.26397455763072,2693.8819613916858,51.90261998581272,0.75,0.5608756960219425,16
1800,0.003,fp16,16,1.464843787252903,7.673845119774342,24.19550634920597,909.0053925379817,30.149716292827396,0.6875,0.22438781875936747,16
1900,0.003,fp16,16,-4.384358644485474,16.06190313771367,33.91507448628545,2038.0313833471107,45.144560949765705,0.6875,0.4878888497268125,16
2000,0.003,fp16,16,5.554199352860451,7.85971225053072,23.35040868073702,837.0623396217596,28.9320296491926,0.625,0.4432602569647003,16
2100,0.003,fp16,16,17.31363996863365,4.715678498148918,43.28631488978863,2705.9345312691075,52.018597936402585,0.5625,0.33798132138178316,16
2200,0.003,fp16,16,3.49934920668602,4.773976998636499,36.895218240329996,1930.9503100284978,43.94257969246341,0.5625,0.46493062132528823,16
2300,0.003,fp16,16,2.492269217967987,3.2928094416856766,32.44565223157406,2086.9932183273377,45.683620897728076,0.5625,0.421336731916759,16
2400,0.003,fp16,16,-15.57413786649704,-42.845531582832336,66.22424727678299,6639.002118892948,81.48007191266431,0.5625,0.22753623402099124,16
