global_step,eps,zo_two_point_precision,fd_mean,td_mean,mae,mse,rmse,sign_acc,corr,probe_num_seeds
200,1e-05,fp16,-3.9577484130859375,-2.9572371393442154,17.575897619128227,529.064766747854,23.001407929686696,0.625,0.043694218502620716,16
400,1e-05,fp16,8.821487426757812,-0.49153295904397964,17.247004620730877,428.584865344723,20.702291306633743,0.1875,-0.22353698947625036,16
600,1e-05,fp16,3.9577484130859375,-9.57943743467331,17.34485000371933,532.4615821024792,23.075129080949452,0.625,0.19344847859200123,16
800,1e-05,fp16,1.239776611328125,-4.167374908924103,20.545352518558502,580.2236869285267,24.08783275698598,0.3125,-0.34596693526003836,16
1000,1e-05,fp16,0.6198883056640625,2.0690073519945145,15.004092037677765,339.8799620205195,18.435833640508896,0.4375,-0.18435291755612976,16
1200,1e-05,fp16,5.3882598876953125,-2.2436301186680794,15.481295205652714,352.69796306358455,18.780254605930786,0.375,-0.19893413319675005,16
1400,1e-05,fp16,-3.7670135498046875,-3.4354708790779114,30.005012035369873,1225.267313212488,35.003818551873565,0.3125,-0.15621577728385097,16
1600,1e-05,fp16,0.762939453125,-3.7340039052069187,11.21657994017005,200.49123464218718,14.159492739578885,0.5,0.10851319705574368,16
1800,1e-05,fp16,-2.193450927734375,-3.42276581376791,14.766370676457882,337.7791261785756,18.37876835314531,0.625,0.1375125617774652,16
2000,1e-05,fp16,3.4332275390625,-1.4645401872694492,15.925168331712484,413.1636979304571,20.326428558171678,0.3125,-0.1994563236499381,16
2200,1e-05,fp16,6.2465667724609375,2.751981198787689,13.51456069946289,250.92824183092557,15.840714688135936,0.375,0.20180967331492075,16
2400,1e-05,fp16,-4.100799560546875,2.501632735133171,12.059114590287209,204.49075016435734,14.300026229498929,0.4375,0.16963709449253844,16
2600,1e-05,fp16,-3.528594970703125,-3.822115436196327,16.016764745116234,380.67870049472964,19.510989223889435,0.4375,-0.0364752585025056,16
2800,1e-05,fp16,-11.301040649414062,0.5389048382639885,17.66501570492983,499.5270269961257,22.350101274851657,0.5625,0.04603657246865647,16
3000,1e-05,fp16,-0.667572021484375,-1.0508726574480534,16.486314568668604,391.7267849865839,19.792088949542034,0.4375,-0.1410476844315476,16
3200,1e-05,fp16,2.956390380859375,1.0579697489738464,22.207830637693405,700.8382472981359,26.47334975589859,0.4375,-0.22535799887620053,16
3400,1e-05,fp16,0.3814697265625,-0.5241985842585564,13.813708536326885,252.81771469133633,15.900242598505733,0.375,-0.10515499649471781,16
3600,1e-05,fp16,-2.47955322265625,-0.49188412725925446,14.706733271479607,326.56898211167703,18.071219718427336,0.625,0.37012854647979765,16
3800,1e-05,fp16,2.193450927734375,0.6895556375384331,12.00983702391386,245.1022532521323,15.655741862081538,0.5625,0.05604357472126991,16
4000,1e-05,fp16,-7.9631805419921875,2.0832646936178207,20.051004961133003,529.5721862371088,23.01243546948277,0.5625,0.03990699692057541,16
4200,1e-05,fp16,4.1484832763671875,1.3980372548103333,14.809732615947723,392.5858792104961,19.813780033363045,0.5625,-0.13541113688493658,16
4400,1e-05,fp16,-1.621246337890625,0.4555758908390999,16.159798197448254,361.24460061578606,19.006435768333475,0.3125,-0.029413522125154235,16
4600,1e-05,fp16,5.817413330078125,4.5722348764538765,12.283209629356861,258.08825116944627,16.06512530823978,0.5625,0.03677112284446614,16
4800,1e-05,fp16,7.62939453125,-1.3261028081178665,20.072769597172737,550.8244714734287,23.469650007476226,0.375,0.06660626450516972,16
5000,1e-05,fp16,-1.6689300537109375,4.000231102108955,10.195477649569511,209.43840685661132,14.471986969888112,0.625,0.08866290081713812,16
5200,1e-05,fp16,4.76837158203125,-0.7545439898967743,20.00337979197502,559.2205135574325,23.647843740126337,0.5,0.11905453062758051,16
5400,1e-05,fp16,-1.811981201171875,-0.08066587522625923,9.313961919397116,130.71287086138526,11.432972966878967,0.4375,0.05788065944473633,16
5600,1e-05,fp16,-3.528594970703125,-0.26394884288311005,14.364552661776543,338.99342872375087,18.411774187289797,0.5,-0.30020548787738077,16
5800,1e-05,fp16,-5.7697296142578125,0.6640600264072418,12.309561222791672,219.0837931932697,14.801479425830031,0.5625,0.3082937818106193,16
6000,1e-05,fp16,-5.245208740234375,-2.5995964407920837,10.816659614443779,224.45065652296043,14.981677360127618,0.5,0.08949933803626682,16
6200,1e-05,fp16,5.7220458984375,-5.151926644146442,17.185846395790577,482.62223395713954,21.968664819627513,0.375,-0.26343223756489126,16
6400,1e-05,fp16,2.765655517578125,-3.401135928928852,18.588889561593533,550.9403426167694,23.472118409226923,0.625,-0.34794592992523254,16
6600,1e-05,fp16,3.6716461181640625,4.964472874999046,27.319800838828087,996.056133853245,31.560356998190706,0.5625,0.05227366125619598,16
6800,1e-05,fp16,-1.621246337890625,2.387838266789913,10.846508048474789,211.77138907074044,14.552367129465242,0.375,-0.06390962579713581,16
7000,1e-05,fp16,7.2479248046875,0.7605522163212299,16.27018339559436,418.60338661103634,20.45979928081007,0.375,-0.1639014029604984,16
7200,1e-05,fp16,2.09808349609375,-5.741037018597126,13.177455343306065,207.22285424079865,14.395237206826383,0.5,0.18803225902573292,16
7400,1e-05,fp16,-2.0503997802734375,11.525649964809418,19.15829861164093,687.9083032492222,26.22800608603754,0.4375,-0.2942124675871273,16
7600,1e-05,fp16,-1.71661376953125,-0.5160259306430817,13.118898659944534,261.89656865929004,16.18321873606391,0.375,-0.0920781731285139,16
7800,1e-05,fp16,3.1948089599609375,-4.638858795166016,12.198114812374115,241.20370041514485,15.530734059121123,0.75,0.3767269179393505,16
8000,1e-05,fp16,-2.193450927734375,-0.456896647810936,13.170591339468956,274.2484355910827,16.5604479284554,0.5,-0.1758656689169477,16
8200,1e-05,fp16,2.956390380859375,-1.5200214833021164,9.912953957915306,176.14961263202122,13.27213670182843,0.5625,0.19064074117061072,16
8400,1e-05,fp16,4.2438507080078125,1.6134001463651657,15.908084645867348,502.93540869268566,22.42622145375109,0.375,-0.06156466852051526,16
8600,1e-05,fp16,1.811981201171875,7.774353116750717,10.669583827257156,219.22985655602278,14.806412683564604,0.625,0.09068388498037708,16
8800,1e-05,fp16,1.9073486328125,4.684994902461767,14.359079528599977,318.3732053117333,17.84301558906827,0.5,0.09321095912018594,16
9000,1e-05,fp16,-3.3855438232421875,2.2219422310590744,13.87102834880352,264.9781753777644,16.278150244354066,0.3125,-0.2305138889317981,16
9200,1e-05,fp16,8.392333984375,2.9549866169691086,14.991800427436829,336.05407774143896,18.33177781180644,0.4375,-0.13634915768457648,16
9400,1e-05,fp16,0.286102294921875,0.005484223365783691,15.66001147031784,306.3680063969267,17.503371286610093,0.5,-0.12024876814955594,16
9600,1e-05,fp16,-0.57220458984375,3.5793944522738457,12.086101911962032,212.7622631413389,14.586372514828316,0.4375,0.020135717152986603,16
9800,1e-05,fp16,0.095367431640625,0.38521207869052887,16.611104890704155,389.65361953077297,19.739645881595063,0.375,-0.003674774178634158,16
