time,step,epoch,phase,split,metric,value,task,model,eps,seed,precision,zo_quantization_bits
2026-04-17 16:19:28,500,1.0395010395010396,train,train,loss,1.9087,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:28,500,1.0395010395010396,train,train,learning_rate,1e-06,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:28,500,1.0395010395010396,train,train,epoch,1.04,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,train,train,eval_loss,1.857421875,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,train,train,eval_runtime,2.6117,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,train,train,eval_samples_per_second,326.987,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,train,train,eval_steps_per_second,40.969,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,train,train,epoch,1.04,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,eval,eval,eval_loss,1.857421875,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,eval,eval,eval_runtime,2.6117,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,eval,eval,eval_samples_per_second,326.987,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,eval,eval,eval_steps_per_second,40.969,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,eval,eval,epoch,1.04,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,eval,eval,accuracy,0.2646370023419204,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:19:31,500,1.0395010395010396,train_probe,train_probe,accuracy,0.234375,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:18,1000,2.079002079002079,train,train,loss,1.7827,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:18,1000,2.079002079002079,train,train,learning_rate,1e-06,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:18,1000,2.079002079002079,train,train,epoch,2.08,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:21,1000,2.079002079002079,train,train,eval_loss,1.65234375,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:21,1000,2.079002079002079,train,train,eval_runtime,2.5742,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:21,1000,2.079002079002079,train,train,eval_samples_per_second,331.753,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:21,1000,2.079002079002079,train,train,eval_steps_per_second,41.566,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:21,1000,2.079002079002079,train,train,epoch,2.08,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,eval,eval,eval_loss,1.65234375,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,eval,eval,eval_runtime,2.5742,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,eval,eval,eval_samples_per_second,331.753,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,eval,eval,eval_steps_per_second,41.566,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,eval,eval,epoch,2.08,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,eval,eval,accuracy,0.3091334894613583,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 16:56:23,1000,2.079002079002079,train_probe,train_probe,accuracy,0.30859375,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:13,1500,3.1185031185031185,train,train,loss,1.7143,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:13,1500,3.1185031185031185,train,train,learning_rate,1e-06,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:13,1500,3.1185031185031185,train,train,epoch,3.12,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,train,train,eval_loss,1.6572265625,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,train,train,eval_runtime,2.5762,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,train,train,eval_samples_per_second,331.491,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,train,train,eval_steps_per_second,41.533,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,train,train,epoch,3.12,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,eval,eval,eval_loss,1.6572265625,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,eval,eval,eval_runtime,2.5762,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,eval,eval,eval_samples_per_second,331.491,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,eval,eval,eval_steps_per_second,41.533,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,eval,eval,epoch,3.12,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,eval,eval,accuracy,0.31030444964871196,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 17:33:16,1500,3.1185031185031185,train_probe,train_probe,accuracy,0.35546875,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:07,2000,4.158004158004158,train,train,loss,1.638,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:07,2000,4.158004158004158,train,train,learning_rate,1e-06,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:07,2000,4.158004158004158,train,train,epoch,4.16,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,train,train,eval_loss,1.5419921875,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,train,train,eval_runtime,2.5728,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,train,train,eval_samples_per_second,331.93,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,train,train,eval_steps_per_second,41.588,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,train,train,epoch,4.16,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,eval,eval,eval_loss,1.5419921875,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,eval,eval,eval_runtime,2.5728,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,eval,eval,eval_samples_per_second,331.93,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,eval,eval,eval_steps_per_second,41.588,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,eval,eval,epoch,4.16,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,eval,eval,accuracy,0.3337236533957845,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:10:09,2000,4.158004158004158,train_probe,train_probe,accuracy,0.33984375,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,train_runtime,10596.0157,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,train_samples_per_second,3.629,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,train_steps_per_second,0.227,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,train_loss,1.7262829310680874,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,tail_perf_window_steps,10.0,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,tail_perf_measured_steps,10.0,SST5,opt-1.3b,0.0001,42,fp16,16
2026-04-17 18:40:09,2405,5.0,train,train,tail_perf_wallclock_per_step,4.272539019584656,SST5,opt-1.3b,0.0001,42,fp16,16
