global_step,eps,zo_two_point_precision,fd_mean,td_mean,mae,mse,rmse,sign_acc,corr,probe_num_seeds
200,3e-07,fp16,54.04154288768768,0.10488007217645645,118.75146318227053,31411.057228643287,177.23164849609475,0.6875,0.08711029292522961,16
400,3e-07,fp16,19.073485612869263,1.16496229916811,216.0315511599183,83783.06416494408,289.4530431087987,0.5625,-0.012539806225810282,16
600,3e-07,fp16,34.96805739402771,-2.8172769509255886,133.95189314708114,42729.3865309656,206.71087666343445,0.5625,0.39615154925047047,16
800,3e-07,fp16,9.5367431640625e-07,-0.7928123250603676,247.81929919868708,100365.61963296664,316.805333971773,0.4375,0.05024608055547358,16
1000,3e-07,fp16,130.33548831939697,-2.4126785211265087,200.6321096085012,58131.072951051225,241.10386340963353,0.5,0.16664060632123062,16
1200,3e-07,fp16,108.08308792114258,-1.8512414433062077,236.01563391461968,104183.38141472198,322.7745055216133,0.4375,0.1116800858661327,16
1400,3e-07,fp16,-119.20928645133972,0.3718099892139435,387.09023329615593,230355.091834457,479.9532183811845,0.375,-0.2345944707150999,16
1600,3e-07,fp16,-28.610231041908264,2.41531228274107,361.6934009715915,209701.8695016958,457.93216692180056,0.5625,0.336376362808941,16
1800,3e-07,fp16,190.7348631620407,-14.414846628904343,378.2203532755375,197441.1221467068,444.3434731676688,0.75,0.46631976080656645,16
2000,3e-07,fp16,63.57828664779663,38.04680293798447,208.89519447088242,76429.83486944967,276.45946333856915,0.5625,0.3913118565088732,16
2200,3e-07,fp16,-57.22045946121216,7.844325125217438,262.48759895563126,106450.21458176606,326.26709086539216,0.5,-0.06120919280804006,16
2400,3e-07,fp16,38.14697241783142,3.4155009984970093,324.46371495723724,137331.08762701257,370.5820929659346,0.3125,-0.39559238264313656,16
