time,step,epoch,phase,split,metric,value,task,model,eps,seed,precision,zo_quantization_bits
2026-04-18 11:04:37,500,0.020371577574967405,train,train,loss,1.3928,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:04:37,500,0.020371577574967405,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:04:37,500,0.020371577574967405,train,train,epoch,0.02,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,train,train,eval_loss,1.2548828125,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,train,train,eval_runtime,35.9979,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,train,train,eval_samples_per_second,272.655,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,train,train,eval_steps_per_second,34.085,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,train,train,epoch,0.02,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,eval,eval,eval_loss,1.2548828125,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,eval,eval,eval_runtime,35.9979,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,eval,eval,eval_samples_per_second,272.655,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,eval,eval,eval_steps_per_second,34.085,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,eval,eval,epoch,0.02,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,eval,eval,accuracy,0.3379521141110545,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:05:13,500,0.020371577574967405,train_probe,train_probe,accuracy,0.31640625,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:18:25,1000,0.04074315514993481,train,train,loss,1.6026,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:18:25,1000,0.04074315514993481,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:18:25,1000,0.04074315514993481,train,train,epoch,0.04,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,train,train,eval_loss,1.54296875,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,train,train,eval_runtime,35.8079,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,train,train,eval_samples_per_second,274.102,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,train,train,eval_steps_per_second,34.266,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,train,train,epoch,0.04,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,eval,eval,eval_loss,1.54296875,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,eval,eval,eval_runtime,35.8079,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,eval,eval,eval_samples_per_second,274.102,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,eval,eval,eval_steps_per_second,34.266,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,eval,eval,epoch,0.04,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,eval,eval,accuracy,0.33642384105960266,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:19:01,1000,0.04074315514993481,train_probe,train_probe,accuracy,0.3203125,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:12,1500,0.06111473272490222,train,train,loss,2.0176,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:12,1500,0.06111473272490222,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:12,1500,0.06111473272490222,train,train,epoch,0.06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,train,train,eval_loss,1.7998046875,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,train,train,eval_runtime,35.7433,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,train,train,eval_samples_per_second,274.597,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,train,train,eval_steps_per_second,34.328,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,train,train,epoch,0.06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,eval,eval,eval_loss,1.7998046875,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,eval,eval,eval_runtime,35.7433,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,eval,eval,eval_samples_per_second,274.597,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,eval,eval,eval_steps_per_second,34.328,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,eval,eval,epoch,0.06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,eval,eval,accuracy,0.3443708609271523,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:32:47,1500,0.06111473272490222,train_probe,train_probe,accuracy,0.3359375,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:45:56,2000,0.08148631029986962,train,train,loss,1.9766,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:45:56,2000,0.08148631029986962,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:45:56,2000,0.08148631029986962,train,train,epoch,0.08,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,train,train,eval_loss,2.150390625,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,train,train,eval_runtime,35.7954,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,train,train,eval_samples_per_second,274.197,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,train,train,eval_steps_per_second,34.278,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,train,train,epoch,0.08,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,eval,eval,eval_loss,2.150390625,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,eval,eval,eval_runtime,35.7954,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,eval,eval,eval_samples_per_second,274.197,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,eval,eval,eval_steps_per_second,34.278,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,eval,eval,epoch,0.08,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,eval,eval,accuracy,0.3252165053489557,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:46:32,2000,0.08148631029986962,train_probe,train_probe,accuracy,0.3203125,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:59:41,2500,0.10185788787483703,train,train,loss,2.3131,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:59:41,2500,0.10185788787483703,train,train,learning_rate,1e-06,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 11:59:41,2500,0.10185788787483703,train,train,epoch,0.1,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 12:00:17,2500,0.10185788787483703,train,train,eval_loss,3.10546875,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 12:00:17,2500,0.10185788787483703,train,train,eval_runtime,35.7468,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 12:00:17,2500,0.10185788787483703,train,train,eval_samples_per_second,274.57,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 12:00:17,2500,0.10185788787483703,train,train,eval_steps_per_second,34.325,MNLI,opt-1.3b,0.0001,42,fp16,8
2026-04-18 12:00:17,2500,0.10185788787483703,train,train,epoch,0.1,MNLI,opt-1.3b,0.0001,42,fp16,8
