time,step,epoch,phase,split,metric,value,task,model,eps,seed,precision,zo_quantization_bits
2026-04-18 12:29:46,500,1.0395010395010396,train,train,loss,2.6196,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:46,500,1.0395010395010396,train,train,learning_rate,1e-06,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:46,500,1.0395010395010396,train,train,epoch,1.04,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,train,train,eval_loss,2.181640625,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,train,train,eval_runtime,2.6675,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,train,train,eval_samples_per_second,320.153,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,train,train,eval_steps_per_second,40.113,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,train,train,epoch,1.04,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,eval,eval,eval_loss,2.181640625,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,eval,eval,eval_runtime,2.6675,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,eval,eval,eval_samples_per_second,320.153,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,eval,eval,eval_steps_per_second,40.113,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,eval,eval,epoch,1.04,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,eval,eval,accuracy,0.1873536299765808,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:29:49,500,1.0395010395010396,train_probe,train_probe,accuracy,0.19140625,SST5,opt-1.3b,0.0003,42,fp16,8
2026-04-18 12:39:47,1000,2.079002079002079,train,train,loss,3.2122,SST5,opt-1.3b,0.0003,42,fp16,8
