run_name,seed,precision_mode,zo_quantization,update_backend,direction_type,h_raw,h_active,sparse_rate,sparse_mode,sparse_rescale,lr,steps_completed,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,best_eval_loss_step,last_eval_loss,last_eval_loss_step,final_train_loss,final_train_acc,nan_occurred,early_stopped,final_acc,final_acc_alias_warning,family,max_steps,eval_every,actual_active_frac_last,actual_active_frac_mean,projected_grad_mean,projected_grad_std,d_fd_mean,d_fd_std,cos_intended_actual_last,actual_over_intended_norm_ratio_last,saturation_frac_last,residual_over_scale_p50_last,residual_over_scale_p90_last,residual_over_scale_p99_last,residual_bound_violation_frac_last,grid_error_norm_last,scale_drift_max,completed,notes,source_batch,gpu_group
dense_int8_fp16master_h2e-3_seed0_step5000,0,int8,int8,fp16_master,dense,0.002,0.002,1.0,none,none,1e-05,5001,0.48009367681498827,2590,0.25878220140515223,4990,1.2502167224884033,2590,1.58497953414917,4990,1.59967041015625,0.296875,False,False,0.25878220140515223,final_acc may refer to best or last in old summaries,dense,5000,200.0,,,-0.29366733807577106,18.14404668031676,,,0.18431986608713447,5.426767293419808,1.2036138557497279e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
dense_int8_fp16master_h2e-3_seed1_step5000,1,int8,int8,fp16_master,dense,0.002,0.002,1.0,none,none,1e-05,5001,0.46252927400468385,3590,0.44028103044496486,4990,1.3087759017944336,4390,1.3424155712127686,4990,1.446014404296875,0.4375,False,False,0.44028103044496486,final_acc may refer to best or last in old summaries,dense,5000,200.0,,,0.034375902191913464,10.930121790841264,,,0.1038759958994155,9.62818451923884,2.0125600317118668e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
dense_int8_fp16master_h2e-3_seed2_step5000,2,int8,int8,fp16_master,dense,0.002,0.002,1.0,none,none,1e-05,5001,0.4718969555035129,3990,0.29859484777517564,4990,1.333630084991455,4190,1.5536363124847412,4990,1.6420021057128906,0.46875,False,False,0.29859484777517564,final_acc may refer to best or last in old summaries,dense,5000,200.0,,,-0.1189978883911421,12.93870826211166,,,0.170328367444666,5.86999330482028,1.5468031425215444e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
dense_int8_fp16master_h3e-3_seed0_step5000,0,int8,int8,fp16_master,dense,0.003,0.003,1.0,none,none,1e-05,5001,0.4707259953161593,3590,0.31381733021077285,4990,1.2461341619491577,3590,1.4851014614105225,4990,1.5414657592773438,0.328125,False,False,0.31381733021077285,final_acc may refer to best or last in old summaries,dense,5000,200.0,,,0.00279863784813643,13.373078009569907,,,0.016418269734233076,60.24666529660407,1.4315895962481488e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
dense_int8_fp16master_h3e-3_seed1_step5000,1,int8,int8,fp16_master,dense,0.003,0.003,1.0,none,none,1e-05,5001,0.45550351288056207,4990,0.45550351288056207,4990,1.3664021492004395,4990,1.3664021492004395,4990,1.468292236328125,0.484375,False,False,0.45550351288056207,final_acc may refer to best or last in old summaries,dense,5000,200.0,,,-0.005662378448026634,8.568228555284772,,,0.02631838493427021,37.911620045828,3.5642658783301514e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
dense_int8_fp16master_h3e-3_seed2_step2000,2,int8,int8,fp16_master,dense,0.003,0.003,1.0,none,none,1e-05,2001,0.36065573770491804,1990,0.36065573770491804,1990,1.5405956506729126,1790,1.5457062721252441,1990,1.5076141357421875,0.296875,False,False,0.36065573770491804,final_acc may refer to best or last in old summaries,dense,2000,200.0,,,-0.10359962290987887,8.115506643445237,,,0.012302473215952578,79.50018100925084,8.883699823293307e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
dense_int8_fp16master_h3e-3_seed2_step5000,2,int8,int8,fp16_master,dense,0.003,0.003,1.0,none,none,1e-05,5001,0.45550351288056207,4390,0.4414519906323185,4990,1.4091805219650269,4990,1.4091805219650269,4990,1.4970855712890625,0.453125,False,False,0.4414519906323185,final_acc may refer to best or last in old summaries,dense,5000,200.0,,,-0.07933205532286614,8.646230608966906,,,0.018485807227067913,53.36928758691004,4.098660624874837e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
sparse_int8_fp16master_p0p003_hactive0p006_lr3e-6_seed0_step500,0,int8,int8,fp16_master,sparse,0.0003286335345030997,0.006,0.003,exact_random,inv_sqrt_p,3e-06,501,0.27985948477751754,490,0.27985948477751754,490,1.5873194932937622,490,1.5873194932937622,490,1.5856170654296875,0.234375,False,False,0.27985948477751754,final_acc may refer to best or last in old summaries,sparse_screen,500,100.0,0.0030000210178924625,0.003000018820972164,0.43996624366014064,18.49461943389015,,,0.012811204003618038,77.65414928489879,9.452413498515175e-06,,,,,0.0,,True,,cluster_dense_l4_first_chunk,l4
sparse_int8_fp16master_p0p003_hactive0p006_lr1e-5_seed0_step500,0,int8,int8,fp16_master,sparse,0.0003286335345030997,0.006,0.003,exact_random,inv_sqrt_p,1e-05,501,0.3395784543325527,390,0.32903981264637,490,1.5177359580993652,490,1.5177359580993652,490,1.5289459228515625,0.3125,False,False,0.32903981264637,final_acc may refer to best or last in old summaries,sparse_screen,500,100.0,0.0030000210178924625,0.003000018820972164,0.31980151911740173,12.633050803363846,,,0.012385996635192013,80.76364279405196,1.8213545719389975e-06,,,,,0.0,,True,,sparse_l4_offset8_limit7,l4
sparse_int8_fp16master_p0p003_hactive0p006_lr3e-5_seed0_step500,0,int8,int8,fp16_master,sparse,0.0003286335345030997,0.006,0.003,exact_random,inv_sqrt_p,3e-05,501,0.3114754098360656,190,0.21779859484777517,490,1.5580506324768066,290,1.6309261322021484,490,1.61895751953125,0.25,False,False,0.21779859484777517,final_acc may refer to best or last in old summaries,sparse_screen,500,100.0,0.0030000210178924625,0.003000018820972164,0.17224867204706112,17.595764612335213,,,0.17903227901369748,5.585513686575295,1.0957543656214428e-06,,,,,0.0,,True,,sparse_l4_offset8_limit7,l4
sparse_int8_fp16master_p0p003_hactive0p012_lr1e-5_seed0_step500,0,int8,int8,fp16_master,sparse,0.0006572670690061994,0.012,0.003,exact_random,inv_sqrt_p,1e-05,501,0.32786885245901637,390,0.32201405152224827,490,1.530879259109497,490,1.530879259109497,490,1.54901123046875,0.328125,False,False,0.32201405152224827,final_acc may refer to best or last in old summaries,sparse_screen,500,100.0,0.0030000210178924625,0.003000018820972164,0.22978366674212164,12.453250466401448,,,0.007154233644949337,140.5161295234935,1.8777356690515103e-06,,,,,0.0,,True,,sparse_l4_offset8_limit7,l4
sparse_int8_fp16master_p0p003_hactive0p012_lr3e-5_seed0_step500,0,int8,int8,fp16_master,sparse,0.0006572670690061994,0.012,0.003,exact_random,inv_sqrt_p,3e-05,501,0.29508196721311475,290,0.2716627634660422,490,1.558345079421997,190,1.6088553667068481,490,1.611785888671875,0.28125,False,False,0.2716627634660422,final_acc may refer to best or last in old summaries,sparse_screen,500,100.0,0.0030000210178924625,0.003000018820972164,0.19379996472482613,11.931002566892744,,,0.21872584224894862,4.571239671795258,1.1153651820084037e-06,,,,,0.0,,True,,sparse_l4_offset8_limit7,l4
