configured_sparse_ratio,active_fraction,active_coordinates,projection_mse,projection_error_sq_median,projection_error_sq_p25,projection_error_sq_p75,projection_abs_error_median,unit_projection_mse,truncation_abs_mean,truncation_abs_median,truncation_abs_p25,truncation_abs_p75,truncation_rel_median,abs_loss_gap_median,loss_gap_floor_snr_mean,loss_gap_floor_snr_median,loss_gap_floor_snr_p25,loss_gap_floor_snr_p75,minibatch_signal_quality_snr_median,delta_norm_median
0.005,0.0048828125,10,5.1984526452096963e-17,2.9128436175950726e-17,5.165778948118082e-18,7.009715981118501e-17,5.397076632395609e-09,5.214447376366107e-18,1.7832250348672964e-09,1.6523636492545794e-09,6.95686581811335e-10,2.5620660798133946e-09,7.895711046354218e-06,0.00024101896997308359,3.21610526654581,2.410189699730836,1.8091241508955136,4.778635702678002,0.1769797327659849,0.4840799570083618
0.01,0.009765625,20,3.5986154693394084e-16,1.2833790605812296e-16,6.069521507543313e-17,3.2717954477975744e-16,1.1328169798114053e-08,1.8025505279511645e-17,4.603630770553238e-09,3.4682212726939683e-09,2.3849072113463253e-09,5.537819060686799e-09,1.0128647759187484e-05,0.00030310600413940847,3.2565310854693053,3.0310600413940847,0.7993004510353785,4.624134453479201,0.1548656985020262,0.6845923662185669
0.02,0.02001953125,41,1.3925468007423784e-15,6.568247486911456e-16,3.493603267273463e-16,2.2143263748061292e-15,2.557691993311864e-08,3.385865311182647e-17,9.62387340771822e-09,7.830604535754909e-09,5.68816448351145e-09,1.4406498125582676e-08,1.5818955426335747e-05,0.0005778374325018376,5.583432701996571,5.778374325018376,3.0364612030098215,8.209137158701196,0.2098479127468902,0.9801869988441467
0.05,0.0498046875,102,5.186951232288997e-14,2.4489373268761005e-14,7.05759879352278e-15,9.514043212152411e-14,1.5620605693081237e-07,5.082798203266999e-16,5.873828840738446e-08,4.7823892052097235e-08,2.569330640635187e-08,9.442507286998563e-08,9.595119632461312e-05,0.0008592601807322353,9.039161802775197,8.592601807322353,2.9111075127730146,12.526042410172522,0.19547870874113826,1.546027660369873
0.1,0.10009765625,205,2.1143303628998365e-13,1.236342712554882e-13,2.6946518731156907e-14,2.4753535768987125e-13,3.5080496816751634e-07,1.0312979903132675e-15,1.148056949711083e-07,1.074021024452033e-07,5.0170948998108926e-08,1.5229005014547655e-07,6.821697423176598e-05,0.001089095021598041,13.15327958764101,10.89095021598041,5.2837483963230625,16.88330026809126,0.17318255856398213,2.1917660236358643
0.2,0.2001953125,410,1.8557891216130545e-12,5.624192351741817e-13,1.1312951215595177e-13,1.7019619649937503e-12,7.498934209474416e-07,4.525682624342266e-15,3.0689343291887603e-07,2.2958662883321157e-07,1.0297421878973962e-07,3.9925731997852423e-07,0.00019760567649190053,0.0015233036829158664,18.419132738927146,15.233036829158664,6.867714109830558,26.361843920312822,0.1724669775259538,3.099625587463379
0.35,0.35009765625,717,8.851176558829215e-12,7.10615534227811e-12,3.635997774008388e-12,1.3691331066901682e-11,2.665735723285465e-06,1.2345944265934241e-14,8.128942648721952e-07,8.161390151902015e-07,5.83733861667633e-07,1.1327896139432566e-06,0.0005524810786003548,0.0014179872232489288,18.684875187773287,14.179872232489288,6.748369487468153,22.88453048095107,0.12136514089279107,4.099002361297607
0.5,0.5,1024,3.292248957186237e-11,1.075354357559344e-11,8.149646065640954e-13,3.7664667793579336e-11,3.2763221003732565e-06,3.215155866621769e-14,1.3366957053468274e-06,1.0030755371162386e-06,2.7607328057573533e-07,1.8784027824380158e-06,0.0005490349979437,0.002564525115303695,26.564554503352156,25.645251153036952,12.769992463290691,37.60897147003561,0.18656515099145837,4.898567199707031
0.75,0.75,1536,1.1652599194465727e-10,7.148979780172932e-11,2.5139600592291697e-11,1.6891807477017077e-10,8.445653416846066e-06,7.587396817216922e-14,2.7999100948935508e-06,2.585712905466231e-06,1.5350363934438054e-06,3.976959689216974e-06,0.0007712537476453024,0.003010551678016782,37.94594002101803,30.105516780167818,18.530070083215833,54.03705989010632,0.1773109834663124,5.999500751495361
1.0,1.0,2048,3.7005380992989964e-10,2.879862831278232e-10,3.392932556065149e-11,5.849145583061891e-10,1.6969488707594283e-05,1.806709422988671e-13,4.9995668914120864e-06,5.1953618962000125e-06,1.7829914144345712e-06,7.404441909491556e-06,0.0021615564637567685,0.0024189603282138705,29.347950380156362,24.189603282138705,13.022930652368814,43.22124528698623,0.1213753959160034,6.9276299476623535
