label,h_str,h,status,eval_loss,probe_mse,corr,sign_acc,fd_mean,td_mean,probe_global_step,metrics_path,probe_path
RoBERTa-large / SST-5,1e-8,1e-08,skipped_nan_guard,,9458277410.87141,0.22899227017138085,0.5,-19121.170471191406,-153.0131320953369,200,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-8/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-8/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / SST-5,3e-8,3e-08,skipped_nan_guard,,2878087101.021477,0.3860476696175142,0.5625,-2034.5052795410156,-14.004338264465332,800,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-8/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-8/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / SST-5,1e-7,1e-07,skipped_nan_guard,8.4140625,701810210.481328,0.7809020943255403,1.0,2670.2880859375,-14.825382649898529,5600,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-7/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-7/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / SST-5,3e-7,3e-07,missing_from_summary,,137331.08762701257,-0.39559238264313656,0.3125,38.14697241783142,3.4155009984970093,2400,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-7/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-7/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / SST-5,1e-6,1e-06,completed,1.580078125,10913.21781936273,-0.08592923108918428,0.3125,26.702880859375,-5.14209271967411,50000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-6/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-6/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / SST-5,3e-6,3e-06,completed,1.291015625,8784.028194969165,-0.10757135862724873,0.5625,25.749204844236374,6.58170685172081,50000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-6/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-6/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / SST-5,1e-5,1e-05,completed,1.080078125,1440.2339712255534,0.45360826079218153,0.625,-8.678436279296875,5.3297329200431705,50000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-5/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-5/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / MNLI,1e-8,1e-08,skipped_nan_guard,,10174263948.639305,0.4210010223414973,0.5,93.877197265625,63.27686047554016,200,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-8/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-8/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / MNLI,3e-8,3e-08,skipped_nan_guard,,2179667158.165064,-0.013835610364799885,0.5625,-17265.479614257812,-10.60529488325119,600,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-8/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-8/run_sparse_mezo16/seed16/zo_directional_probe.csv
RoBERTa-large / MNLI,1e-7,1e-07,skipped_nan_guard,25.3125,794705664.3026519,-0.12751685504929575,0.5,-305.17578125,2.57816219329834,5000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-7/run_sparse_mezo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/sparse_mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-7/run_sparse_mezo16/seed16/zo_directional_probe.csv
