global_step,eps,precision,zo_quantization_bits,fd_mean,td_mean,mae,mse,rmse,sign_acc,corr,probe_num_seeds
200,1e-05,fp16,16,-39.6728515625,-25.7153877094388,72.23898863047361,8849.025918705509,94.06926128499951,0.75,0.5589650463471252,16
400,1e-05,fp16,16,0.0,8.86806207895279,73.69235557317734,8208.294589390322,90.59963901357622,0.625,0.5150636250705366,16
600,1e-05,fp16,16,103.759765625,39.58771309256554,228.1973058283329,68851.06835912344,262.3948710610088,0.625,0.5101134354348931,16
800,1e-05,fp16,16,88.5009765625,9.37393468618393,147.70555120706558,31050.355889454946,176.21111170824315,0.3125,-0.17960357038284472,16
1000,1e-05,fp16,16,73.2421875,6.121536701917648,141.57683327794075,29384.148067376205,171.41805058795939,0.625,-0.07885800101472412,16
1200,1e-05,fp16,16,-12.20703125,-12.740111783146858,52.86615227162838,4266.780672957926,65.3205991472669,0.5,0.42895783124770254,16
1400,1e-05,fp16,16,24.4140625,-6.357861950993538,103.02220614254475,15814.023714821815,125.75382186964265,0.75,0.5320294572814097,16
1600,1e-05,fp16,16,6.103515625,-11.061061605811119,67.16694615781307,6351.080847209824,79.69366880254556,0.4375,0.6161232734508898,16
1800,1e-05,fp16,16,18.310546875,-0.25479861348867416,66.72726186364889,7031.435871194995,83.85365747058977,0.375,0.030614025505092388,16
2000,1e-05,fp16,16,15.2587890625,-1.3730455338954926,87.47369375824928,10434.432321034092,102.14906911486806,0.375,0.13947993470029713,16
2200,1e-05,fp16,16,-9.1552734375,1.1430703401565552,51.42201793193817,4255.344210279166,65.23299939661801,0.4375,0.6023825216100431,16
2400,1e-05,fp16,16,-18.310546875,0.07523298263549805,43.42583167552948,2564.083995870792,50.636785007253295,0.5,0.7802178168755044,16
2600,1e-05,fp16,16,15.2587890625,12.863287568092346,36.97436761856079,1933.4629776515694,43.97116074942268,0.75,0.8740105748576784,16
2800,1e-05,fp16,16,-6.103515625,-15.464103527367115,55.70817161351442,5149.910288416231,71.76287541909278,0.75,0.7040396924913664,16
3000,1e-05,fp16,16,-9.1552734375,0.9607064425945282,55.64764454960823,4505.629664578726,67.12398725179193,0.375,0.27138451611148184,16
3200,1e-05,fp16,16,15.2587890625,6.8156305141747,83.97361407801509,10152.655153062542,100.7603848397898,0.4375,0.18505077649557616,16
3400,1e-05,fp16,16,-3.0517578125,-1.462804526090622,90.71248504519463,12428.043523221248,111.48113527956758,0.5,0.22025809758611267,16
3600,1e-05,fp16,16,-6.103515625,-3.8533354699611664,55.18652519583702,5368.636365174124,73.27097901061596,0.3125,0.09836096305304996,16
3800,1e-05,fp16,16,-30.517578125,-6.257539689540863,55.2300985455513,5002.761008748885,70.7301987042938,0.6875,0.4058062351175651,16
4000,1e-05,fp16,16,-27.4658203125,3.2820027619600296,67.28046210110188,6127.932066911296,78.28110925958634,0.3125,0.19864437980017294,16
4200,1e-05,fp16,16,-12.20703125,0.9751335345208645,63.55583894625306,7310.978640060248,85.5042609468104,0.5625,0.3284427856620742,16
4400,1e-05,fp16,16,-21.3623046875,2.332246921956539,77.0233843550086,9490.16002291151,97.41745235280746,0.3125,-0.04338090861901789,16
4600,1e-05,fp16,16,-3.0517578125,60.134399235248566,107.85938435792923,15780.725790924074,125.62135881658052,0.625,0.6812184043629926,16
4800,1e-05,fp16,16,-12.20703125,3.870393246412277,51.82794138789177,4028.835917772293,63.47311177004239,0.6875,0.735612528009431,16
5000,1e-05,fp16,16,-15.2587890625,-1.6188913583755493,68.58022630214691,6553.017145162727,80.95070812020563,0.375,0.131429597781752,16
5200,1e-05,fp16,16,21.3623046875,4.062972471117973,83.84804601967335,9478.438830390583,97.35727415242573,0.5625,0.3466298889123721,16
5400,1e-05,fp16,16,-9.1552734375,2.7581263333559036,57.487451151013374,5314.505192776176,72.90065289677574,0.375,0.18624707801517293,16
5600,1e-05,fp16,16,12.20703125,12.873619616031647,49.420988857746124,3532.0152084087613,59.43075978320285,0.5625,0.42831867424261383,16
5800,1e-05,fp16,16,3.0517578125,1.9079903662204742,38.73989763855934,2598.0560379847466,50.97112945565113,0.4375,0.41126339575489873,16
6000,1e-05,fp16,16,-6.103515625,7.691504016518593,72.00745062530041,6996.065812759413,83.64248808326671,0.5,0.12871856087563188,16
6200,1e-05,fp16,16,9.1552734375,-2.302128603681922,52.0323594417423,3861.225447112628,62.1387596200039,0.5625,0.5751224971951843,16
6400,1e-05,fp16,16,-24.4140625,4.883597329258919,81.66751523315907,10003.11078178065,100.01555269947094,0.875,0.669340958621786,16
6600,1e-05,fp16,16,3.0517578125,3.7141671776771545,71.21382468938828,9228.718340931366,96.06621852103561,0.5625,0.5472710234458574,16
6800,1e-05,fp16,16,-9.1552734375,-1.058489739894867,69.17221315950155,8225.644345585615,90.69533805872061,0.5,0.4304315134795334,16
7000,1e-05,fp16,16,33.5693359375,3.9454625099897385,76.0033296495676,8860.830920023127,94.13198669965023,0.625,0.4955388296385645,16
7200,1e-05,fp16,16,-27.4658203125,-0.7345751821994781,67.63334041833878,7662.911987786358,87.53806022403259,0.5625,0.37006653849503385,16
7400,1e-05,fp16,16,-27.4658203125,-3.9288401007652283,91.28073179721832,11507.446107952866,107.27276498698477,0.5,0.1021775517649775,16
7600,1e-05,fp16,16,-12.20703125,-13.200900226831436,131.86221393942833,21723.598499924854,147.38927538978152,0.4375,0.3041510670228013,16
7800,1e-05,fp16,16,3.0517578125,-10.316342446953058,59.98693284764886,6052.024009283676,77.79475566697074,0.5625,0.667461061547631,16
8000,1e-05,fp16,16,-39.6728515625,-4.251174628734589,65.41205424070358,5657.161674356761,75.21410555445541,0.4375,0.55190642596325,16
8200,1e-05,fp16,16,-27.4658203125,-7.808566570281982,63.66705560684204,4705.96925785878,68.60006747707162,0.5,0.6083881575034248,16
8400,1e-05,fp16,16,-33.5693359375,-7.397190913558006,85.13100303709507,9168.174150187206,95.75058302792316,0.5,0.5091653724314451,16
8600,1e-05,fp16,16,-6.103515625,2.0248644053936005,41.361211866140366,2411.0759870988704,49.102708551554166,0.5,0.33709945799008423,16
8800,1e-05,fp16,16,-33.5693359375,-7.752996027469635,46.08784657716751,2918.138959001367,54.01980154537193,0.6875,0.660865076676776,16
9000,1e-05,fp16,16,21.3623046875,6.543933525681496,54.279547676444054,3996.705351354963,63.21950135326095,0.6875,0.6483304048078181,16
9200,1e-05,fp16,16,-3.0517578125,-3.1774044036865234,34.637070298194885,1968.974587246235,44.37312911263116,0.8125,0.9501808803308996,16
9400,1e-05,fp16,16,-3.0517578125,4.0067272782325745,28.7862406373024,1338.6491348690442,36.58755437124821,0.4375,0.4957634039175809,16
9600,1e-05,fp16,16,-30.517578125,-7.320607863366604,62.645006097853184,6608.984489402588,81.29566095064723,0.625,0.27222378563818517,16
9800,1e-05,fp16,16,9.1552734375,3.642750176601112,64.17387407738715,7107.2925225842355,84.30475978605381,0.5,0.3364740445671905,16
10000,1e-05,fp16,16,-27.4658203125,-8.178603500127792,63.114792197942734,4766.901460005656,69.04275095913876,0.75,0.7101943937128606,16
10200,1e-05,fp16,16,-3.0517578125,-3.4532906636595726,69.89489813894033,8019.527819682458,89.5518163952159,0.5625,0.29765368927605423,16
10400,1e-05,fp16,16,0.0,-2.63803268969059,64.01918728649616,5654.22102626946,75.19455449877644,0.5625,0.5387595353883463,16
10600,1e-05,fp16,16,-21.3623046875,3.0232734009623528,71.6954730078578,6613.567100941693,81.3238409136072,0.6875,0.30824902164069085,16
10800,1e-05,fp16,16,0.0,8.750377506017685,57.11354020237923,4656.228993986424,68.23656639944909,0.6875,0.7444827611687495,16
11000,1e-05,fp16,16,18.310546875,5.90181964635849,83.75252264738083,10861.469406568425,104.21837365152281,0.5,0.46925362968134526,16
11200,1e-05,fp16,16,-18.310546875,0.7067321464419365,89.12529587000608,11055.528460152502,105.14527312320084,0.5625,0.37252050352244664,16
11400,1e-05,fp16,16,-18.310546875,-10.436299175024033,62.438856929540634,6017.2938408383325,77.57121786357574,0.75,0.45782946552073417,16
11600,1e-05,fp16,16,-27.4658203125,-7.287303924560547,71.09566283226013,8243.738116723465,90.79503354657382,0.625,0.19731015855036213,16
11800,1e-05,fp16,16,6.103515625,-3.4548758305609226,83.85798585042357,12870.510360371707,113.44827173814376,0.375,0.18765864178517772,16
12000,1e-05,fp16,16,-30.517578125,6.310862511396408,82.32276383042336,10570.557023821686,102.81321424710778,0.625,0.4437379569289456,16
12200,1e-05,fp16,16,-39.6728515625,0.4448559209704399,81.50628260523081,11247.903237059354,106.05613248209343,0.4375,0.28959061603164243,16
12400,1e-05,fp16,16,18.310546875,13.813023352064192,76.82619980629534,8088.042332732974,89.93354397961294,0.375,-0.25989406992663916,16
12600,1e-05,fp16,16,24.4140625,10.195809811353683,64.38500311970711,7596.950677303622,87.16048805108667,0.75,0.5909804095209921,16
12800,1e-05,fp16,16,0.0,-1.0715680196881294,65.6346947401762,6237.930054308898,78.98056757398555,0.375,0.4333175242103327,16
13000,1e-05,fp16,16,18.310546875,1.7988445609807968,65.86261676251888,7766.946335674077,88.13028046973456,0.5625,0.33937210981917987,16
13200,1e-05,fp16,16,0.0,-13.181148709729314,82.76794355921447,10050.82296931955,100.25379279268964,0.5,0.41496909743987553,16
13400,1e-05,fp16,16,6.103515625,3.8318497240543365,85.6861771941185,10555.277314524534,102.73887927422867,0.625,0.2997274062995877,16
13600,1e-05,fp16,16,-24.4140625,-18.78476819396019,79.93533173203468,9568.979059456946,97.8211585468959,0.5625,0.428954271552132,16
13800,1e-05,fp16,16,70.1904296875,18.71041862666607,80.73597319424152,9011.079107367761,94.92670386865733,0.625,0.4442749813642922,16
14000,1e-05,fp16,16,-3.0517578125,-16.065519973635674,77.21278969943523,8537.921979498122,92.40087650827843,0.9375,0.8691648480845346,16
14200,1e-05,fp16,16,-6.103515625,-0.712260901927948,77.20646315813065,9491.689921348574,97.42530431745428,0.4375,0.14481840221070486,16
14400,1e-05,fp16,16,3.0517578125,8.090279519557953,76.00647956132889,7662.537843947937,87.53592316271039,0.375,0.0697421916679217,16
14600,1e-05,fp16,16,-39.6728515625,-22.397727847099304,74.47516041994095,7084.555219425778,84.16979992506681,0.75,0.6357860481947478,16
14800,1e-05,fp16,16,12.20703125,21.861660599708557,58.057915806770325,5999.322431800943,77.45529311674538,0.625,0.6878854113015384,16
15000,1e-05,fp16,16,39.6728515625,10.16368693858385,55.08508474379778,4206.385878397272,64.85665639236478,0.375,0.22125571121509297,16
15200,1e-05,fp16,16,-36.62109375,-2.1862859055399895,112.5300751850009,18050.052431508877,134.35048355517324,0.25,-0.2110402208879822,16
15400,1e-05,fp16,16,0.0,-10.745851069688797,62.49765285849571,5319.921761963678,72.93779378322104,0.6875,0.8719560580293347,16
15600,1e-05,fp16,16,-42.724609375,-2.0769518613815308,75.35292413830757,8806.469560773923,93.84279173582766,0.4375,0.1869683667762095,16
15800,1e-05,fp16,16,-3.0517578125,8.5090853869915,61.16253378987312,6413.266941010537,80.0828754541852,0.375,0.198494412067063,16
16000,1e-05,fp16,16,-9.1552734375,4.41786171682179,97.72246398217976,11565.743574778768,107.54414709680285,0.5625,0.2817493475198279,16
16200,1e-05,fp16,16,-12.20703125,1.547115296125412,57.684198409318924,4703.3321112849535,68.58084361747785,0.5625,0.5504762164667636,16
16400,1e-05,fp16,16,21.3623046875,0.27668121457099915,58.180669754743576,4325.3662068254,65.76751634983185,0.625,0.3609100996310936,16
16600,1e-05,fp16,16,-9.1552734375,-6.744389712810516,58.01413577795029,6121.966822518035,78.24299855270141,0.6875,0.7699768617759147,16
16800,1e-05,fp16,16,0.0,-13.01972807943821,57.623239651322365,5134.725902665812,71.6570017700002,0.5,0.4974641603364757,16
17000,1e-05,fp16,16,33.5693359375,20.42424788326025,94.62864574044943,12611.52124267721,112.30102957086908,0.6875,0.6272573486124834,16
17200,1e-05,fp16,16,-51.8798828125,0.7405236959457397,69.49857175350189,7204.6839365121805,84.88040961560083,0.6875,0.7665792129929713,16
17400,1e-05,fp16,16,-9.1552734375,7.279306627810001,62.50369832664728,7886.931414534378,88.80839720732706,0.5,0.1610777309960871,16
17600,1e-05,fp16,16,21.3623046875,4.911731526255608,74.53895349800587,8656.305263953645,93.03926732274736,0.5,0.4516953655373272,16
17800,1e-05,fp16,16,18.310546875,1.0032823979854584,75.28596022725105,7972.586123342906,89.2893393599869,0.5625,0.3306685450938151,16
18000,1e-05,fp16,16,9.1552734375,4.21554280037526,46.58584655041341,3081.291542447626,55.50938247222379,0.5625,0.4147924252789125,16
18200,1e-05,fp16,16,-18.310546875,-8.009353913366795,65.4378000870347,6996.368740974842,83.64429891495799,0.625,0.6846919179817449,16
18400,1e-05,fp16,16,27.4658203125,3.256460577249527,48.59294897317886,3834.9233034016656,61.92675757216476,0.5,0.5542003843643772,16
18600,1e-05,fp16,16,27.4658203125,8.366321370005608,58.36155168712139,4559.192398659376,67.52179202790293,0.5625,0.25319603713106864,16
18800,1e-05,fp16,16,-30.517578125,-21.564880788326263,31.960009157657623,1639.170459429166,40.486670144989276,0.75,0.8284618573289444,16
19000,1e-05,fp16,16,15.2587890625,5.404959665611386,63.266862673684955,5139.778546422742,71.69224885873466,0.5,0.21438113298278433,16
19200,1e-05,fp16,16,27.4658203125,5.243754290044308,60.631483517587185,6124.33068116291,78.25810297447102,0.625,0.5358465840047739,16
19400,1e-05,fp16,16,-36.62109375,-8.859093800187111,44.0730891674757,3127.6421193683036,55.9253262786039,0.625,0.7250091504038537,16
19600,1e-05,fp16,16,21.3623046875,12.436360567808151,51.9987550675869,4147.831879430471,64.40366355596917,0.625,0.6841088277232832,16
19800,1e-05,fp16,16,0.0,1.4307494927197695,34.99265583790839,1787.2114684551962,42.27542392992879,0.625,0.7767951226443058,16
20000,1e-05,fp16,16,18.310546875,15.546434918418527,46.30446927808225,2656.946049365726,51.54557254862658,0.8125,0.7273450021470151,16
20200,1e-05,fp16,16,0.0,-10.215156771242619,78.76962219923735,7924.652020916956,89.02051460712275,0.4375,0.30965839841709497,16
20400,1e-05,fp16,16,-15.2587890625,-0.68553426861763,48.42366513609886,3901.869396188043,62.46494533887021,0.375,0.19770096205090051,16
