time,step,epoch,phase,split,metric,value,task,model,eps,seed,precision,zo_quantization_bits
2026-04-19 17:22:26,500,0.020371577574967405,train,train,loss,1.2556,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:22:26,500,0.020371577574967405,train,train,learning_rate,1e-06,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:22:26,500,0.020371577574967405,train,train,epoch,0.02,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,train,train,eval_loss,1.130859375,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,train,train,eval_runtime,36.3646,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,train,train,eval_samples_per_second,269.905,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,train,train,eval_steps_per_second,33.742,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,train,train,epoch,0.02,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,eval,eval,eval_loss,1.130859375,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,eval,eval,eval_runtime,36.3646,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,eval,eval,eval_samples_per_second,269.905,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,eval,eval,eval_steps_per_second,33.742,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,eval,eval,epoch,0.02,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,eval,eval,accuracy,0.33978604177279675,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:23:03,500,0.020371577574967405,train_probe,train_probe,accuracy,0.30859375,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:28:26,1000,0.04074315514993481,train,train,loss,1.1687,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:28:26,1000,0.04074315514993481,train,train,learning_rate,1e-06,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:28:26,1000,0.04074315514993481,train,train,epoch,0.04,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,train,train,eval_loss,1.150390625,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,train,train,eval_runtime,36.0409,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,train,train,eval_samples_per_second,272.329,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,train,train,eval_steps_per_second,34.045,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,train,train,epoch,0.04,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,eval,eval,eval_loss,1.150390625,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,eval,eval,eval_runtime,36.0409,MNLI,opt-1.3b,3e-06,42,fp16,16
2026-04-19 17:29:02,1000,0.04074315514993481,eval,eval,eval_samples_per_second,272.329,MNLI,opt-1.3b,3e-06,42,fp16,16
