h_str,h,eval_loss,probe_mse
1e-8,1e-08,nan,
3e-8,3e-08,nan,
1e-7,1e-07,nan,
3e-7,3e-07,nan,
1e-6,1e-06,nan,23393212.27982457
3e-6,3e-06,1.8662109375,157013.9307839477
1e-5,1e-05,1.6279296875,10329.958316700762
3e-5,3e-05,1.248046875,1810.262586474207
1e-4,0.0001,1.2138671875,137.6312144047415
3e-4,0.0003,1.19140625,720.1072724714213
1e-3,0.001,1.1767578125,2409.14606023368
3e-3,0.003,1.2783203125,6639.002118892948
1e-2,0.01,1.685546875,7915.949690383211
3e-2,0.03,1.806640625,10999.650167686174
