global_step,eps,precision,zo_quantization_bits,fd_mean,td_mean,mae,mse,rmse,sign_acc,corr,probe_num_seeds
100,3e-05,fp16,16,-31.534833192825317,-9.729498192667961,30.309416726231575,1306.0325673545656,36.139072585701,0.75,0.9113960211033205,16
200,3e-05,fp16,16,3.0517585277557373,-9.241967260837555,34.48446923494339,2204.8601457369778,46.955938343695976,0.8125,0.8559006894762493,16
300,3e-05,fp16,16,-16.276044130325317,-6.191620081663132,25.502031058073044,1196.2855691565142,34.58736140783963,1.0,0.9089142086791346,16
400,3e-05,fp16,16,-2.034505605697632,2.3304761573672295,20.016422025859356,799.2629489897276,28.27123890086403,0.625,0.6194293637813737,16
500,3e-05,fp16,16,3.0517578125,14.390384554862976,38.26683032512665,2596.2618917050568,50.95352678377677,0.8125,0.8514794439560038,16
600,3e-05,fp16,16,-5.086263418197632,-5.2237948179244995,30.198275685310364,1366.5518127254334,36.96690158405805,0.6875,0.8341321338670119,16
700,3e-05,fp16,16,11.698405742645264,14.975317791104317,25.487973764538765,908.4374933364065,30.14029683557225,0.6875,0.8042449793400909,16
800,3e-05,fp16,16,3.051758050918579,-6.099536091089249,26.63303652405739,977.3621892425394,31.26279240954876,0.75,0.8538524332149409,16
900,3e-05,fp16,16,11.189780235290527,3.3622509986162186,30.894579365849495,1297.4379470152817,36.019965949668546,0.6875,0.8230941599241584,16
1000,3e-05,fp16,16,-10.172527074813843,-0.20881576091051102,40.88353282958269,3219.1831436538178,56.73784577910777,0.875,0.7389825940628559,16
1100,3e-05,fp16,16,-3.0517587661743164,-7.0910096019506454,35.133671417832375,1671.7669060516153,40.88724625175453,0.75,0.826764051464172,16
1200,3e-05,fp16,16,1.0172514915466309,14.915609896183014,27.23228532075882,1057.0110654780071,32.51170659128812,0.875,0.9391197912227948,16
1300,3e-05,fp16,16,-15.258790731430054,-3.9285058081150055,37.601374953985214,2103.731152179548,45.86644909058852,0.8125,0.8646597234277063,16
1400,3e-05,fp16,16,-7.120769262313843,-10.559399297460914,27.20567754842341,1199.789622190936,34.63797947616079,0.6875,0.7538469983685162,16
1500,3e-05,fp16,16,-12.207031011581421,-14.330557703971863,46.544833064079285,2981.635084902011,54.60435042102425,0.875,0.8107784666852569,16
1600,3e-05,fp16,16,8.138021469116211,10.009376779198647,38.74203051626682,2160.622059401151,46.482491966343105,0.75,0.693218879494985,16
1700,3e-05,fp16,16,37.63835024833679,12.703048169612885,34.98896008729935,1833.136871412028,42.8151476864442,0.75,0.9411458923862608,16
1800,3e-05,fp16,16,12.207031965255737,17.767944753170013,16.65685600042343,521.5467965955347,22.837399076854936,0.8125,0.9273863045593355,16
1900,3e-05,fp16,16,-42.72461271286011,-38.40622974932194,44.496224626898766,3496.694217020629,59.132852265222496,0.8125,0.8251525983030142,16
2000,3e-05,fp16,16,5.086264133453369,0.00976485013961792,28.13186675310135,1185.4310008227328,34.43008859736978,0.75,0.9321085666910893,16
2100,3e-05,fp16,16,-9.155274152755737,2.8309225291013718,34.29320700466633,1837.5909808709223,42.86713170799887,0.6875,0.9491742833188302,16
2200,3e-05,fp16,16,-29.500328540802002,-5.3410115242004395,46.07079219818115,2969.9363775387355,54.49712265375793,0.8125,0.9352440913010213,16
2300,3e-05,fp16,16,19.327800273895264,20.92137187719345,30.11874347925186,1386.6582470452,37.237860398325786,0.875,0.9316512336311712,16
2400,3e-05,fp16,16,26.448569774627686,10.979591727256775,32.644832730293274,1810.262586474207,42.547180711231704,0.875,0.9576954886104251,16
