precision_mode,h,probe_corr_fd_true,probe_nMSE_fd_true,probe_alignment,probe_norm_ratio
fp32,1e-05,,,1.0000000025583198,1.0000000525835187
fp16,1e-05,,,0.999999997848377,1.0000002589327206
fp32,0.002,,,0.999999999565907,0.9999999983988014
fp16,0.002,,,0.999999999267358,1.000000000140952
fp32,3e-05,,,0.9999999986707683,1.0000000140277885
fp16,3e-05,,,0.9999999977795073,0.9999998970617654
fp32,0.003,,,1.0000000098702937,0.9999999997441887
fp16,0.003,,,0.9999999988965108,0.9999999970737989
fp32,0.0001,,,1.0000000004483165,1.000000010362745
fp16,0.0001,,,1.000000009594676,0.9999999975279894
fp32,0.004,,,1.0000000004384446,0.9999999986895108
fp16,0.004,,,1.0000000033567413,1.0000000001362495
fp32,0.0003,,,1.000000000503896,0.9999999989698292
fp16,0.0003,,,0.9999999954872283,1.0000000080674136
fp32,0.005,,,0.9999999931229093,1.0000000040699197
fp16,0.005,,,1.000000000469139,1.0000000017886053
fp32,0.001,,,0.999999999127056,1.0000000008910417
fp16,0.001,,,0.9999999918085413,0.9999999926652628
fp32,0.0015,,,1.0000000024702993,1.0000000030044975
fp16,0.0015,,,1.0000000020783855,0.9999999968671222
fp32,0.01,,,1.0000000028073215,1.0000000016828197
fp16,0.01,,,1.0000000011263248,0.999999999911601
