precision_mode,h,probe_corr_fd_true,probe_nMSE_fd_true,probe_sign_agreement,probe_alignment,probe_norm_ratio
fp32,1e-09,,,,0.7540157363182145,0.9337658039352992
fp16,1e-09,,,,,
fp32,1e-08,,,,0.9884921654674487,1.0099552190762755
fp16,1e-08,,,,0.9999987223942125,0.9999272429870188
fp32,1e-07,,,,0.9998787443663251,1.0001230459188837
fp16,1e-07,,,,0.9999998254342982,0.9998561636132257
fp32,3e-07,,,,0.9999865565444467,1.000014564394996
fp16,3e-07,,,,1.0000000200928454,0.9998831323266266
fp32,1e-06,,,,0.9999988063857648,1.0000014959378296
fp16,1e-06,,,,0.9999999883086796,0.9999336169210569
fp32,3e-06,,,,0.9999998738720398,1.0000002002382116
fp16,3e-06,,,,1.0000000246954903,0.9999998498182102
