run_name,model,dataset,quantization_algorithm,group_size,update_backend,direction_type,h,h_active,sparse_rate,lr,steps_completed,seed,best_eval_acc,last_eval_acc,best_eval_loss,last_eval_loss,corr_fd_true,nMSE_fd_true,probe_alignment,probe_norm_ratio,active_frac,cos_intended_actual,actual_over_intended_norm_ratio,acc_actual_cos,actual_over_acc_norm_ratio,residual_bound_violation_frac,grid_error_norm,scale_drift_max,nan_occurred,status,notes
probe_h_0.0001,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0001,0.0001,1.0,0,0,16,,,,,0.6950809558779053,1.4901856144817933,0.4628627573266361,2.160473760024687,,,,,,,,,,probe_only,02_probe_window
probe_h_0.0003,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0003,0.0003,1.0,0,0,16,,,,,0.8570012376791822,0.3312004483199454,0.7688788746387581,1.300603896466307,,,,,,,,,,probe_only,02_probe_window
probe_h_0.0007,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0007,0.0007,1.0,0,0,16,,,,,0.9660296596914298,0.06825275529802684,0.9375466468970691,1.0666158878573575,,,,,,,,,,probe_only,02_probe_window
probe_h_0.001,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.001,0.001,1.0,0,0,16,,,,,0.9827797999348691,0.033538760318110955,0.9678022147207801,1.0332674106496176,,,,,,,,,,probe_only,02_probe_window
probe_h_0.0015,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0015,0.0015,1.0,0,0,16,,,,,0.9903729237876536,0.02027371317704562,0.9852735947264205,1.0149449685842828,,,,,,,,,,probe_only,02_probe_window
probe_h_0.002,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.002,0.002,1.0,0,0,16,,,,,0.9893764702577811,0.02212406685155305,0.991626762846368,1.0084438082566183,,,,,,,,,,probe_only,02_probe_window
probe_h_0.0025,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0025,0.0025,1.0,0,0,16,,,,,0.9829215045111221,0.03688036774306651,0.9946106693088586,1.0054178142783323,,,,,,,,,,probe_only,02_probe_window
probe_h_0.003,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.003,0.003,1.0,0,0,16,,,,,0.9764019997214975,0.0524591519864311,0.996243093744777,1.0037727066772162,,,,,,,,,,probe_only,02_probe_window
probe_h_0.004,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.004,0.004,1.0,0,0,16,,,,,0.9440130978744673,0.11587489452804287,0.9978745004365175,1.0021301368625706,,,,,,,,,,probe_only,02_probe_window
probe_h_0.005,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.005,0.005,1.0,0,0,16,,,,,0.8825608525165924,0.22447410779604965,0.99863240865962,1.0013694733218346,,,,,,,,,,probe_only,02_probe_window
probe_h_0.01,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.01,0.01,1.0,0,0,16,,,,,0.21594015937980246,1.0631087608554082,0.9996463673553541,1.0003537980651585,,,,,,,,,,probe_only,02_probe_window
dense_gw256_fp16master_h2e-3_step5000,roberta-large,sst-5,groupwise_int8_block256,256,fp16_master,dense,0.002,0.002,1.0,1e-05,5000,16,0.47423887587822017,0.36065573770491804,1.2063788175582886,1.4603525400161743,,,,,0.6304535553824236,0.0833326967174985,11.943864432553038,,,,0.0074050502202356655,,False,completed,03_int8_fp16master_dense
smoke_dense_gw256_h3e-3_step20,roberta-large,sst-5,groupwise_int8_block256,256,fp16_master,dense,0.003,0.003,1.0,1e-05,20,16,0.28688524590163933,0.2857142857142857,1.6037452220916748,1.6037452220916748,,,,,0.661092710472756,0.10274374360661853,9.703461773578912,,,,0.004006161670442752,,False,completed,03_int8_fp16master_dense
smoke_sparse_gw256_p0p01_hraw0p0006_step20,roberta-large,sst-5,groupwise_int8_block256,256,fp16_master,sparse,0.0006,0.005999999999999999,0.01,1e-05,20,16,0.27985948477751754,0.27985948477751754,1.620218276977539,1.6211512088775635,,,,,0.10027624972611657,0.16832756772380794,5.939628317560675,,,,0.007040687348828365,,False,completed,04_int8_fp16master_sparse
direct_gw256_h3e-3_lr1e-5_step100,roberta-large,sst-5,groupwise_int8_block256,256,direct_int8,dense,0.003,0.003,1.0,1e-05,100,16,0.28454332552693207,0.28454332552693207,1.570970892906189,1.570970892906189,,,,,0.9861470247123889,0.3498456701750887,2.8588141945820578,,,,0.0024005602058902445,,False,completed,05_int8_direct_update
smoke_direct_gw256_h3e-3_lr1e-5_step10,roberta-large,sst-5,groupwise_int8_block256,256,direct_int8,dense,0.003,0.003,1.0,1e-05,10,16,0.2786885245901639,0.2786885245901639,1.6190215349197388,1.6190215349197388,,,,,0.9873915467311218,0.4725926273300946,2.1158405819783237,,,,2.363636241759703e-05,,False,completed,05_int8_direct_update
residual_grid_gw256_h3e-3_lr7e-5_clip3_step2000,roberta-large,sst-5,groupwise_int8_block256,256,residual_grid,dense,0.003,0.003,1.0,7e-05,2000,16,0.4601873536299766,0.44730679156908665,1.3286744356155396,1.3286744356155396,,,,,0.12980401572746292,0.40401704950445627,2.467031899186969,0.41757399906765724,0.7175958278989594,0.0,0.0,0.0,False,completed,06_int8_residual_grid
smoke_residual_grid_gw256_h3e-3_lr7e-5_clip3_step20,roberta-large,sst-5,groupwise_int8_block256,256,residual_grid,dense,0.003,0.003,1.0,7e-05,20,16,0.2822014051522248,0.2822014051522248,1.6091246604919434,1.6091246604919434,,,,,0.1248667451154886,0.40745238766446634,2.2293679040771193,0.5423479853102243,0.91771660649116,0.0,0.0,0.0,False,completed,06_int8_residual_grid
