global_step,eps,precision,zo_quantization_bits,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,3e-06,fp16,8,-152.58787727355957,-8.579212262877263,-8.906314317137003,442.2396028485382,344827.18598194286,587.2198787353361,0.6875,0.17836664157023985,442.24872053042054,344815.0673701676,587.2095600125798,0.625,0.17624219311654044,16
400,3e-06,fp16,8,-498.4537296295166,0.5221329033374786,0.8046931140124798,786.8064742386341,792632.5373684342,890.2991280285712,0.375,-0.5916430245605631,787.069614302367,792826.6478804065,890.4081355650377,0.375,-0.5879578422630329,16
600,3e-06,fp16,8,-91.55272674560547,-13.25363039970398,-13.388598173856735,544.4194281101227,494788.395126089,703.4119668630105,0.25,-0.5452366361593728,544.376028329134,494852.0409232094,703.4572061776106,0.25,-0.5464356986339224,16
800,3e-06,fp16,8,-91.55273246765137,-21.546638011932373,-21.617802500724792,712.2061860561371,665618.3541997065,815.854370705769,0.3125,-0.1977999451619991,712.0897812843323,665447.2068019238,815.7494755143418,0.3125,-0.19549631623456784,16
1000,3e-06,fp16,8,183.10545349121094,-5.04831500351429,-5.323266118764877,756.4354706555605,1081053.3216477046,1039.7371406503205,0.4375,0.058997322909696545,756.3928308784962,1081323.4782455254,1039.8670483506655,0.4375,0.05768496729770138,16
1200,3e-06,fp16,8,61.03515625,-60.358802393078804,-60.16575784981251,863.1111126691103,1101109.7154823996,1049.3377509088289,0.5,0.1381838299265395,862.2466885596514,1098717.454812561,1048.1972404144942,0.5,0.1530504030517536,16
1400,3e-06,fp16,8,-813.8020324707031,10.16271023452282,10.742162823677063,1169.8109480887651,2331575.9619963337,1526.9498885020207,0.6875,0.18845274948495488,1169.902082324028,2332277.1244367566,1527.1794670033894,0.6875,0.18947110678099463,16
1600,3e-06,fp16,8,0.0,-6.598017989745131e-07,-6.682323601125972e-07,4.519257572610513e-06,3.529499533151725e-11,5.94095912555517e-06,0.0625,nan,4.519059530139202e-06,3.533594682286002e-11,5.944404665133424e-06,0.0625,nan,16
1800,3e-06,fp16,8,0.0,5.032259366544167e-06,5.044545275723067e-06,1.691320170493782e-05,4.215650795252985e-10,2.0532050056565188e-05,0.0,nan,1.697832448144254e-05,4.2386261545330556e-10,2.0587924020000307e-05,0.0,nan,16
2000,3e-06,fp16,8,0.0,2.556531399022788e-06,2.7820439072456793e-06,3.697661963997234e-05,2.508051367093722e-09,5.008044895060069e-05,0.0,nan,3.692877010053053e-05,2.505779945258998e-09,5.0057766083386085e-05,0.0,nan,16
2200,3e-06,fp16,8,0.0,1.9015842553926632e-06,2.0624006538128015e-06,8.187084654309729e-05,1.1598515405862009e-08,0.00010769640386689803,0.0,nan,8.210410692299774e-05,1.1690754126436307e-08,0.00010812379075132497,0.0,nan,16
2400,3e-06,fp16,8,0.0,4.81711595057277e-08,-3.902061962435255e-08,2.7908295351153356e-05,1.1613198789270493e-09,3.4078143713046476e-05,0.0,nan,2.796170144847565e-05,1.1610918296907164e-09,3.40747975737306e-05,0.0,nan,16
