time,step,epoch,phase,split,metric,value,task,model,eps,seed,precision,zo_quantization_bits
2026-04-18 02:33:25,500,1.0395010395010396,train,train,loss,2.2323,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:25,500,1.0395010395010396,train,train,learning_rate,1e-06,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:25,500,1.0395010395010396,train,train,epoch,1.04,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,train,train,eval_loss,2.20703125,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,train,train,eval_runtime,2.6627,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,train,train,eval_samples_per_second,320.732,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,train,train,eval_steps_per_second,40.185,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,train,train,epoch,1.04,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,eval,eval,eval_loss,2.20703125,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,eval,eval,eval_runtime,2.6627,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,eval,eval,eval_samples_per_second,320.732,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,eval,eval,eval_steps_per_second,40.185,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,eval,eval,epoch,1.04,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,eval,eval,accuracy,0.15690866510538642,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:33:27,500,1.0395010395010396,train_probe,train_probe,accuracy,0.1484375,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:43:27,1000,2.079002079002079,train,train,loss,2.0015,SST5,opt-1.3b,1e-05,42,fp16,8
2026-04-18 02:43:27,1000,2.079002079002079,train,train,learning_rate,1e-06,SST5,opt-1.3b,1e-05,42,fp16,8
