global_step,eps,zo_two_point_precision,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,0.0001,fp16,46.667903900146484,50.4273521900177,50.65350514650345,251.9114099740982,109196.10138167164,330.4483339066361,0.5,0.0020672535198081343,252.62245327234268,110003.98039539532,331.6684796530947,0.5,-0.005540806339910117,16
400,0.0001,fp16,-2.5791685581207275,-44.38581836223602,-45.05805492401123,326.0564898252487,148764.27487722377,385.69972112671246,0.625,0.38476524220500036,325.8173224925995,148932.27314429305,385.9174434309663,0.625,0.3874279617427561,16
600,0.0001,fp16,62.31490612030029,60.809069871902466,61.170079708099365,228.74999451637268,79307.00545020719,281.61499507342853,0.5625,0.4038933690419551,226.16290712356567,78654.13762345049,280.4534500116739,0.5625,0.4082033605953362,16
800,0.0001,fp16,-3.7632904052734375,-333.5263888835907,-342.4736897945404,848.2428538799286,1219376.9983375594,1104.2540461042283,0.4375,0.09577645148571547,850.6980664730072,1224733.732669021,1106.6768872028642,0.4375,0.0948770509336649,16
1000,0.0001,fp16,-7.962881088256836,-61.63517212867737,-52.524537563323975,1139.0052797794342,1875443.0098486817,1369.468148533832,0.6875,0.16421216275008788,1134.2047114372253,1863739.3193440961,1365.1883823649014,0.6875,0.1621834064021684,16
1200,0.0001,fp16,-60.690940380096436,-399.44573307037354,-394.2784833908081,1058.369957447052,1771592.0144484446,1331.0116507560874,0.5625,0.2577966527772228,1056.7493329048157,1761923.065086558,1327.3745006917068,0.5625,0.2602911948898906,16
1400,0.0001,fp16,102.92578172683716,473.39220428466797,494.5094451904297,2188.5104880332947,7292282.272400631,2700.4226099632315,0.5,-0.007726534604900805,2166.2432227134705,7185742.950131047,2680.623612171438,0.5,-0.003759238155757397,16
1600,0.0001,fp16,-181.01168978214264,515.8227636814117,535.7792177200317,2533.5414756536484,12186744.191578494,3490.9517601334014,0.375,-0.48895881314167616,2560.1609774827957,12274211.557446241,3503.45708657124,0.375,-0.4915452504407349,16
1800,0.0001,fp16,-272.9792947769165,-489.42726135253906,-499.2653160095215,2940.44540309906,11119866.376814373,3334.646364581164,0.5625,0.2625700294775135,2876.67542552948,10819936.79284171,3289.367232894757,0.5625,0.26072741309671343,16
2000,0.0001,fp16,22.18276298046112,-846.1767730712891,-871.4169445037842,4325.477084040642,24472036.197074294,4946.921891143451,0.5,-0.245466156811526,4386.201691508293,24957259.955781154,4995.724167303591,0.5,-0.25759687771227485,16
2200,0.0001,fp16,-173.98640322685242,251.2614288330078,246.9473476409912,3842.8632657527924,21625919.152330723,4650.3676362553015,0.5625,0.3253415251127557,3823.59370970726,21528035.139739394,4639.831369752504,0.5625,0.32063456343412383,16
2400,0.0001,fp16,-87.20386826992035,839.8472290039062,855.8097496032715,5512.024904847145,49179702.245236784,7012.824127641929,0.375,-0.4865099732548713,5504.612875580788,48679896.645891234,6977.098010340061,0.375,-0.4875413854108574,16
