global_step,eps,zo_two_point_precision,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,0.0003,fp16,82.27904590964317,87.51694846153259,88.18796145915985,304.68659487366676,160747.62012955258,400.93343603340514,0.5625,0.052047820228274914,300.1660089790821,157735.91974215605,397.1598163739077,0.5625,0.051663495514112534,16
400,0.0003,fp16,-100.05036449432373,-350.04847145080566,-343.8035831451416,1420.7346510887146,2812893.1585798208,1677.1681962700761,0.3125,-0.6932409019128172,1425.0449233055115,2813725.0314420015,1677.4161771730953,0.3125,-0.6932876443276504,16
600,0.0003,fp16,-20.635028213262558,-951.4385185241699,-926.9250507354736,3880.9271818697453,21739921.858458497,4662.608911163202,0.5,0.42507821898311937,3850.515406280756,21381510.725747928,4624.014568072632,0.5,0.4285880237345648,16
800,0.0003,fp16,95.82082390785217,1323.4038078784943,1201.452995300293,9379.236814975739,150102027.7451925,12251.613271124439,0.5625,-0.1188030035413997,9361.044698476791,149791890.71549174,12238.949739070413,0.5,-0.12657941168986095,16
1000,0.0003,fp16,81.11883735656738,2424.298515319824,2260.434799194336,15217.93345451355,369682244.73594576,19227.122632779607,0.625,0.08032414084117995,15247.935033798218,365301794.50993216,19112.869865876557,0.625,0.08512635788442628,16
1200,0.0003,fp16,32.38419771194458,365.1378593444824,450.31993865966797,12225.086685657501,226670468.90266785,15055.579328032112,0.6875,0.302235948136342,12132.119808673859,224981056.28328776,14999.368529484425,0.6875,0.3015411729068772,16
1400,0.0003,fp16,-161.34182167053223,10182.191329956055,10048.702308654785,21327.915489196777,659311747.8655292,25677.066574387525,0.25,0.030286554191003106,21304.85939025879,666614397.8303388,25818.876773212633,0.25,0.03329119280151951,16
1600,0.0003,fp16,245.7497980594635,-1458.3105545043945,-1443.1062393188477,21352.06294465065,695558882.3049021,26373.450329922744,0.375,-0.34624057270787373,21234.102701425552,693775480.0799334,26339.618070122684,0.375,-0.34562404806635977,16
1800,0.0003,fp16,113.85052955150604,16565.215591430664,16600.5029296875,24856.775725007057,900113930.2625697,30001.89877762022,0.5625,0.4219014990412661,24801.695875763893,912233047.9142127,30203.195988408457,0.5625,0.41660345002004706,16
2000,0.0003,fp16,157.68488383293152,5306.680898666382,5307.130252838135,18220.617381811142,589305236.3096218,24275.609906027526,0.5,0.039322680909743224,18219.778512716293,582109070.0054551,24126.936606321473,0.5,0.0420181910163641,16
