global_step,eps,zo_two_point_precision,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,0.0001,fp16,290.13179659843445,-1313.1903076171875,-2820.5212783813477,12066.143666505814,188532136.06668103,13730.700494391429,0.375,-0.10880748030559276,11905.155453920364,191379995.754373,13834.015893961268,0.375,-0.26800953257534593,16
400,0.0001,fp16,531.6866340637207,-25870.772583007812,-26315.089324951172,102675.51969337463,15723237634.855968,125392.33483293932,0.375,-0.3279743929925695,95736.8710269928,14045246030.68711,118512.6408054732,0.5,-0.20439251502808947,16
600,0.0001,fp16,-594.676155090332,790642.1354980469,930760.078125,1750102.2638168335,4812220594609.969,2193677.4135250538,0.4375,0.4098556230143351,1898150.1528701782,5682019529872.639,2383698.7078640284,0.5,0.42070953435697234,16
800,0.0001,fp16,136.7145538330078,-3544941.552734375,-2833236.0234375,6834251.170532227,90865112625510.1,9532319.372823704,0.3125,-0.28803141609046223,5587480.405670166,53955332978250.49,7345429.39372849,0.375,-0.3615548576326003,16
1000,0.0001,fp16,-848.882230758667,1498033.935546875,9441389.7265625,15687921.818548203,591729684572781.1,24325494.539120495,0.5,-0.003177342352384185,15920214.604925156,591582927198664.1,24322477.81782654,0.375,-0.09634576112190636,16
1200,0.0001,fp16,1129.3619904518127,1112891.544921875,388098.345703125,5848077.681188107,50287840599664.45,7091392.00719185,0.6875,0.3384244098359778,6040081.841893673,63926867589396.18,7995427.917841307,0.5625,0.21086859842429373,16
1400,0.0001,fp16,0.0,-0.018017260124906898,-0.023422042606398463,0.05061359517276287,0.0034740777595295234,0.05894130775211493,0.0,nan,0.054566371720284224,0.0036673357940520237,0.06055853196744471,0.0,nan,16
1600,0.0001,fp16,0.0,-0.07103819854091853,-0.07708149077370763,1.7509637802140787,4.512101879279599,2.124170868663724,0.5625,0.3115415017351858,1.7527658478356898,4.5187809948619275,2.1257424573221297,0.625,0.30253128324625184,16
1800,0.0001,fp16,-0.30517578125,0.20397887006402016,0.36200124863535166,6.779047202318907,79.41890908155412,8.911728736982187,0.75,0.3535679074000186,6.7796052964404225,80.34524168323821,8.963550729662783,0.6875,0.32468037911651865,16
2000,0.0001,fp16,1.3637542724609375,0.20483814319595695,0.20798170287162066,5.299022777471691,44.94040471054265,6.703760490242969,0.625,-0.06339976682393322,5.34507059212774,45.58890364140398,6.751955542019214,0.5625,-0.16591547965363607,16
2200,0.0001,fp16,-0.5054473876953125,-0.04411407047882676,-0.10822026524692774,5.1285456153564155,36.55936868233697,6.046434377576339,0.625,0.04364367635536202,5.120029839687049,36.14234208955459,6.011850138647386,0.6875,0.08347456124105199,16
2400,0.0001,fp16,4.6253204345703125,2.017197635024786,1.6757286600768566,37.495910827070475,3181.421064334023,56.40408730166656,0.5,0.06186019474224694,37.86947264894843,3185.010251228517,56.43589506004594,0.5625,0.05903251451361506,16
2600,0.0001,fp16,-6.098747253417969,-0.1208890313282609,-0.02727353572845459,22.691152391023934,722.1803905984514,26.873414196905674,0.625,0.13065957553889138,22.670996714383364,721.4447700873159,26.859723939149408,0.6875,0.1463904984577016,16
2800,0.0001,fp16,6.222724914550781,-0.313667974434793,-0.3230736395344138,11.524440442211926,208.4099851418526,14.436411782082574,0.6875,0.4642779272790523,11.586360300891101,211.50054609340987,14.543058347315046,0.625,0.3755315742803975,16
