global_step,eps,zo_two_point_precision,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,1e-06,fp16,3.5762786865234375,2.3445945903658867,,41.62290348857641,2599.0579145537095,50.98095639112422,0.4375,0.1662901123624813,,,,,,16
400,1e-06,fp16,-6.198883056640625,-2.7570877224206924,,33.96704609692097,1482.6668294636247,38.50541298913212,0.5625,0.5894049805033758,,,,,,16
600,1e-06,fp16,13.828277587890625,-1.3103984519839287,,45.433007679879665,3304.709679820361,57.48660435110393,0.625,0.5719960963098336,,,,,,16
800,1e-06,fp16,-1.6689300537109375,1.4455266445875168,,48.122788563370705,3422.3980212445003,58.50126512516204,0.5,0.3295163793121335,,,,,,16
1000,1e-06,fp16,22.411346435546875,-6.25429061986506,,84.82525602914393,10908.672694671855,104.44459150512225,0.1875,-0.1807252748186583,,,,,,16
1200,1e-06,fp16,5.9604644775390625,-1.0087698139250278,,29.098878648132086,1403.4541440249222,37.46270337315398,0.5625,0.20644483091387522,,,,,,16
1400,1e-06,fp16,9.059906005859375,-2.7248180396854877,,44.26901085302234,3141.5598710820623,56.04961972290322,0.5,0.1249967749474948,,,,,,16
1600,1e-06,fp16,0.0,-0.27646678499877453,,39.08726687915623,2383.989460637238,48.826114535535574,0.4375,0.07432113789981118,,,,,,16
1800,1e-06,fp16,-20.742416381835938,2.785226281732321,,60.303471993654966,6117.245410746662,78.21282126829757,0.25,-0.20836116568410434,,,,,,16
2000,1e-06,fp16,-17.642974853515625,-2.8964420929551125,,41.13035862892866,2665.0357885056064,51.623984624451516,0.5,0.17367719558992775,,,,,,16
2200,1e-06,fp16,-0.2384185791015625,0.10222780704498291,,23.057093963027,1091.0755759257356,33.0314331497399,0.375,0.11265810188650621,,,,,,16
2400,1e-06,fp16,-4.5299530029296875,-2.4150010272860527,,30.154435954988003,1353.9207494889956,36.79566210151675,0.3125,0.04025022468201696,,,,,,16
2600,1e-06,fp16,4.291534423828125,0.4618781879544258,,34.08201456815004,2014.0006060768296,44.877618097185476,0.4375,0.23515725951010397,,,,,,16
2800,1e-06,fp16,6.9141387939453125,1.2560997009277344,,39.98711270093918,2756.6143924172543,52.50347028927949,0.5,0.23381799415239765,,,,,,16
3000,1e-06,fp16,-9.775161743164062,-3.033931612968445,,59.321109771728516,5912.7507667617865,76.89441310499603,0.5,0.1953788074964397,,,,,,16
