global_step,eps,zo_two_point_precision,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,0.001,fp16,0.37944313883781433,-33.55486869812012,-45.53795599937439,1356.493659824133,2671252.22524345,1634.3965936220775,0.375,-0.04079124694054472,1357.105306237936,2659982.561556223,1630.9452969232975,0.375,-0.04387848953241465,16
400,0.001,fp16,-13.931035153567791,-971.5109248161316,-971.0615520477295,2854.2802154943347,12861250.959994743,3586.2586298250635,0.6875,0.5338775484314895,2860.766556493938,12801978.450225908,3577.9852501409096,0.6875,0.5402906862648016,16
600,0.001,fp16,4.128455728292465,3841.242965698242,3856.065361022949,8807.430104404688,110080272.77226475,10491.914638056523,0.625,0.1493239843155712,8811.926205784082,107702879.95139495,10377.999804942903,0.625,0.15146277006503753,16
800,0.001,fp16,-25.557590901851654,-4767.623870849609,-5025.156387329102,14068.950844347477,265639705.52162194,16298.4571515718,0.4375,0.19047091463187157,13960.787468492985,265947112.20239213,16307.88497023425,0.4375,0.1960862245539016,16
1000,0.001,fp16,-10.77818788588047,-8447.635833740234,-8390.155670166016,16286.676439628005,325770362.0595544,18049.109730387103,0.5,-0.12143330036983646,16326.924913749099,326233113.6642948,18061.92441752248,0.5,-0.12176805034150076,16
1200,0.001,fp16,-30.323086872696877,-1396.4167785644531,-1986.4947814941406,48601.52106486261,3218550565.2933593,56732.27093368782,0.5625,0.2934251168248224,48738.023262128234,3215445009.0376005,56704.89404837647,0.5625,0.2950900468944839,16
1400,0.001,fp16,-2.543331354856491,8014.735122680664,8096.506500244141,48579.57007279992,3568127743.15105,59733.80737196525,0.25,-0.5206599276866283,48957.82579484582,3594511520.335964,59954.2452236367,0.25,-0.5157736829324541,16
1600,0.001,fp16,-44.67272329330444,-97128.20751953125,-97450.10961914062,176960.39042520523,41918512906.44472,204740.11064382258,0.5,-0.02910389213335299,177472.97563028336,42257303010.01983,205565.81187060222,0.5,-0.029376929251599453,16
1800,0.001,fp16,-37.37046954035759,2992.60595703125,1224.1953125,318044.3661856353,118982011742.69864,344937.692551421,0.4375,-0.001221753888628898,317657.9574942291,118871183045.4848,344777.0048096085,0.4375,-0.0054961348548689375,16
2000,0.001,fp16,-108.87410509586334,-17748.04736328125,-16646.053833007812,339997.61347925663,224840025342.44098,474172.9909457528,0.4375,0.3449161081533639,336821.31306421757,218056923505.7479,466965.6555955137,0.4375,0.35063253904571395,16
