global_step,training_h_source,training_h,h_additive,h_two_point,h_two_point_tilde,eps_est,nu3_est,noise_est,delta_tilde,g_tilde,l_tilde,delta_hat,g_hat,l_hat,h2,two_point_precision,additive_noise_precision
50,fixed,0.001,0.001,0.0008638398210952299,0.0007462192365098387,nan,nan,nan,4.395503128762357e-05,20.092211387895162,9.719690122888232e-07,4.395503128762357e-05,20.092211387895162,9.719690122888232e-07,0.006629859069966991,fp16,fp16
100,fixed,0.001,0.001,0.000462449256217192,0.0002475682520686416,nan,nan,nan,4.504297976382077e-05,12.75069703421082,1.3641421219488865e-05,4.449900552572217e-05,16.42145421105299,7.306695115888844e-06,0.006629859069966991,fp16,fp16
150,fixed,0.001,0.001,0.00042857775789513036,0.00039718713370824615,nan,nan,nan,4.414600334712304e-05,8.226184897037296,2.3477069009687597e-06,4.414600334712304e-05,13.68969777304776,2.3477069009687597e-06,0.0066707574926482055,fp16,fp16
200,fixed,0.001,0.001,0.0003013416798888384,0.00021187942296447155,nan,nan,nan,4.426668238011189e-05,11.84926942180922,1.623222353447512e-05,4.426668238011189e-05,13.229590685238124,7.994564060228813e-06,0.0066442458825003645,fp16,fp16
250,fixed,0.001,0.001,0.00033613565916505077,0.0003749470747093564,nan,nan,nan,4.589511445374228e-05,7.913046544564265,1.123727929370482e-06,4.426668238011189e-05,12.166281857103353,2.3477069009687597e-06,0.006653321154138878,fp16,fp16
300,fixed,0.001,0.001,0.00033341900262805516,0.00033072430217497673,nan,nan,nan,4.289581556804478e-05,6.589020477125924,2.039499597814367e-06,4.426668238011189e-05,9.465643674949504,2.3477069009687597e-06,0.006653321154138878,fp16,fp16
350,fixed,0.001,0.001,0.00034009494363160584,0.0003469045548457073,nan,nan,nan,4.534401523414999e-05,9.584067541067267,1.8509363704536818e-06,4.534401523414999e-05,8.832317776320796,2.039499597814367e-06,0.006653321154138878,fp16,fp16
400,fixed,0.001,0.001,0.0003434272523600677,0.00034679221162235756,nan,nan,nan,4.473141598282382e-05,8.801990310897956,1.9110306638615434e-05,4.473141598282382e-05,8.947478859092927,2.039499597814367e-06,0.0067337964948571164,fp16,fp16
450,fixed,0.001,0.001,0.00033976015674003966,0.0003361322181472833,nan,nan,nan,4.415223156684078e-05,9.14118872174776,4.144660514388577e-06,4.473141598282382e-05,8.405862719080634,2.039499597814367e-06,0.006688154901228277,fp16,fp16
500,fixed,0.001,0.001,0.00032076064649475347,0.0003028235957003465,nan,nan,nan,4.5068427425576374e-05,9.24161026676444,2.5922697851585948e-06,4.473141598282382e-05,8.67157546352067,2.5922697851585948e-06,0.006688154901228277,fp16,fp16
550,fixed,0.001,0.001,0.0002742002069242105,0.00023439831007607614,nan,nan,nan,4.639012331608683e-05,4.454803226726851,6.0316125494378615e-06,4.5068427425576374e-05,8.244732013440855,4.144660514388577e-06,0.006688154901228277,fp16,fp16
600,fixed,0.001,0.001,0.00024500652165134737,0.00021892104431665932,nan,nan,nan,4.37932503700722e-05,4.319822493590334,2.1737362914799514e-06,4.5068427425576374e-05,7.191883003945468,4.144660514388577e-06,0.0067133022742593956,fp16,fp16
650,fixed,0.001,0.001,0.0002580925588967044,0.00027187753415249737,nan,nan,nan,4.542669194051996e-05,7.25670310303294,1.2390952340085182e-06,4.542669194051996e-05,6.882825562372465,2.5922697851585948e-06,0.0067133022742593956,fp16,fp16
700,fixed,0.001,0.001,0.00025416180730500776,0.000250290921089289,nan,nan,nan,4.476692993193865e-05,4.323135660931462,4.06705835291157e-06,4.476692993193865e-05,5.919214950209205,2.5922697851585948e-06,0.0067399326362004505,fp16,fp16
750,fixed,0.001,0.001,0.00021613279538282957,0.00018379388207582874,nan,nan,nan,4.239857298671268e-05,4.683915737605026,6.311501515917754e-06,4.476692993193865e-05,5.007676044377322,4.06705835291157e-06,0.0066908093629947825,fp16,fp16
800,fixed,0.001,0.001,0.000197427184954106,0.00018034048599548742,nan,nan,nan,4.590144089888781e-05,3.522725369631257,7.620701917874811e-06,4.476692993193865e-05,4.821260472958204,4.06705835291157e-06,0.0066908093629947825,fp16,fp16
850,fixed,0.001,0.001,0.00017065388320209834,0.00014751133618566914,nan,nan,nan,4.486917532631196e-05,4.752506602311281,6.202015942138223e-06,4.486917532631196e-05,4.907797294702393,6.202015942138223e-06,0.0066908093629947825,fp16,fp16
900,fixed,0.001,0.001,0.0001543117533713455,0.0001395345759600398,nan,nan,nan,4.521407390711829e-05,4.5070502636262955,5.237625682922733e-06,4.521407390711829e-05,4.357866726821064,6.202015942138223e-06,0.006698445739596012,fp16,fp16
