global_step,training_h_source,training_h,h_additive,h_two_point,h_two_point_tilde,eps_est,nu3_est,noise_est,delta_tilde,g_tilde,l_tilde,delta_hat,g_hat,l_hat,h2,two_point_precision,additive_noise_precision
50,fixed,1e-05,0.001,0.0005422106215100337,0.00029399235807829675,nan,nan,nan,4.3727246520575136e-05,24.521820870556642,7.6028856271446564e-06,4.3727246520575136e-05,24.521820870556642,7.6028856271446564e-06,0.0066126580525969385,fp16,fp16
100,fixed,1e-05,0.001,0.00035875736279228224,0.0002373742605765081,nan,nan,nan,4.541565795079805e-05,14.346288121053421,1.123918557980099e-05,4.457145223568659e-05,19.434054495805032,9.421035603472824e-06,0.0066126580525969385,fp16,fp16
150,fixed,1e-05,0.001,0.00029861509163768774,0.0002485551021441026,nan,nan,nan,4.428169268066995e-05,13.05673127479151,6.172440408812536e-06,4.428169268066995e-05,17.308280088800526,7.6028856271446564e-06,0.006676185455459322,fp16,fp16
200,fixed,1e-05,0.001,0.0002747731977328102,0.0002528348777627063,nan,nan,nan,4.434270886122249e-05,12.884549824753305,4.438034684795168e-06,4.434270886122249e-05,16.20234752278872,6.887663017978597e-06,0.006654449089193631,fp16,fp16
250,fixed,1e-05,0.001,0.0002730040560288256,0.0002712463050368705,nan,nan,nan,4.501719740801491e-05,18.748344602268748,6.090013848388261e-06,4.434270886122249e-05,16.711546938684727,6.172440408812536e-06,0.006659032126459707,fp16,fp16
300,fixed,1e-05,0.001,0.0002653982451857974,0.00025800432994396055,nan,nan,nan,4.263905793777667e-05,16.562552469646626,1.526115560208455e-05,4.434270886122249e-05,15.119693258502721,6.172440408812536e-06,0.006659032126459707,fp16,fp16
350,fixed,1e-05,0.001,0.00026507233296632713,0.00026474682097096087,nan,nan,nan,4.537573113339022e-05,16.10945761062763,5.7925109825940465e-06,4.501719740801491e-05,15.472327156417563,6.090013848388261e-06,0.006659032126459707,fp16,fp16
400,fixed,1e-05,0.001,0.00026747536387959316,0.00026990017962987125,nan,nan,nan,4.475320383789949e-05,12.62113822996555,4.751664967332124e-06,4.475320383789949e-05,15.385208547452374,5.7925109825940465e-06,0.006709485629168223,fp16,fp16
450,fixed,1e-05,0.001,0.0002578964182982748,0.00024866051813661347,nan,nan,nan,4.3675878259819e-05,4.607177064347991,6.1860920056752424e-06,4.475320383789949e-05,13.729733995371308,6.090013848388261e-06,0.006689783541931644,fp16,fp16
500,fixed,1e-05,0.001,0.0002409610578708065,0.00022513779676872135,nan,nan,nan,4.586001159623265e-05,7.262459291949489,1.4450625606273363e-05,4.475320383789949e-05,11.432556933307456,6.1860920056752424e-06,0.006689783541931644,fp16,fp16
550,fixed,1e-05,0.001,0.00024461955297904126,0.00024833359476596,nan,nan,nan,4.630081821233034e-05,22.95158399422673,5.231760336353463e-06,4.586001159623265e-05,12.710363238223477,5.7925109825940465e-06,0.006689783541931644,fp16,fp16
600,fixed,1e-05,0.001,0.00025159544649936165,0.0002587702737917955,nan,nan,nan,4.3545354856178164e-05,14.883283557045118,4.385196936245799e-06,4.586001159623265e-05,12.465128427506976,5.231760336353463e-06,0.006772002037524255,fp16,fp16
