model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.self.query.weight,1e-07,1.0,0.0,0.0,nan,0.006574141709276844,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.self.key.weight,1e-07,10516.960263551478,0.0007304601899196494,102.6096176176624,0.02343853041624168,0.005843681519357195,0.0007304601899196494,0.0,0.9992695398100804,0.0007304601899196494,0.0,0.0004326219922283964
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.self.value.weight,1e-07,1.0,0.0,0.0,nan,0.009495982468955442,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.attention.output.dense.weight,1e-07,929.1277056538686,0.00018261504747991235,15.341355442101603,0.053600372320592934,0.009495982468955442,0.00018261504747991235,0.0,0.99981738495252,0.00018261504747991235,0.0,0.00011996053993764495
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.intermediate.dense.weight,1e-07,1.0,0.0,0.0,nan,0.005843681519357195,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int8,dense,roberta.encoder.layer.0.output.dense.weight,1e-07,33574.08036736186,0.0007304601899196494,183.30642719898526,0.024655138010520265,0.009495982468955442,0.0007304601899196494,0.0,0.9992695398100804,0.0007304601899196494,0.0,0.00048185378587275497
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.self.query.weight,1e-07,13041.682846429998,0.0004565376186997809,89.1194321111505,0.030837021181246916,0.008035062089116142,0.0004565376186997809,0.0,0.9995434623813002,0.0004565376186997809,0.0,0.0003058311426779543
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.self.key.weight,1e-07,179949.94719023583,0.0007304601899196494,424.4136728974145,0.018707078725819802,0.01095690284879474,0.0007304601899196494,0.0,0.9992695398100804,0.0007304601899196494,0.0,0.001178416236942001
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.self.value.weight,1e-07,1316.1387761334133,9.130752373995617e-05,12.897109016010425,0.061596527534923444,0.005843681519357195,9.130752373995617e-05,0.0,0.99990869247626,9.130752373995617e-05,0.0,0.0001616598175990563
roberta-large,sst-5,int8,dense,roberta.encoder.layer.1.attention.output.dense.weight,1e-07,388.6581640810973,9.130752373995617e-05,7.113863305779693,0.03738008305727609,0.006574141709276844,9.130752373995617e-05,0.0,0.99990869247626,9.130752373995617e-05,0.0,9.743328013596508e-05
