d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,n_dirs,metric,alpha,beta,gamma,h_star,fit_R2,synthetic_source
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,2.003902048324609e-14,0.0,0.0,,0.9523589193611736,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_interval_grad,2.0645847599098422e-14,0.0,0.0,,0.9490204482697372,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,7.034803626106539e-12,0.0,0.0,,0.9998582018377608,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_interval_grad,9.457124652516005e-14,0.0,0.0,,0.9650967683415048,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,6.239898648117884e-15,0.0,0.0,,0.4118854668225552,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_interval_grad,6.3390237066392186e-15,0.0,0.0,,0.3887992228769111,main
1000,1000,1.0,1e-05,8,nl,128,1.0,64,A_true,2.8479643938977497e-12,0.0,0.0,,0.9992201908913302,main
1000,1000,1.0,1e-05,8,nl,128,1.0,64,A_interval_grad,2.907327957494841e-12,0.0,0.0,,0.9952998049298954,main
1000,1000,1.0,1e-05,4,lin,128,0.0,64,A_true,3.3713700581893085e-14,0.0,0.0,,0.9021930644243864,main
1000,1000,1.0,1e-05,4,lin,128,0.0,64,A_interval_grad,3.1489619016395015e-14,0.0,0.0,,0.885078068928344,main
1000,1000,1.0,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main
1000,1000,1.0,1e-05,4,nl,128,0.0,64,A_interval_grad,6.9668741025158e-14,0.0,0.0,,0.9895588492592154,main
1000,1000,1.0,1e-05,4,lin,128,1.0,64,A_true,1.1146820005440027e-14,0.0,0.0,,0.8318386180474601,main
1000,1000,1.0,1e-05,4,lin,128,1.0,64,A_interval_grad,7.872623512429206e-15,0.0,0.0,,0.8189716012247057,main
1000,1000,1.0,1e-05,4,nl,128,1.0,64,A_true,1.1086261537180767e-16,0.0,0.0,,-0.5908197975056539,main
1000,1000,1.0,1e-05,4,nl,128,1.0,64,A_interval_grad,1.0609446585078576e-15,0.0,0.0,,-0.0925072983173858,main
1000,1000,1.0,0.0001,8,lin,128,0.0,64,A_true,1.447180186743613e-16,0.0,0.0,,-0.3109517602479867,main
1000,1000,1.0,0.0001,8,lin,128,0.0,64,A_interval_grad,1.441545030282005e-16,0.0,0.0,,-0.2817982789818263,main
1000,1000,1.0,0.0001,8,nl,128,0.0,64,A_true,7.228795586503207e-16,0.0,0.0,,-0.3012227842550314,main
1000,1000,1.0,0.0001,8,nl,128,0.0,64,A_interval_grad,1.4241952015789201e-15,0.0,0.0,,-0.274457592237403,main
1000,1000,1.0,0.0001,8,lin,128,1.0,64,A_true,6.196509420519298e-12,0.0,0.0,,0.9905660186162244,main
1000,1000,1.0,0.0001,8,lin,128,1.0,64,A_interval_grad,6.000920060141158e-12,0.0,0.0,,0.9911062184078892,main
1000,1000,1.0,0.0001,8,nl,128,1.0,64,A_true,3.693298046936676e-14,0.0,0.0,,0.8277451767749717,main
1000,1000,1.0,0.0001,8,nl,128,1.0,64,A_interval_grad,4.4599193606801515e-14,0.0,0.0,,0.7890840603633233,main
1000,1000,1.0,0.0001,4,lin,128,0.0,64,A_true,1.826037626145241e-15,0.0,0.0,,-0.2235284167478808,main
1000,1000,1.0,0.0001,4,lin,128,0.0,64,A_interval_grad,1.5365684975175284e-15,0.0,0.0,,-0.2007304815036386,main
1000,1000,1.0,0.0001,4,nl,128,0.0,64,A_true,3.23633897332635e-16,0.0,0.0,,-0.1979155538818884,main
1000,1000,1.0,0.0001,4,nl,128,0.0,64,A_interval_grad,4.1754153392137485e-16,0.0,0.0,,-0.1913758432307941,main
1000,1000,1.0,0.0001,4,lin,128,1.0,64,A_true,3.2079390724951267e-16,0.0,0.0,,-0.4894326137285518,main
1000,1000,1.0,0.0001,4,lin,128,1.0,64,A_interval_grad,3.4694612466893263e-16,0.0,0.0,,-0.5168623899790303,main
1000,1000,1.0,0.0001,4,nl,128,1.0,64,A_true,1.1095660624056833e-16,0.0,0.0,,-0.2636880207737122,main
1000,1000,1.0,0.0001,4,nl,128,1.0,64,A_interval_grad,3.763339320377764e-16,0.0,0.0,,-0.3700298443372627,main
1000,1000,1.0,0.001,8,lin,128,0.0,64,A_true,1.1109189774086714e-16,0.0,0.0,,-0.3391386119090529,main
1000,1000,1.0,0.001,8,lin,128,0.0,64,A_interval_grad,1.1038499285219316e-16,0.0,0.0,,-0.368359399089611,main
1000,1000,1.0,0.001,8,nl,128,0.0,64,A_true,1.615290074596486e-16,0.0,0.0,,-0.1988237302071833,main
1000,1000,1.0,0.001,8,nl,128,0.0,64,A_interval_grad,2.831172819447595e-16,0.0,0.0,,-0.1976349170816469,main
1000,1000,1.0,0.001,8,lin,128,1.0,64,A_true,1.3993612638987115e-16,0.0,0.0,,-0.3529936251490277,main
1000,1000,1.0,0.001,8,lin,128,1.0,64,A_interval_grad,1.5217897124204451e-16,0.0,0.0,,-0.2514672447696748,main
1000,1000,1.0,0.001,8,nl,128,1.0,64,A_true,1.1422016451768034e-16,0.0,0.0,,-0.5390888267861327,main
1000,1000,1.0,0.001,8,nl,128,1.0,64,A_interval_grad,1.1059174080418311e-16,0.0,0.0,,-0.2966365692542301,main
1000,1000,1.0,0.001,4,lin,128,0.0,64,A_true,2.2285231530472e-15,0.0,0.0,,-0.2494596628682988,main
1000,1000,1.0,0.001,4,lin,128,0.0,64,A_interval_grad,2.0994436424656275e-15,0.0,0.0,,-0.2416697443224125,main
1000,1000,1.0,0.001,4,nl,128,0.0,64,A_true,1.1162585821127028e-16,0.0,0.0,,-0.5190153440196388,main
1000,1000,1.0,0.001,4,nl,128,0.0,64,A_interval_grad,1.128457460042502e-16,0.0,0.0,,-0.3797086549887325,main
1000,1000,1.0,0.001,4,lin,128,1.0,64,A_true,4.511385685283458e-16,0.0,0.0,,-0.4439984693729997,main
1000,1000,1.0,0.001,4,lin,128,1.0,64,A_interval_grad,3.940133700963373e-16,0.0,0.0,,-0.4910026071989848,main
1000,1000,1.0,0.001,4,nl,128,1.0,64,A_true,1.116621530497792e-16,0.0,0.0,,-0.1821860545765483,main
1000,1000,1.0,0.001,4,nl,128,1.0,64,A_interval_grad,1.1181537358494679e-16,0.0,0.0,,-0.2100395857247847,main
1000,1000,1.0,0.01,8,lin,128,0.0,64,A_true,1.1088445779422755e-16,0.0,0.0,,-0.2760735022233183,main
1000,1000,1.0,0.01,8,lin,128,0.0,64,A_interval_grad,1.0998073725732055e-16,0.0,0.0,,-0.2923130242181952,main
1000,1000,1.0,0.01,8,nl,128,0.0,64,A_true,1.1085539154346868e-16,0.0,0.0,,-0.384302952406198,main
1000,1000,1.0,0.01,8,nl,128,0.0,64,A_interval_grad,1.0988317701485484e-16,0.0,0.0,,-0.3185452550126044,main
1000,1000,1.0,0.01,8,lin,128,1.0,64,A_true,1.1087734310380741e-16,0.0,0.0,,-0.4615558203319252,main
1000,1000,1.0,0.01,8,lin,128,1.0,64,A_interval_grad,1.115282213189984e-16,0.0,0.0,,-0.4170857475505982,main
1000,1000,1.0,0.01,8,nl,128,1.0,64,A_true,1.5220487994469086e-16,0.0,0.0,,-0.158646419994183,main
1000,1000,1.0,0.01,8,nl,128,1.0,64,A_interval_grad,1.4360390034426412e-16,0.0,0.0,,-0.2064322916929302,main
1000,1000,1.0,0.01,4,lin,128,0.0,64,A_true,1.1125951791131146e-16,0.0,0.0,,-0.2287534871175087,main
1000,1000,1.0,0.01,4,lin,128,0.0,64,A_interval_grad,1.133301651489496e-16,0.0,0.0,,-0.2111431661824336,main
1000,1000,1.0,0.01,4,nl,128,0.0,64,A_true,1.2338888409498968e-16,0.0,0.0,,-0.2164340768402926,main
1000,1000,1.0,0.01,4,nl,128,0.0,64,A_interval_grad,1.3173088862081068e-16,0.0,0.0,,-0.2071127111240731,main
1000,1000,1.0,0.01,4,lin,128,1.0,64,A_true,1.2053235275826047e-16,0.0,0.0,,-0.1439761263751713,main
1000,1000,1.0,0.01,4,lin,128,1.0,64,A_interval_grad,1.2266652509214607e-16,0.0,0.0,,-0.1228842316986424,main
1000,1000,1.0,0.01,4,nl,128,1.0,64,A_true,1.1092888214484214e-16,0.0,0.0,,-0.2626828031580144,main
1000,1000,1.0,0.01,4,nl,128,1.0,64,A_interval_grad,1.1452195649489842e-16,0.0,0.0,,-0.3685242125860135,main
1000,100,0.1,1e-05,8,lin,128,0.0,64,A_true,2.8075378423207143e-14,0.0,0.0,,0.7885897597382254,main
1000,100,0.1,1e-05,8,lin,128,0.0,64,A_interval_grad,3.698227447719817e-15,0.0,0.0,,0.8738771639724576,main
1000,100,0.1,1e-05,8,nl,128,0.0,64,A_true,1.1096870711216936e-16,0.0,0.0,,-0.3889427326483592,main
1000,100,0.1,1e-05,8,nl,128,0.0,64,A_interval_grad,1.059724285034568e-15,0.0,0.0,,0.3945543065277289,main
1000,100,0.1,1e-05,8,lin,128,1.0,64,A_true,1.1953947606648607e-16,0.0,0.0,,-0.363133345715589,main
1000,100,0.1,1e-05,8,lin,128,1.0,64,A_interval_grad,1.424928562506827e-17,0.0,0.0,,-0.3559005991797852,main
1000,100,0.1,1e-05,8,nl,128,1.0,64,A_true,1.1088909912044975e-16,0.0,0.0,,-1.1873179122947342,main
1000,100,0.1,1e-05,8,nl,128,1.0,64,A_interval_grad,6.8987373684e-14,0.0,0.0,,0.999306716772417,main
1000,100,0.1,1e-05,4,lin,128,0.0,64,A_true,5.697003051975536e-16,0.0,0.0,,-0.1966580076562929,main
1000,100,0.1,1e-05,4,lin,128,0.0,64,A_interval_grad,4.752382092016898e-17,0.0,0.0,,-0.2400194081917779,main
1000,100,0.1,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main
1000,100,0.1,1e-05,4,nl,128,0.0,64,A_interval_grad,1.3632319723265548e-15,0.0,0.0,,0.2555811817268425,main
1000,100,0.1,1e-05,4,lin,128,1.0,64,A_true,3.114992869860935e-16,0.0,0.0,,-0.3162559908505322,main
1000,100,0.1,1e-05,4,lin,128,1.0,64,A_interval_grad,3.471267271470909e-17,0.0,0.0,,-0.2884106133456785,main
1000,100,0.1,1e-05,4,nl,128,1.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main
1000,100,0.1,1e-05,4,nl,128,1.0,64,A_interval_grad,6.891867425002349e-17,0.0,0.0,,-0.2259283012099138,main
1000,100,0.1,0.0001,8,lin,128,0.0,64,A_true,1.1092010984630632e-16,0.0,0.0,,-0.5730384348491298,main
1000,100,0.1,0.0001,8,lin,128,0.0,64,A_interval_grad,1.0052377515223268e-17,0.0,0.0,,-0.554838588803533,main
