model,task,precision,mode,radius_kind,radius_value,formula_version,source_path,used_in_main_paper,notes
roberta-large,sst-5,int8,dense,frozen_h_ref,0.0003923381435826731,frozen_main_tex_h_ref_sqrt_hq_hloc,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/hstar_components.csv,True,certified theoretical window
roberta-large,sst-5,int4,dense,frozen_h_ref,0.0015509397815746757,frozen_main_tex_h_ref_sqrt_hq_hloc,analysis/int4_sst5_calibrated_hstar_20260521_202225/hstar_components.csv,True,no tau=1 certificate
roberta-large,SST-2,int4,dense,legacy_hstar,0.0562750683889417,(Delta^2*G^2/(16*L^2*d*(d+2)))^(1/4),outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,RTE,int4,dense,legacy_hstar,0.0508038046485087,(Delta^2*G^2/(16*L^2*d*(d+2)))^(1/4),outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,MNLI,int4,dense,legacy_hstar,0.0589422065553909,(Delta^2*G^2/(16*L^2*d*(d+2)))^(1/4),outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,TREC,int4,dense,legacy_hstar,0.0619404354490004,(Delta^2*G^2/(16*L^2*d*(d+2)))^(1/4),outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,dense,legacy_hstar,0.0014831360079805,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,sparse_p0p1,legacy_hstar,0.0019403883896951,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,dense,legacy_hstar,0.0015509397815746,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,sparse_p0p1,legacy_hstar,0.0023055353516053,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,dense,legacy_hstar,0.0017056253106509,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,sparse_p0p1,legacy_hstar,0.0012314751799571,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,dense,legacy_hstar,0.0013127067362835,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,sparse_p0p1,legacy_hstar,0.0016522298376337,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,dense,legacy_hstar,0.0006975900432871,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,sparse_p0p1,legacy_hstar,0.0095261917556973,clean32_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,sparse_p0p1,legacy_hstar,0.0014044817337847,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,sparse_p0p1,legacy_hstar,0.0028127515046377,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,sparse_p0p1,legacy_hstar,0.001178016160561,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,sparse_p0p1,legacy_hstar,0.0010257183450845,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,sparse_p0p1,legacy_hstar,0.0017340692408006,rtnclip_int4_shared_grid_absG_median_1e-4_3e-4_1e-3,outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,sparse_p0p1,legacy_hstar,0.000458314754972,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,sparse_p0p1,legacy_hstar,0.0013388576857165,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,sparse_p0p1,legacy_hstar,0.0004352528589334,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,sparse_p0p1,legacy_hstar,0.0008531355897454,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,sparse_p0p1,legacy_hstar,0.0012135533363166,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,sparse_p0p1,legacy_hstar,0.000458314754972,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,sparse_p0p1,legacy_hstar,0.0013388576857165,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,sparse_p0p1,legacy_hstar,0.0004352528589334,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,sparse_p0p1,legacy_hstar,0.0008531355897454,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
