model,task,precision,perturbation_mode,layer,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,relative_disp_layer
roberta-large,sst-5,int4,dense,roberta.encoder.layer.0.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.019005847953216373,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.0.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.0.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.03654970760233918,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.0.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.029239766081871343,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.0.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02046783625730994,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.0.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03216374269005848,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.1.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.1.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.023391812865497075,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.1.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.1.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.021929824561403508,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.1.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03508771929824561,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.1.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.2.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.04093567251461988,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.2.attention.self.key.weight,1e-08,1.0,0.0,0.0,nan,0.017543859649122806,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.2.attention.self.value.weight,1e-08,1.0,0.0,0.0,nan,0.024853801169590642,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.2.attention.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.02631578947368421,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.2.intermediate.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03508771929824561,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.2.output.dense.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
roberta-large,sst-5,int4,dense,roberta.encoder.layer.3.attention.self.query.weight,1e-08,1.0,0.0,0.0,nan,0.03070175438596491,0.0,0.0,1.0,0.0,0.0,0.0
