model,task,precision,perturbation_mode,h,nMSE_loss,corr_loss,normalized_curve
roberta-large,sst-5,int4,dense,1e-08,,,
roberta-large,sst-5,int4,dense,3e-08,,,
roberta-large,sst-5,int4,dense,1e-07,,,
roberta-large,sst-5,int4,dense,3e-07,,,
roberta-large,sst-5,int4,dense,1e-06,,,
roberta-large,sst-5,int4,dense,3e-06,,,
roberta-large,sst-5,int4,dense,1e-05,,,
roberta-large,sst-5,int4,dense,3e-05,,,
roberta-large,sst-5,int4,dense,0.0001,,,
roberta-large,sst-5,int4,dense,0.0003,,,
roberta-large,sst-5,int4,dense,0.001,,,
roberta-large,sst-5,int4,dense,0.003,,,
roberta-large,sst-5,int4,dense,0.01,,,
roberta-large,sst-5,int4,dense,0.03,,,
roberta-large,sst-5,int4,dense,0.1,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-08,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-08,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-07,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-07,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-06,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-06,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-05,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-05,,,
roberta-large,sst-5,int4,sparse_p0p1,0.0001,,,
roberta-large,sst-5,int4,sparse_p0p1,0.0003,,,
roberta-large,sst-5,int4,sparse_p0p1,0.001,,,
roberta-large,sst-5,int4,sparse_p0p1,0.003,,,
roberta-large,sst-5,int4,sparse_p0p1,0.01,,,
roberta-large,sst-5,int4,sparse_p0p1,0.03,,,
roberta-large,sst-5,int4,sparse_p0p1,0.1,,,
roberta-large,sst-5,int8,dense,1e-08,,,
roberta-large,sst-5,int8,dense,3e-08,,,
roberta-large,sst-5,int8,dense,1e-07,,,
roberta-large,sst-5,int8,dense,3e-07,,,
roberta-large,sst-5,int8,dense,1e-06,,,
roberta-large,sst-5,int8,dense,3e-06,,,
roberta-large,sst-5,int8,dense,1e-05,,,
roberta-large,sst-5,int8,dense,3e-05,,,
roberta-large,sst-5,int8,dense,0.0001,,,
roberta-large,sst-5,int8,dense,0.0003,,,
roberta-large,sst-5,int8,dense,0.001,,,
roberta-large,sst-5,int8,dense,0.003,,,
roberta-large,sst-5,int8,dense,0.01,,,
roberta-large,sst-5,int8,dense,0.03,,,
roberta-large,sst-5,int8,dense,0.1,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-08,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-08,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-07,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-07,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-06,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-06,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-05,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-05,,,
roberta-large,sst-5,int8,sparse_p0p1,0.0001,,,
roberta-large,sst-5,int8,sparse_p0p1,0.0003,,,
roberta-large,sst-5,int8,sparse_p0p1,0.001,,,
roberta-large,sst-5,int8,sparse_p0p1,0.003,,,
roberta-large,sst-5,int8,sparse_p0p1,0.01,,,
roberta-large,sst-5,int8,sparse_p0p1,0.03,,,
roberta-large,sst-5,int8,sparse_p0p1,0.1,,,
