time,step,epoch,phase,metric,value,task,model,eps
2026-04-11 01:50:24,1,0.1,train,loss,11.1893,SST5,opt-1.3b,0.001
2026-04-11 01:50:24,1,0.1,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:24,1,0.1,train,epoch,0.1,SST5,opt-1.3b,0.001
2026-04-11 01:50:25,2,0.2,train,loss,14.2412,SST5,opt-1.3b,0.001
2026-04-11 01:50:25,2,0.2,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:25,2,0.2,train,epoch,0.2,SST5,opt-1.3b,0.001
2026-04-11 01:50:25,3,0.3,train,loss,10.8352,SST5,opt-1.3b,0.001
2026-04-11 01:50:25,3,0.3,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:25,3,0.3,train,epoch,0.3,SST5,opt-1.3b,0.001
2026-04-11 01:50:26,4,0.4,train,loss,12.4998,SST5,opt-1.3b,0.001
2026-04-11 01:50:26,4,0.4,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:26,4,0.4,train,epoch,0.4,SST5,opt-1.3b,0.001
2026-04-11 01:50:26,5,0.5,train,loss,17.1328,SST5,opt-1.3b,0.001
2026-04-11 01:50:26,5,0.5,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:26,5,0.5,train,epoch,0.5,SST5,opt-1.3b,0.001
2026-04-11 01:50:27,6,0.6,train,loss,21.21,SST5,opt-1.3b,0.001
2026-04-11 01:50:27,6,0.6,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:27,6,0.6,train,epoch,0.6,SST5,opt-1.3b,0.001
2026-04-11 01:50:28,7,0.7,train,loss,16.4282,SST5,opt-1.3b,0.001
2026-04-11 01:50:28,7,0.7,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:28,7,0.7,train,epoch,0.7,SST5,opt-1.3b,0.001
2026-04-11 01:50:28,8,0.8,train,loss,19.5962,SST5,opt-1.3b,0.001
2026-04-11 01:50:28,8,0.8,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:28,8,0.8,train,epoch,0.8,SST5,opt-1.3b,0.001
2026-04-11 01:50:29,9,0.9,train,loss,13.4807,SST5,opt-1.3b,0.001
2026-04-11 01:50:29,9,0.9,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:29,9,0.9,train,epoch,0.9,SST5,opt-1.3b,0.001
2026-04-11 01:50:29,10,1.0,train,loss,17.9932,SST5,opt-1.3b,0.001
2026-04-11 01:50:29,10,1.0,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:29,10,1.0,train,epoch,1.0,SST5,opt-1.3b,0.001
2026-04-11 01:50:30,11,1.1,train,loss,15.0164,SST5,opt-1.3b,0.001
2026-04-11 01:50:30,11,1.1,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:30,11,1.1,train,epoch,1.1,SST5,opt-1.3b,0.001
2026-04-11 01:50:31,12,1.2,train,loss,17.748,SST5,opt-1.3b,0.001
2026-04-11 01:50:31,12,1.2,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:31,12,1.2,train,epoch,1.2,SST5,opt-1.3b,0.001
2026-04-11 01:50:31,13,1.3,train,loss,9.0554,SST5,opt-1.3b,0.001
2026-04-11 01:50:31,13,1.3,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:31,13,1.3,train,epoch,1.3,SST5,opt-1.3b,0.001
2026-04-11 01:50:32,14,1.4,train,loss,16.0383,SST5,opt-1.3b,0.001
2026-04-11 01:50:32,14,1.4,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:32,14,1.4,train,epoch,1.4,SST5,opt-1.3b,0.001
2026-04-11 01:50:32,15,1.5,train,loss,13.7119,SST5,opt-1.3b,0.001
2026-04-11 01:50:32,15,1.5,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:32,15,1.5,train,epoch,1.5,SST5,opt-1.3b,0.001
2026-04-11 01:50:33,16,1.6,train,loss,15.4512,SST5,opt-1.3b,0.001
2026-04-11 01:50:33,16,1.6,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:33,16,1.6,train,epoch,1.6,SST5,opt-1.3b,0.001
2026-04-11 01:50:34,17,1.7,train,loss,17.9824,SST5,opt-1.3b,0.001
2026-04-11 01:50:34,17,1.7,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:34,17,1.7,train,epoch,1.7,SST5,opt-1.3b,0.001
2026-04-11 01:50:34,18,1.8,train,loss,14.3187,SST5,opt-1.3b,0.001
2026-04-11 01:50:34,18,1.8,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:34,18,1.8,train,epoch,1.8,SST5,opt-1.3b,0.001
2026-04-11 01:50:35,19,1.9,train,loss,12.5649,SST5,opt-1.3b,0.001
2026-04-11 01:50:35,19,1.9,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:35,19,1.9,train,epoch,1.9,SST5,opt-1.3b,0.001
2026-04-11 01:50:35,20,2.0,train,loss,17.3633,SST5,opt-1.3b,0.001
2026-04-11 01:50:35,20,2.0,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:35,20,2.0,train,epoch,2.0,SST5,opt-1.3b,0.001
2026-04-11 01:50:36,21,2.1,train,loss,13.1997,SST5,opt-1.3b,0.001
2026-04-11 01:50:36,21,2.1,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:36,21,2.1,train,epoch,2.1,SST5,opt-1.3b,0.001
2026-04-11 01:50:37,22,2.2,train,loss,12.7461,SST5,opt-1.3b,0.001
2026-04-11 01:50:37,22,2.2,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:37,22,2.2,train,epoch,2.2,SST5,opt-1.3b,0.001
2026-04-11 01:50:37,23,2.3,train,loss,15.0132,SST5,opt-1.3b,0.001
2026-04-11 01:50:37,23,2.3,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:37,23,2.3,train,epoch,2.3,SST5,opt-1.3b,0.001
2026-04-11 01:50:38,24,2.4,train,loss,18.1077,SST5,opt-1.3b,0.001
2026-04-11 01:50:38,24,2.4,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:38,24,2.4,train,epoch,2.4,SST5,opt-1.3b,0.001
2026-04-11 01:50:38,25,2.5,train,loss,15.491,SST5,opt-1.3b,0.001
2026-04-11 01:50:38,25,2.5,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:50:38,25,2.5,train,epoch,2.5,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,train,eval_loss,1.9423828125,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,train,eval_runtime,0.5572,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,train,eval_samples_per_second,229.724,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,train,eval_steps_per_second,28.716,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,train,epoch,2.5,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,eval,eval_loss,1.9423828125,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,eval,eval_runtime,0.5572,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,eval,eval_samples_per_second,229.724,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,eval,eval_steps_per_second,28.716,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,eval,epoch,2.5,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,eval,accuracy,0.1953125,SST5,opt-1.3b,0.001
2026-04-11 01:50:39,25,2.5,train_probe,accuracy,0.2375,SST5,opt-1.3b,0.001
2026-04-11 01:51:09,26,2.6,train,loss,12.2839,SST5,opt-1.3b,0.001
2026-04-11 01:51:09,26,2.6,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:09,26,2.6,train,epoch,2.6,SST5,opt-1.3b,0.001
2026-04-11 01:51:10,27,2.7,train,loss,15.8296,SST5,opt-1.3b,0.001
2026-04-11 01:51:10,27,2.7,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:10,27,2.7,train,epoch,2.7,SST5,opt-1.3b,0.001
2026-04-11 01:51:10,28,2.8,train,loss,15.1746,SST5,opt-1.3b,0.001
2026-04-11 01:51:10,28,2.8,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:10,28,2.8,train,epoch,2.8,SST5,opt-1.3b,0.001
2026-04-11 01:51:11,29,2.9,train,loss,14.5513,SST5,opt-1.3b,0.001
2026-04-11 01:51:11,29,2.9,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:11,29,2.9,train,epoch,2.9,SST5,opt-1.3b,0.001
2026-04-11 01:51:12,30,3.0,train,loss,16.8262,SST5,opt-1.3b,0.001
2026-04-11 01:51:12,30,3.0,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:12,30,3.0,train,epoch,3.0,SST5,opt-1.3b,0.001
2026-04-11 01:51:12,31,3.1,train,loss,10.9697,SST5,opt-1.3b,0.001
2026-04-11 01:51:12,31,3.1,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:12,31,3.1,train,epoch,3.1,SST5,opt-1.3b,0.001
2026-04-11 01:51:13,32,3.2,train,loss,15.8036,SST5,opt-1.3b,0.001
2026-04-11 01:51:13,32,3.2,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:13,32,3.2,train,epoch,3.2,SST5,opt-1.3b,0.001
2026-04-11 01:51:13,33,3.3,train,loss,15.2656,SST5,opt-1.3b,0.001
2026-04-11 01:51:13,33,3.3,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:13,33,3.3,train,epoch,3.3,SST5,opt-1.3b,0.001
2026-04-11 01:51:14,34,3.4,train,loss,20.5532,SST5,opt-1.3b,0.001
2026-04-11 01:51:14,34,3.4,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:14,34,3.4,train,epoch,3.4,SST5,opt-1.3b,0.001
2026-04-11 01:51:15,35,3.5,train,loss,17.4785,SST5,opt-1.3b,0.001
2026-04-11 01:51:15,35,3.5,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:15,35,3.5,train,epoch,3.5,SST5,opt-1.3b,0.001
2026-04-11 01:51:15,36,3.6,train,loss,10.3301,SST5,opt-1.3b,0.001
2026-04-11 01:51:15,36,3.6,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:15,36,3.6,train,epoch,3.6,SST5,opt-1.3b,0.001
2026-04-11 01:51:16,37,3.7,train,loss,9.3982,SST5,opt-1.3b,0.001
2026-04-11 01:51:16,37,3.7,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:16,37,3.7,train,epoch,3.7,SST5,opt-1.3b,0.001
2026-04-11 01:51:16,38,3.8,train,loss,18.2495,SST5,opt-1.3b,0.001
2026-04-11 01:51:16,38,3.8,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:16,38,3.8,train,epoch,3.8,SST5,opt-1.3b,0.001
2026-04-11 01:51:17,39,3.9,train,loss,16.9746,SST5,opt-1.3b,0.001
2026-04-11 01:51:17,39,3.9,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:17,39,3.9,train,epoch,3.9,SST5,opt-1.3b,0.001
2026-04-11 01:51:18,40,4.0,train,loss,14.7639,SST5,opt-1.3b,0.001
2026-04-11 01:51:18,40,4.0,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:18,40,4.0,train,epoch,4.0,SST5,opt-1.3b,0.001
2026-04-11 01:51:18,41,4.1,train,loss,18.3623,SST5,opt-1.3b,0.001
2026-04-11 01:51:18,41,4.1,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:18,41,4.1,train,epoch,4.1,SST5,opt-1.3b,0.001
2026-04-11 01:51:19,42,4.2,train,loss,16.5601,SST5,opt-1.3b,0.001
2026-04-11 01:51:19,42,4.2,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:19,42,4.2,train,epoch,4.2,SST5,opt-1.3b,0.001
2026-04-11 01:51:19,43,4.3,train,loss,12.6853,SST5,opt-1.3b,0.001
2026-04-11 01:51:19,43,4.3,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:19,43,4.3,train,epoch,4.3,SST5,opt-1.3b,0.001
2026-04-11 01:51:20,44,4.4,train,loss,17.7417,SST5,opt-1.3b,0.001
2026-04-11 01:51:20,44,4.4,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:20,44,4.4,train,epoch,4.4,SST5,opt-1.3b,0.001
2026-04-11 01:51:21,45,4.5,train,loss,17.0718,SST5,opt-1.3b,0.001
2026-04-11 01:51:21,45,4.5,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:21,45,4.5,train,epoch,4.5,SST5,opt-1.3b,0.001
2026-04-11 01:51:21,46,4.6,train,loss,9.9504,SST5,opt-1.3b,0.001
2026-04-11 01:51:21,46,4.6,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:21,46,4.6,train,epoch,4.6,SST5,opt-1.3b,0.001
2026-04-11 01:51:22,47,4.7,train,loss,10.918,SST5,opt-1.3b,0.001
2026-04-11 01:51:22,47,4.7,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:22,47,4.7,train,epoch,4.7,SST5,opt-1.3b,0.001
2026-04-11 01:51:22,48,4.8,train,loss,11.4692,SST5,opt-1.3b,0.001
2026-04-11 01:51:22,48,4.8,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:22,48,4.8,train,epoch,4.8,SST5,opt-1.3b,0.001
2026-04-11 01:51:23,49,4.9,train,loss,12.9939,SST5,opt-1.3b,0.001
2026-04-11 01:51:23,49,4.9,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:23,49,4.9,train,epoch,4.9,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,loss,14.5421,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,learning_rate,1e-06,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,epoch,5.0,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,eval_loss,1.849609375,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,eval_runtime,0.4109,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,eval_samples_per_second,311.547,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,eval_steps_per_second,38.943,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,train,epoch,5.0,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,eval,eval_loss,1.849609375,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,eval,eval_runtime,0.4109,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,eval,eval_samples_per_second,311.547,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,eval,eval_steps_per_second,38.943,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,eval,epoch,5.0,SST5,opt-1.3b,0.001
2026-04-11 01:51:24,50,5.0,eval,accuracy,0.21875,SST5,opt-1.3b,0.001
