task,h,train_loss_last,dev_loss,test_loss,dev_acc,test_acc
SST-2,1e-09,nan,nan,nan,0.44216778025241277,0.4908256880733945
SST-2,3e-09,nan,nan,nan,0.44216778025241277,0.4908256880733945
SST-2,1e-08,nan,nan,nan,0.44216778025241277,0.4908256880733945
SST-2,3e-08,nan,nan,nan,0.44216778025241277,0.4908256880733945
SST-2,1e-07,nan,nan,nan,0.44216778025241277,0.4908256880733945
SST-2,3e-07,nan,45.364933013916016,50.35849380493164,0.5578322197475872,0.5091743119266054
SST-2,1e-06,1.7835273742675781,0.6019873023033142,0.598393440246582,0.7073496659242762,0.6892201834862385
SST-2,3e-06,0.6623306274414062,0.2861979901790619,0.25776809453964233,0.9070527097253155,0.911697247706422
SST-2,1e-05,0.24749040603637695,0.2236456573009491,0.20193327963352203,0.9216035634743875,0.9277522935779816
SST-2,3e-05,0.24939441680908203,0.21920806169509888,0.1975274235010147,0.9226429101707498,0.9288990825688074
SST-2,0.0001,0.23387432098388672,0.2128652185201645,0.19480130076408386,0.9251670378619153,0.9311926605504587
SST-2,0.0003,0.2576780319213867,0.21507933735847473,0.1934075951576233,0.9244246473645137,0.9334862385321101
SST-2,0.001,0.2727694511413574,0.2133704572916031,0.19482505321502686,0.925909428359317,0.9323394495412844
SST-2,0.003,0.28876781463623047,0.21222902834415436,0.19107908010482788,0.9260579064587974,0.9334862385321101
SST-2,0.01,0.6718368530273438,0.8280417919158936,0.8938164710998535,0.5578322197475872,0.5091743119266054
sst-5,1e-09,nan,nan,nan,0.12763466042154567,0.1262443438914027
sst-5,3e-09,nan,nan,nan,0.12763466042154567,0.1262443438914027
sst-5,1e-08,nan,nan,nan,0.12763466042154567,0.1262443438914027
sst-5,3e-08,nan,nan,nan,0.12763466042154567,0.1262443438914027
sst-5,1e-07,nan,nan,nan,0.12763466042154567,0.1262443438914027
sst-5,3e-07,nan,nan,nan,0.12763466042154567,0.1262443438914027
sst-5,1e-06,nan,1.5671578645706177,1.5940825939178467,0.2997658079625293,0.248868778280543
sst-5,3e-06,1.5128173828125,1.2135010957717896,1.2025309801101685,0.4918032786885246,0.48823529411764705
sst-5,1e-05,0.9222335815429688,1.0748587846755981,1.0533088445663452,0.5199063231850117,0.5248868778280543
sst-5,3e-05,0.9742584228515625,1.0531409978866577,1.0537736415863037,0.5199063231850117,0.5271493212669683
sst-5,0.0001,0.974517822265625,1.0580774545669556,1.0397146940231323,0.5187353629976581,0.5339366515837104
sst-5,0.0003,0.9649124145507812,1.0521399974822998,1.0414745807647705,0.5175644028103045,0.5416289592760181
sst-5,0.001,0.9208755493164062,1.0471101999282837,1.0293712615966797,0.531615925058548,0.5475113122171946
sst-5,0.003,0.9810333251953125,1.0473164319992065,1.0313005447387695,0.5128805620608899,0.5438914027149321
sst-5,0.01,1.7671356201171875,1.6764545440673828,1.7086775302886963,0.275175644028103,0.2343891402714932
MNLI,1e-09,nan,nan,nan,0.3333333333333333,0.3273560876209883
MNLI,3e-09,nan,nan,nan,0.3333333333333333,0.3273560876209883
MNLI,1e-08,nan,nan,nan,0.3333333333333333,0.3273560876209883
MNLI,3e-08,nan,nan,nan,0.3333333333333333,0.3273560876209883
MNLI,1e-07,nan,nan,nan,0.3333333333333333,0.3273560876209883
MNLI,3e-07,nan,55.782596588134766,56.19268798828125,0.3333333333333333,0.3273560876209883
MNLI,1e-06,nan,1.1063854694366455,1.1065324544906616,0.3654952890247008,0.3617931737137035
MNLI,3e-06,1.20892333984375,0.9167878031730652,0.9166923761367798,0.6155334861217214,0.6105960264900663
MNLI,1e-05,0.5195503234863281,0.6834050416946411,0.6834513545036316,0.7215686274509804,0.7212429954151809
MNLI,3e-05,0.5807476043701172,0.7105558514595032,0.7062907218933105,0.715406162464986,0.7162506367804381
MNLI,0.0001,0.5619258880615234,0.70684814453125,0.703412652015686,0.7161191749427044,0.7155374426897606
MNLI,0.0003,0.5744667053222656,0.7111774682998657,0.7081111669540405,0.715100585688821,0.7113601630157922
MNLI,0.001,0.5902137756347656,0.7174781560897827,0.7140860557556152,0.7134453781512605,0.7118695873662761
MNLI,0.003,0.7391815185546875,0.8049827218055725,0.8042123913764954,0.6808759867583397,0.677840040753948
MNLI,0.01,1.2317352294921875,1.1218317747116089,1.1231595277786255,0.35454545454545455,0.35374426897605704
RTE,1e-09,nan,nan,nan,0.5020080321285141,0.5270758122743683
RTE,3e-09,nan,nan,nan,0.5020080321285141,0.5270758122743683
RTE,1e-08,nan,nan,nan,0.5020080321285141,0.5270758122743683
RTE,3e-08,nan,nan,nan,0.5020080321285141,0.5270758122743683
RTE,1e-07,nan,nan,nan,0.5020080321285141,0.5270758122743683
RTE,3e-07,nan,5.933799743652344,5.635028839111328,0.5020080321285141,0.5270758122743683
RTE,1e-06,0.675445556640625,0.6816141605377197,0.6851246953010559,0.5823293172690763,0.51985559566787
