task,setting,h,probe_mae,probe_rmse,dev_loss,dev_acc,test_loss,test_acc
SST-2,best_error,0.0003,0.6172447875142097,0.8189053164159588,0.21507933735847473,0.9244246473645137,0.1934075951576233,0.9334862385321101
SST-2,h=1e-03,0.001,1.6500073410570621,2.2514744673305707,0.2133704572916031,0.925909428359317,0.19482505321502686,0.9323394495412844
SST-2,h=1e-05,1e-05,20.174310263246298,24.210351883173946,0.2236456573009491,0.9216035634743875,0.20193327963352203,0.9277522935779816
SST-2,h=3e-05,3e-05,7.755904529243708,10.862686212910276,0.21920806169509888,0.9226429101707498,0.1975274235010147,0.9288990825688074
sst-5,best_error,0.0003,0.8295026160776615,1.1676663248696422,1.0521399974822998,0.5175644028103045,1.0414745807647705,0.5416289592760181
sst-5,h=1e-03,0.001,2.489144057035446,3.15616753484578,1.0471101999282837,0.531615925058548,1.0293712615966797,0.5475113122171946
sst-5,h=1e-05,1e-05,28.491494342684746,34.09997888883479,1.0748587846755981,0.5199063231850117,1.0533088445663452,0.5248868778280543
sst-5,h=3e-05,3e-05,8.906723631545901,10.853286020930682,1.0531409978866577,0.5199063231850117,1.0537736415863037,0.5271493212669683
MNLI,best_error,0.0003,0.5403205454349518,0.6170827281975626,0.7111774682998657,0.715100585688821,0.7081111669540405,0.7113601630157922
MNLI,h=1e-03,0.001,1.7178489714860916,2.2652355611848938,0.7174781560897827,0.7134453781512605,0.7140860557556152,0.7118695873662761
MNLI,h=1e-05,1e-05,18.614071428775787,23.582095987394883,0.6834050416946411,0.7215686274509804,0.6834513545036316,0.7212429954151809
MNLI,h=3e-05,3e-05,2.5824723541736603,3.5101786538911997,0.7105558514595032,0.715406162464986,0.7062907218933105,0.7162506367804381
RTE,best_error,0.0003,0.46452911337837577,0.5573488334943806,0.5216096043586731,0.7710843373493976,0.5236082673072815,0.7581227436823105
RTE,h=1e-03,0.001,2.0853033419698477,2.623884416511189,0.5260213613510132,0.7791164658634538,0.5281299352645874,0.7653429602888087
RTE,h=1e-05,1e-05,10.210507951676846,12.773578602252709,0.49586474895477295,0.7670682730923695,0.5115036368370056,0.7581227436823105
RTE,h=3e-05,3e-05,3.479461308568716,4.1022658229854905,0.4927992522716522,0.7710843373493976,0.49576109647750854,0.779783393501805
