source,h,acc,acc_column,source_file
fp32,1e-08,0.2588555858310627,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,3e-08,0.5302452316076293,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps3e-8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,1e-07,0.4948228882833788,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-7/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,3e-07,0.49936421435059036,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps3e-7/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,1e-06,0.5160762942779292,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-6/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,3e-06,0.51480472297911,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps3e-6/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,1e-05,0.5158946412352406,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-5/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,3e-05,0.5235240690281563,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps3e-5/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,0.0001,0.522252497729337,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-4/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,0.0003,0.5211625794732062,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps3e-4/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,0.001,0.5200726612170754,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-3/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,0.003,0.5046321525885559,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps3e-3/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp32,0.01,0.25340599455040874,eval_acc_last5_mean,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h-loss/sst5_bs32_hloss_eps1e-2/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
fp16,1e-06,0.2997658079625293,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,3e-06,0.4918032786885246,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,1e-05,0.5199063231850117,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,3e-05,0.5199063231850117,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,0.0001,0.5187353629976581,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,0.0003,0.5175644028103045,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,0.001,0.531615925058548,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,0.003,0.5128805620608899,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
fp16,0.01,0.275175644028103,eval_acc,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst-5-bs32-full-fp16-h-sweep-seed16/summary.jsonl
