h,h_loss_converged_eval_loss,old_full_dataset_eval_loss
1e-08,1.5935187578201293,
3e-08,1.0837263345718384,
1e-07,1.1081022500991822,
3e-07,1.1072967767715454,
1e-06,1.0721951007843018,1.5671578645706177
3e-06,1.0510124921798707,1.2135010957717896
1e-05,1.0623673439025878,1.0748587846755981
3e-05,1.045735764503479,1.0531409978866577
0.0001,1.049048376083374,1.0580774545669556
0.0003,1.0450361728668214,1.0521399974822998
0.001,1.0438325643539428,1.0471101999282837
0.003,1.0722573041915893,1.0473164319992065
0.01,1.674006962776184,1.6764545440673828
