global_step,eps,zo_two_point_precision,fd_mean,td_mean,mae,rmse,sign_acc,corr,probe_num_seeds
200,1e-05,fp32,-2.8569246530532837,-2.858949214220047,0.00893375277519226,0.011037762615730229,1.0,0.9999999819682104,16
400,1e-05,fp32,7.091835260391235,7.093262493610382,0.012495577335357666,0.014846543154177699,1.0,0.9999999244229014,16
600,1e-05,fp32,-4.461407423019409,-4.4612530171871185,0.011600524187088013,0.013736779881870886,1.0,0.9999998437285688,16
800,1e-05,fp32,11.501088619232178,11.505090177059174,0.01000744104385376,0.0120625444522038,1.0,0.9999999682241657,16
1000,1e-05,fp32,-7.925183296203613,-7.921416878700256,0.011594653129577637,0.013935703280174419,1.0,0.9999999604332892,16
1200,1e-05,fp32,3.6351382732391357,3.6351509988307953,0.013794273138046265,0.016268001750922807,1.0,0.9999998276544323,16
1400,1e-05,fp32,12.496486186981201,12.49003790691495,0.010825145989656448,0.013920612751684762,1.0,0.9999999228324095,16
1600,1e-05,fp32,12.008100748062134,12.012459337711334,0.006738126277923584,0.009153201466661053,1.0,0.999999961371364,16
1800,1e-05,fp32,-4.611909508705139,-4.619145184755325,0.015028446912765503,0.019713816489798707,1.0,0.9999998301814336,16
2000,1e-05,fp32,-4.926696538925171,-4.9237794280052185,0.014159977436065674,0.017894550323051366,1.0,0.9999999248437886,16
2200,1e-05,fp32,-4.7989182472229,-4.796211779117584,0.012410342693328857,0.014341670390557061,1.0,0.9999999330882932,16
2400,1e-05,fp32,16.17148494720459,4.528700515627861,19.264900043606758,23.205478228295686,0.75,0.9269401800198914,16
2600,1e-05,fp32,2.345070719718933,2.3448145985603333,0.007063329219818115,0.009828910468513054,1.0,0.9999999741971171,16
2800,1e-05,fp32,3.208965539932251,3.202545642852783,0.01436305046081543,0.016168451943506624,1.0,0.9999999544901543,16
3000,1e-05,fp32,13.343245267868042,13.342849671840668,0.0118064284324646,0.013242249169719287,0.9375,0.9999999250405354,16
3200,1e-05,fp32,6.611272573471069,6.612888276576996,0.008796870708465576,0.010565491130429245,1.0,0.999999964695317,16
3400,1e-05,fp32,31.087174892425537,31.085055977106094,0.01545986533164978,0.020000818381382242,1.0,0.9999996708738189,16
3600,1e-05,fp32,-5.124136805534363,-5.332300961017609,0.7407156825065613,1.1874782271644948,1.0,0.9998400367000307,16
