h,e_abs_mean,e_abs_std,corr_mean,corr_std,sign_match_mean,deltaL_mean,deltaL_std,delta_pred_mean,delta_pred_std
1e-08,15.100458320576754,8.509039278674537,0.026299438651613088,0.39991328128949877,0.4368811881188119,-1.829449493106049e-08,3.8348931550070897e-07,7.298687506449868e-10,1.754389893815397e-08
3e-08,5.423310833846754,2.915326328258332,0.033736805888735885,0.3881494569116199,0.4467821782178218,-1.7114204935508198e-08,4.0778783629269177e-07,-1.732689192961835e-10,6.348449067865313e-09
1e-07,1.6021056582254984,0.9819651186854045,-0.064981560546451,0.3540956071420664,0.422029702970297,1.829449493106049e-08,4.814153603758466e-07,3.3586110958351296e-10,2.0165250356733877e-09
3e-07,0.5768701252656525,0.3737876840346937,0.014484920965705063,0.39200927503618593,0.44925742574257427,-5.488348479318147e-08,4.118058265503811e-07,3.5561159068140264e-11,8.090196498771749e-10
1e-06,0.15664102333363303,0.08426688625472317,0.03914045250186052,0.3821552340509697,0.4542079207920792,1.8884639928836634e-08,4.564276564486942e-07,-8.6465925703681e-12,1.5848239476917608e-10
3e-06,0.05571307677860167,0.029066531001807182,-0.018372311454531366,0.3519186923170794,0.4306930693069307,-1.239304495329904e-08,4.778283093798583e-07,9.554393687706438e-13,4.9474129481261717e-11
1e-05,0.01690974693374935,0.010428658120613372,0.03133225953429202,0.3766477368887468,0.43564356435643564,-5.311304979985303e-08,4.129445743750999e-07,-4.0131001086070846e-13,1.8877130320296593e-11
3e-05,0.005705783567769854,0.0028325887622821333,0.23029179674446879,0.33408692585915056,0.551980198019802,0.0,4.206247035116517e-07,-3.2335002270882256e-12,6.153805325213854e-12
0.0001,0.0018568476667956062,0.0011821214726639234,0.5409855827180691,0.3320116036890974,0.6410891089108911,-4.544116482876315e-08,4.734836699899998e-07,-2.8970053033700858e-12,3.522329935459479e-12
0.0003,0.0006650183635712629,0.00036289226029777625,0.8697068337179236,0.08562932177319467,0.8304455445544554,1.7704349933284343e-09,4.977937457540711e-07,-2.739626517624334e-12,2.662546056120507e-12
0.001,0.0002216601979564428,0.00011120755551919093,0.9807759965088911,0.016682414534857668,0.931930693069307,8.262029968866028e-09,4.6507130559555277e-07,-2.8111862151649095e-12,2.7483952718640105e-12
0.003,8.568235505507169e-05,5.125770755749684e-05,0.9973902757493814,0.003226564650291434,0.9752475247524752,-3.0097394886583385e-08,4.24544413190527e-07,-2.8248791526160862e-12,2.746348467504698e-12
0.01,2.6994028838876653e-05,1.671327949724377e-05,0.9997586543556461,0.0002109610010261881,0.995049504950495,1.5343769942179765e-08,4.4641081372726304e-07,-2.827737213292299e-12,2.768065581744635e-12
