global_step,h,e_d_abs_mean,corr,sign_match,deltaL,delta_pred
0,0.01,1.03176881870237e-05,0.9998097322550936,1.0,-5.960464477539062e-07,-3.4163449297885976e-13
500,0.01,2.2868549117268446e-05,0.9995587666578243,1.0,1.1920928955078125e-07,-7.782222593672012e-13
1000,0.01,1.102927368218065e-05,0.9998983949927905,0.875,0.0,-6.722503779124577e-13
1500,0.01,1.5154701117282528e-05,0.9996223601733718,1.0,2.384185791015625e-07,-8.149096659732614e-13
2000,0.01,1.591344416407599e-05,0.9998904594959173,1.0,0.0,-3.4398867630961076e-13
2500,0.01,1.5434275260812836e-05,0.9997283720208889,1.0,-4.76837158203125e-07,-6.415195469385909e-13
3000,0.01,1.928878608607142e-05,0.999732083147239,1.0,-3.5762786865234375e-07,-9.709232527737431e-13
3500,0.01,1.2983306689816752e-05,0.9999244441111343,1.0,-1.1920928955078125e-07,-1.307800825912543e-12
4000,0.01,1.6691938705017627e-05,0.9998707925088672,1.0,-2.384185791015625e-07,-1.433162769125202e-12
4500,0.01,2.434709796742839e-05,0.9997634243403549,1.0,0.0,-1.807202895667828e-12
5000,0.01,1.5456851625858947e-05,0.999746667140177,1.0,-4.76837158203125e-07,-6.127186881405537e-13
5500,0.01,1.6681061132354e-05,0.9998546602655355,1.0,4.76837158203125e-07,-1.04377614192677e-12
6000,0.01,1.5568775083253937e-05,0.9999079488762465,1.0,-1.1920928955078125e-07,-1.1901370150178317e-12
6500,0.01,9.428880172647289e-06,0.9999561406929665,1.0,3.5762786865234375e-07,-1.5088917377244019e-12
7000,0.01,9.64068932783646e-06,0.9999506817703727,1.0,-1.1920928955078125e-07,-1.8682608402712704e-12
7500,0.01,5.960378522430038e-06,0.9999902663504736,1.0,-2.384185791015625e-07,-1.011678764386457e-12
8000,0.01,1.0717654144710444e-05,0.9999237533344346,0.875,-1.1920928955078125e-07,-1.0468470082778824e-12
8500,0.01,1.5892672000540056e-05,0.9998173299387821,1.0,2.384185791015625e-07,-1.6663089634511644e-12
9000,0.01,1.2810368333023676e-05,0.9997953811784482,1.0,0.0,-6.088110601422815e-13
9500,0.01,1.7275101909718355e-05,0.9997012268214317,1.0,-1.1920928955078125e-07,-6.212234062703925e-13
10000,0.01,2.37213482116127e-05,0.9998575458789286,1.0,-2.384185791015625e-07,-2.260496947504561e-12
10500,0.01,1.5654272467573436e-05,0.9999018022531411,1.0,0.0,-1.2877547749146428e-12
11000,0.01,1.117104691893296e-05,0.9998378308172495,1.0,-1.1920928955078125e-07,-3.206746262267905e-13
11500,0.01,1.6149014761820493e-05,0.9999384537365076,1.0,-5.960464477539062e-07,-1.7245275206999195e-12
12000,0.01,1.610635200338969e-05,0.9998892335495533,1.0,1.1920928955078125e-07,-9.279235574005064e-13
12500,0.01,1.9454647323310074e-05,0.9996979591543032,1.0,0.0,-1.7147640881142935e-12
13000,0.01,1.148257614231022e-05,0.9999546416186568,1.0,2.384185791015625e-07,-1.5208650829902868e-12
13500,0.01,1.7398758894482885e-05,0.9999169648644599,1.0,8.344650268554688e-07,-2.136506504133021e-12
14000,0.01,2.4448940535333298e-05,0.9996428335310695,1.0,-3.5762786865234375e-07,-1.0822644050348279e-12
14500,0.01,1.3465114618378801e-05,0.9999266594746191,1.0,4.76837158203125e-07,-1.6933255875267778e-12
15000,0.01,1.6846302485166968e-05,0.9998293724608996,1.0,-4.76837158203125e-07,-1.2038818056020019e-12
15500,0.01,2.1811418704780152e-05,0.9998686565511657,1.0,1.1920928955078125e-07,-2.1586197287921693e-12
16000,0.01,1.768528991408428e-05,0.9998825377030484,1.0,-2.384185791015625e-07,-1.9096846159849836e-12
16500,0.01,2.453420499188201e-05,0.9997642498040277,1.0,1.1920928955078125e-07,-2.285513036417009e-12
17000,0.01,1.4286869833439846e-05,0.9999550620501558,1.0,1.1920928955078125e-07,-1.99619558988488e-12
17500,0.01,1.735464445336396e-05,0.9998895500801589,1.0,5.960464477539062e-07,-2.216372593864122e-12
18000,0.01,1.512560173675461e-05,0.999871202384495,1.0,1.1920928955078125e-07,-1.1344850908363142e-12
18500,0.01,1.4939687724517539e-05,0.9998561279680444,1.0,1.1920928955078125e-07,-1.0246702954373409e-12
19000,0.01,3.1083586462515676e-05,0.9998123216374927,1.0,-1.1920928955078125e-07,-2.6579756689752977e-12
19500,0.01,2.229894909470302e-05,0.9990623403513523,1.0,-3.5762786865234375e-07,-4.312080491656872e-13
20000,0.01,6.901517378180473e-06,0.9999701797632637,1.0,4.76837158203125e-07,-9.847427833006305e-13
20500,0.01,7.765636193036448e-06,0.9999681062905578,1.0,-3.5762786865234375e-07,-2.195468607413755e-12
21000,0.01,1.3468092727312662e-05,0.9995973369089828,1.0,1.1920928955078125e-07,-1.6001158749685054e-12
21500,0.01,1.5283092644556112e-05,0.999872194603712,1.0,4.172325134277344e-07,-9.380125283796235e-13
22000,0.01,1.687152776707315e-05,0.9998744038163961,1.0,1.7881393432617188e-07,-1.81871383834141e-12
22500,0.01,1.6816438103212802e-05,0.9997323279503825,0.875,-1.1920928955078125e-07,-9.241508645225412e-13
23000,0.01,1.4910632586308329e-05,0.9999222070239094,1.0,-3.5762786865234375e-07,-1.3484363507293457e-12
23500,0.01,1.4177533040474143e-05,0.9998493458175085,1.0,3.5762786865234375e-07,-9.981360636180505e-13
24000,0.01,1.6387998014743904e-05,0.9995298603775453,1.0,-4.76837158203125e-07,-7.090888403571469e-13
24500,0.01,2.342673312670957e-05,0.9997019618755127,1.0,2.980232238769531e-07,-1.1351692995599497e-12
25000,0.01,2.8934854073522318e-05,0.9998125865544636,1.0,4.172325134277344e-07,-2.8560234500901216e-12
25500,0.01,1.7373432552507475e-05,0.9998288836226502,1.0,2.980232238769531e-07,-1.2345754701176801e-12
26000,0.01,2.559249233626496e-05,0.9996681983837807,1.0,3.5762786865234375e-07,-1.5868951269227856e-12
26500,0.01,2.3160645671009648e-05,0.9992086016275458,1.0,5.364418029785156e-07,-6.490976861265712e-13
27000,0.01,2.1860683640480378e-05,0.9998003720696323,1.0,-5.960464477539063e-08,-1.2436689137621496e-12
27500,0.01,2.8045459454546125e-05,0.999893545278767,1.0,-7.152557373046875e-07,-1.1383387269615922e-12
28000,0.01,1.8773804905566153e-05,0.9998961824477429,1.0,-1.7881393432617188e-07,-1.3712553875491818e-12
28500,0.01,1.9350630859391564e-05,0.9999283192997627,1.0,1.1920928955078125e-07,-2.618043176901495e-12
29000,0.01,2.6297918941052873e-05,0.9998579000329372,1.0,4.76837158203125e-07,-3.6913580403548465e-12
29500,0.01,2.148440914524046e-05,0.999783675976972,1.0,-1.1920928955078125e-07,-1.3891957165520318e-12
30000,0.01,1.5045243230133086e-05,0.999919707651812,1.0,2.980232238769531e-07,-2.4611716275701708e-12
30500,0.01,3.018016644846869e-05,0.9999162425199049,1.0,2.980232238769531e-07,-1.014770369787464e-12
31000,0.01,2.8058829780975107e-05,0.9995621201820066,1.0,1.7881393432617188e-07,-1.0712717120962859e-12
31500,0.01,1.1998972846167254e-05,0.9999375314181433,1.0,5.364418029785156e-07,-1.6836298108924866e-12
32000,0.01,2.938149257823869e-05,0.9997322222302343,1.0,-1.7881393432617188e-07,-1.9064924753452567e-12
32500,0.01,1.877953093871369e-05,0.999642878811409,1.0,2.980232238769531e-07,-8.127497184602142e-13
33000,0.01,1.835062997324738e-05,0.9997359396638679,1.0,2.980232238769531e-07,-9.53891778414353e-13
33500,0.01,2.7246308777653867e-05,0.9998194181910642,1.0,0.0,-2.2581079428075228e-12
34000,0.01,2.269739887246446e-05,0.9998829768503341,1.0,2.384185791015625e-07,-2.8847887327275673e-12
34500,0.01,2.9531926066994077e-05,0.9997192058690368,1.0,-1.7881393432617188e-07,-2.422094330932166e-12
35000,0.01,3.5787635045252266e-05,0.9996139873555528,1.0,4.76837158203125e-07,-2.283520013601979e-12
35500,0.01,2.094333733811128e-05,0.9997763812562973,1.0,4.172325134277344e-07,-9.927798030062302e-13
36000,0.01,2.9791355766655705e-05,0.9997791799266633,1.0,-5.364418029785156e-07,-3.5342073787840208e-12
36500,0.01,2.4440649081556762e-05,0.9999284464362049,1.0,-5.960464477539063e-08,-8.736560474873126e-12
37000,0.01,5.492755775825104e-05,0.9991948127454887,1.0,-8.344650268554688e-07,-2.649398654535187e-12
37500,0.01,3.586399637648793e-05,0.9998195627375522,1.0,-5.960464477539062e-07,-4.2889897520980505e-12
38000,0.01,3.443452007630662e-05,0.9998913608207965,1.0,-1.1920928955078125e-07,-7.82449029071724e-12
38500,0.01,4.339818639643195e-05,0.9998113768106314,1.0,5.960464477539062e-07,-6.975961894492481e-12
39000,0.01,4.489735855090949e-05,0.999813844084868,1.0,5.960464477539063e-08,-8.157979693539893e-12
39500,0.01,2.5542919242389273e-05,0.9998781159466287,1.0,0.0,-5.3057837720042586e-12
40000,0.01,3.788786536680344e-05,0.9993519897629441,1.0,2.980232238769531e-07,-2.9688998682444655e-12
40500,0.01,4.150641285685861e-05,0.9997987930602695,1.0,1.1920928955078125e-07,-3.6277373211491896e-12
41000,0.01,4.1530255388602834e-05,0.9998560847800118,1.0,2.384185791015625e-07,-6.253787195471086e-12
41500,0.01,5.0857412759062855e-05,0.9993469633719341,1.0,2.980232238769531e-07,-8.41048159619478e-12
42000,0.01,2.7133705430134174e-05,0.9999240212187999,1.0,-1.1920928955078125e-07,-5.66109560426895e-12
42500,0.01,3.7902547662824166e-05,0.9995660276216309,1.0,8.940696716308594e-07,-2.752527629383905e-12
