run_name,bitwidth,h,h_label,scale_refresh_k,status,steps_completed,seed,data_seed,batch_size,gpu_name,gpu_type_requested,fallback_used,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,best_eval_loss_step,last_eval_loss,last_eval_loss_step,final_train_loss,update_variant,perturbed_parameter_scope,quantized_forward_scope,active_frac,alignment,norm_ratio,delta_q_norm,ideal_displacement_norm,code_change_frac,delta_visibility_mse,delta_visibility_nmse,delta_visibility_rel_l2,lowbit_true_nmse,lowbit_true_corr,nMSE_metric_version,true_dir_lowbit,true_dir_lowbit_field_name,legacy_nMSE_fd_true,legacy_nMSE_computed,legacy_nMSE_excluded_from_main_selection,saturation_frac_w,saturation_frac_w_plus,saturation_frac_w_minus,weight_recon_mse,weight_recon_rel_mse,weight_recon_sqnr_db,corr_fd_true,nMSE_fd_true,fd_true_available,fd_true_mse,fd_true_nmse,fd_true_rmse,fd_true_bias,run_dir,resume_command,warnings
int4_g128_rtnclip_k1_h1e-5_seed16_bs64_ckpt1k,4,1e-05,1e-5,1,failed,5485,16,16,64,NVIDIA L4,L4,True,0.25995316159250587,4000,0.25995316159250587,5000,3.076780225409836,1000,51.313597775175644,5000,nan,standard,full_dense_all_trainable,Linear.weight_only,9.487193736860294e-05,0.009446626150080767,131.3203989819142,49.521352543532984,0.37710327509910996,9.487193736860294e-05,6.896527913686871e-06,17243.56612850692,131.3147597511678,17243.56612850692,0.009446626150080767,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.02838622752794428,0.028376220711277444,0.02837624058939129,0.0068756776538082,0.011270219795598118,19.48067614114976,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h1e-5_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane0.csv --only-run-name int4_g128_rtnclip_k1_h1e-5_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h1e-3_seed16_bs64_ckpt1k,4,0.001,1e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.47892271662763464,20000,0.47892271662763464,20000,1.355313231850117,20000,1.355313231850117,20000,1.4208984375,standard,full_dense_all_trainable,Linear.weight_only,0.1174089006656251,0.40740576622481367,2.185783819104757,82.43380692155087,37.713613853776046,0.1174089006656251,1.5987299693254887e-05,3.9966490405975614,1.9991620846238463,3.9966490405975614,0.40740576622481367,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.026101977474944808,0.026149718532775874,0.026146422170023848,1.96548108630689e-05,0.01292950554228508,18.884180833456835,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h1e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane0.csv --only-run-name int4_g128_rtnclip_k1_h1e-3_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h3e-5_seed16_bs64_ckpt1k,4,3e-05,3e-5,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.28337236533957844,3000,0.25995316159250587,20000,1.5931073441159251,3000,14.038842944964872,20000,14.09765625,standard,full_dense_all_trainable,Linear.weight_only,0.0002442432789505515,0.018776647369183126,47.81030843864328,54.09024858831077,1.1313511741443574,0.0002442432789505515,8.225638195473332e-06,2285.0301580571854,47.80198905963208,2285.0301580571854,0.018776647369183126,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.02833100800083743,0.028334858294274824,0.02833509176403702,0.003149415739461963,0.011277624686465416,19.477823626036013,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h3e-5_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane1.csv --only-run-name int4_g128_rtnclip_k1_h3e-5_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h1p5e-3_seed16_bs64_ckpt1k,4,0.0015,1p5e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.4168618266978923,19000,0.3747072599531616,20000,1.5062070038056206,19000,1.510467743706089,20000,1.53466796875,standard,full_dense_all_trainable,Linear.weight_only,0.17996887025980618,0.5059577699021062,1.8058427314946734,102.15803621459932,56.57083777724242,0.17996887025980618,2.19046556785889e-05,2.43370764864663,1.5600345023898126,2.43370764864663,0.5059577699021062,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.026091703639563917,0.02620692632349877,0.0262073086667476,1.9625521796514243e-05,0.012931822902163267,18.883402515658865,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h1p5e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane1.csv --only-run-name int4_g128_rtnclip_k1_h1p5e-3_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h1e-4_seed16_bs64_ckpt1k,4,0.0001,1e-4,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.3231850117096019,7000,0.20140515222482436,20000,1.5468292593676816,7000,1.6361492791276346,20000,1.61474609375,standard,full_dense_all_trainable,Linear.weight_only,0.007357852684099876,0.10527629043488111,7.816073588602217,29.475809911066488,3.771178658558403,0.007357852684099876,2.4176845807289224e-06,60.44531187473048,7.774658312410294,60.44531187473048,0.10527629043488111,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.027373646145244866,0.027375114258371556,0.027373966787652967,3.3421808279559105e-05,0.011903889362952433,19.243111181962593,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h1e-4_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane2.csv --only-run-name int4_g128_rtnclip_k1_h1e-4_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h2e-3_seed16_bs64_ckpt1k,4,0.002,2e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.45550351288056207,19000,0.4519906323185012,20000,1.4521896040690867,20000,1.4521896040690867,20000,1.560546875,standard,full_dense_all_trainable,Linear.weight_only,0.24149536206638972,0.5879342492504419,1.583238846456088,119.4160976353485,75.42519431142507,0.24149536206638972,2.6319172108020276e-05,1.6449645597761415,1.2825617177259507,1.6449645597761415,0.5879342492504419,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.026076350497410226,0.02629615088917631,0.026290075901402355,1.9602304239465885e-05,0.012932446570800435,18.883193071624117,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h2e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane2.csv --only-run-name int4_g128_rtnclip_k1_h2e-3_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h3e-4_seed16_bs64_ckpt1k,4,0.0003,3e-4,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.45784543325526933,18000,0.36533957845433257,20000,1.363192055766979,17000,1.455624725556206,20000,1.451171875,standard,full_dense_all_trainable,Linear.weight_only,0.03287273958813323,0.21466715044172172,3.932256551531697,44.48576576897935,11.31303748521883,0.03287273958813323,5.318030012498642e-06,14.774388969999421,3.8437467359334985,14.774388969999421,0.21466715044172172,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.02617477437490028,0.026181920876571105,0.02617761516808447,2.00705808129934e-05,0.012885047503770435,18.899139759809586,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h3e-4_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane3.csv --only-run-name int4_g128_rtnclip_k1_h3e-4_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h3e-3_seed16_bs64_ckpt1k,4,0.003,3e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.3430913348946136,15000,0.32786885245901637,20000,1.5639591261709602,15000,1.5760689585772834,20000,1.57275390625,standard,full_dense_all_trainable,Linear.weight_only,0.35347890301007256,0.7139261648940484,1.3358761731402666,151.13946199107912,113.13882606034637,0.35347890301007256,3.1576989334558935e-05,0.8771312439175236,0.9365528516413388,0.8771312439175236,0.7139261648940484,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.02607807174914633,0.02660345455763951,0.026598381023264266,1.9589515822542074e-05,0.012933238568172583,18.882927113010094,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h3e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane3.csv --only-run-name int4_g128_rtnclip_k1_h3e-3_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h4e-3_seed16_bs64_ckpt1k,4,0.004,4e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.3149882903981265,4000,0.275175644028103,20000,1.5574159287177987,19000,1.5693999743852458,20000,1.64453125,standard,full_dense_all_trainable,Linear.weight_only,0.4462586206818967,0.7985559754514626,1.2102726350895172,182.56399917084428,150.84534994657614,0.4462586206818967,3.4033802535692216e-05,0.5318189618953525,0.7292591870489892,0.5318189618953525,0.7985559754514626,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.026080583245083774,0.02703134145812876,0.027030073236453598,1.9578413605908343e-05,0.01293400238248524,18.882670633904407,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h4e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane4.csv --only-run-name int4_g128_rtnclip_k1_h4e-3_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h5e-3_seed16_bs64_ckpt1k,4,0.005,5e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.27049180327868855,4000,0.25995316159250587,20000,1.6029507281908666,1000,1.7209089578454333,20000,1.61083984375,standard,full_dense_all_trainable,Linear.weight_only,0.5205013945187628,0.8535534496956277,1.1405914845217529,215.07917792551365,188.5681077267508,0.5205013945187628,3.5385305774731775e-05,0.3538373418998331,0.5948422832144947,0.3538373418998331,0.8535534496956277,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.026074826166833456,0.027581909874829266,0.027592273426182333,1.9575751008323484e-05,0.01293411520379634,18.882632751230737,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h5e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane4.csv --only-run-name int4_g128_rtnclip_k1_h5e-3_seed16_bs64_ckpt1k,
int4_g128_rtnclip_k1_h1e-2_seed16_bs64_ckpt1k,4,0.01,1e-2,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.2576112412177986,5000,0.24004683840749413,20000,1.610170887002342,5000,1.6612677473653397,20000,1.7060546875,standard,full_dense_all_trainable,Linear.weight_only,0.7235799780584915,0.9516148773272913,1.0277878301970282,387.6035230270471,377.1240635849346,0.7235799780584915,4.009177457328358e-05,0.10023144399169709,0.3165934996042987,0.10023144399169709,0.9516148773272913,dequantized_effective_displacement_nmse_v1,delta_q_dequantized_fp32_over_2h,delta_q_dequantized_fp32_over_2h,,False,True,0.026075481411843272,0.032533249945399884,0.03255546838880878,1.9571282356730634e-05,0.012933896131458178,18.882706310737394,,,False,,,,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch/int4_g128_rtnclip_k1_h1e-2_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/lane_manifests/lane5.csv --only-run-name int4_g128_rtnclip_k1_h1e-2_seed16_bs64_ckpt1k,
