step,loss_plus,loss_minus,train_loss,d_h,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.62890625,1.68359375,1.65625,-18.229166666666668,True,0.36821553063147267,2.519688367843628,True,,,False
2,1.7568359375,1.650390625,1.70361328125,35.481770833333336,True,0.7166721876075752,0.3855915069580078,True,,,False
3,1.7587890625,1.6982421875,1.728515625,20.182291666666668,True,0.40761207755034257,0.3837113380432129,True,,,False
4,1.68359375,1.69140625,1.6875,-2.6041666666666665,True,0.0526003359874369,0.39268922805786133,True,,,False
5,1.6650390625,1.685546875,1.67529296875,-6.8359375,True,0.1380738393717202,0.38515162467956543,True,,,False
6,1.6904296875,1.6953125,1.69287109375,-1.6276041666666667,True,0.03286991086573598,0.3842785358428955,True,,,False
7,1.6318359375,1.72265625,1.67724609375,-30.2734375,True,0.6114311974502447,0.39113807678222656,True,,,False
8,1.6953125,1.6220703125,1.65869140625,24.4140625,True,0.493101142679691,0.38951539993286133,True,,,False
9,1.7080078125,1.69140625,1.69970703125,5.533854166666667,True,0.11176890716205892,0.3862481117248535,True,,,False
10,1.6953125,1.814453125,1.7548828125,-39.713541666666664,True,0.8020802475865579,0.3870382308959961,True,,,False
11,1.693359375,1.732421875,1.712890625,-13.020833333333334,True,0.26298053453654385,0.3986222743988037,True,,,False
12,1.578125,1.671875,1.625,-31.25,True,0.6311825753413652,0.38503551483154297,True,,,False
13,1.5693359375,1.5810546875,1.5751953125,-3.90625,True,0.07889330014094943,0.38702821731567383,True,,,False
14,1.66796875,1.626953125,1.6474609375,13.671875,True,0.2761370686352133,0.40151143074035645,True,,,False
15,1.73046875,1.5390625,1.634765625,63.80208333333333,True,1.2886475600876692,0.3905014991760254,True,,,False
16,1.5673828125,1.63671875,1.60205078125,-23.111979166666668,True,0.4668089427038598,0.3874931335449219,True,,,False
17,1.826171875,1.6845703125,1.75537109375,47.200520833333336,True,0.9533644704354225,0.3828275203704834,True,,,False
18,1.66796875,1.8134765625,1.74072265625,-48.502604166666664,True,0.9796061555092874,0.39342570304870605,True,,,False
19,1.7431640625,1.7197265625,1.7314453125,7.8125,True,0.1577950576163512,0.3845536708831787,True,,,False
20,1.6904296875,1.8076171875,1.7490234375,-39.0625,True,0.7889876171381028,0.3843369483947754,True,,,False
21,1.6279296875,1.748046875,1.68798828125,-40.0390625,True,0.808705996189759,0.3863840103149414,True,,,False
22,1.7080078125,1.76953125,1.73876953125,-20.5078125,True,0.41422686234597805,0.38848161697387695,True,,,False
23,1.69921875,1.845703125,1.7724609375,-48.828125,True,0.9861607525865602,0.38675761222839355,True,,,False
24,1.65234375,1.5986328125,1.62548828125,17.903645833333332,True,0.3616094186160866,0.3901641368865967,True,,,False
25,1.6123046875,1.7060546875,1.6591796875,-31.25,True,0.6311548839705386,0.3857913017272949,True,,,False
26,1.6904296875,1.67578125,1.68310546875,4.8828125,True,0.09862473536166183,0.3917877674102783,True,,,False
27,1.6513671875,1.689453125,1.67041015625,-12.6953125,True,0.2564041113077041,0.3854043483734131,True,,,False
28,1.6689453125,1.69140625,1.68017578125,-7.486979166666666,True,0.15121565224871242,0.3976767063140869,True,,,False
29,1.796875,1.6767578125,1.73681640625,40.0390625,True,0.8086543847926538,0.38581371307373047,True,,,False
30,1.568359375,1.5986328125,1.58349609375,-10.091145833333334,True,0.2038353296390264,0.38419485092163086,True,,,False
31,1.703125,1.736328125,1.7197265625,-11.067708333333334,True,0.22353249603686343,0.400982141494751,True,,,False
32,1.5986328125,1.6279296875,1.61328125,-9.765625,True,0.19723324032511405,0.384563684463501,True,,,False
33,1.6181640625,1.7412109375,1.6796875,-41.015625,True,0.8284067659562858,0.38534045219421387,True,,,False
34,1.677734375,1.650390625,1.6640625,9.114583333333334,True,0.18408810102067175,0.39226531982421875,True,,,False
35,1.66796875,1.6494140625,1.65869140625,6.184895833333333,True,0.12491590288537448,0.38584470748901367,True,,,False
