source_path,script_path,field_name,metric_definition_from_code,model,task,precision,mode,quantizer,checkpoint,batch,direction_seed,h,value,is_true_directional_mse,reason
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,1e-05,520.6148408606313,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,3e-05,131.6099831233774,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.0001,152.00736243338048,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.0003,7.878052618273031,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.001,5.71634754735968,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.0015,1.854662029725723,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.002,0.5421256760967027,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.003,0.7942113862009239,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.004,0.5531507315920412,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.005,0.7080436334674773,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,fd_true_nmse,"d_Q=(L(Q(w+hu))-L(Q(w-hu)))/(2h), d_star=grad L(w)^T u, normalized pooled squared error",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.01,0.8575605885759294,True,Code computes true gradient by backward and pools (d_h-d_true)^2 / d_true^2 over fixed directions.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,1e-05,227.48730165171165,False,This is displacement geometry and explains the old curve whose minimum was at large h.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,3e-05,75.61690445459944,False,This is displacement geometry and explains the old curve whose minimum was at large h.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.0001,22.455540795146923,False,This is displacement geometry and explains the old curve whose minimum was at large h.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.0003,7.200326225751041,False,This is displacement geometry and explains the old curve whose minimum was at large h.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.001,1.6856847057079023,False,This is displacement geometry and explains the old curve whose minimum was at large h.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.0015,0.8727439400897608,False,This is displacement geometry and explains the old curve whose minimum was at large h.
outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,tools/probe_int4_dense_fd_nmse.py,delta_visibility_nmse_mean,"quantized perturbation geometry / visibility only, e.g. Delta_Q/(2h) compared with u",roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,initial probe state,fixed probe batch from script,fixed by direction id,0.002,0.5148288770947979,False,This is displacement geometry and explains the old curve whose minimum was at large h.
