model,task,precision,quantizer,mode,raw_h_policy,h_value,hstar_cont,seed,run_type,steps,best_dev_acc,final_dev_acc,best_eval_step,source_path,run_name,policy,canonical_policy,metric,source_log
roberta-large,mnli,int4,G128_RTNClip,prefix,mezo_default,0.001,0.1059865385430891,16,full,20000.0,0.394270435446906,0.3332824038706392,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_mnli_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.1059865385430891,16,full,20000.0,0.3359052711993888,0.3332060096765979,10000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_mnli_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,prefix,hstar_cleanGL,0.1059865385430891,0.1059865385430891,16,full,20000.0,0.4210084033613445,0.4210084033613445,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_mnli_hstar_cleanGL_h0p105986538543_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,prefix,mezo_default,0.001,0.0886419832658425,16,full,20000.0,0.6120267260579064,0.5606533036377135,13000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.0886419832658425,16,full,20000.0,0.5529324424647365,0.4487008166295471,6000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,prefix,hstar_cleanGL,0.0886419832658425,0.0886419832658425,16,full,20000.0,0.8911655530809206,0.8911655530809206,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst2_hstar_cleanGL_h0p0886419832658_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,prefix,mezo_default,0.001,0.0804720147886286,16,full,20000.0,0.319672131147541,0.2599531615925058,5000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.0804720147886286,16,full,20000.0,0.275175644028103,0.2224824355971897,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small,fixed-small,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,prefix,hstar_cleanGL,0.0804720147886286,0.0804720147886286,16,full,20000.0,0.4250585480093676,0.4250585480093676,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst5_hstar_cleanGL_h0p0804720147886_seed16_full_bs64_step20k,frozen reference,precomputed analytical radius,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,prefix,mezo_default,0.001,0.0949896412434653,16,full,20000.0,0.2417582417582417,0.1556776556776556,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_trec_mezo_default_h1e-3_seed16_full_bs64_step20k,MeZO default,MeZO default,best_dev_acc,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
