model,task,precision,mode,quantizer,h,true_directional_nmse,true_directional_mse,directional_correlation,crossing_active_fraction,displacement_alignment,displacement_norm_ratio,interval_geometry_error,source_path,metric_definition,n_batches,n_directions
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,1e-05,18.152915362541084,8719.468482195416,0.1893296392459962,0.0209422971034823,0.1681932332250126,5.915127474055208,33.99896515641101,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,3e-05,16.543768060501403,3779.0640556688536,0.3477849884349784,0.0624878117769224,0.2915915692361752,3.402045087128496,10.589895540297968,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0001,2.5336192422767785,865.4748274548169,0.6221396810027171,0.2071681092781021,0.5321325258331466,1.8649281123837276,2.4931790569532,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0003,0.2569452116146749,127.19267842643508,0.9032791046462032,0.5198217487272035,0.8439962739293776,1.1789908309235035,0.3998916434409456,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.001,0.0640383636430435,14.916885651402405,0.9685803178599124,0.8279214080370224,0.9811201396207708,1.0150122656275018,0.0385519479314729,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0015,0.0184069803733316,6.52644552333603,0.991070451685224,0.8838019507269287,0.9908988965400416,1.0048571766591958,0.0183142104706841,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.002,0.0264212641548415,6.734152330033429,0.9846273389973168,0.9124408953473816,0.9943792421233278,1.001196871535674,0.0112564029332448,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.003,0.0633373361912936,16.960035501369003,0.9744932132615268,0.9414289122658028,0.9968572335927398,0.9984012422279916,0.0062780398117757,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.004,0.1724000355830656,34.01085142788154,0.9142740305235336,0.9560181421662718,0.9976942060553314,0.9972187180302268,0.0046064972990461,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.005,0.1542996353397276,69.6161074883063,0.9300371940393972,0.9647964847696788,0.9980506448651172,0.9964800161352688,0.0038973771670982,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
