d,Delta,G,L,n_dirs,h,A_true,envelope,rho_theory,rho_emp,vector_radius_error,V_dir,h_ref,W1_low,W1_high,W01_low,W01_high
1000,1e-05,1.0,0.1,256,1e-08,1.1181129428434984,250000.00200199903,250749.25074925082,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,3e-08,1.1181129428434984,27777.779779776825,27861.027861027906,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,1e-07,1.1181129428434984,2500.0020019994026,2507.49250749291,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,3e-07,1.1181129428434984,277.77977978038604,278.6102786138967,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,1e-06,1.1181129428434984,25.002002039081002,25.074925115125204,1.1235440567995765,1124.667600856376,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,3e-06,0.7348829316301682,2.7797801374987765,2.7861031479038654,0.7433541814918124,744.0975356733043,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,1e-05,0.08459737864729347,0.25200600700099873,0.25075327076123877,0.08525685252717398,85.34210937970116,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,3e-05,0.009334535907850671,0.02981584877877654,0.027897207968919976,0.00936910089005109,9.378469990941142,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.0001,0.000899479579752321,0.0049027990009987525,0.002909493706293707,0.0009068863317922784,0.9077932181240707,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.0003,0.0002967620573395884,0.00588697677877653,0.0038966210678210685,0.00029938286986618717,0.29968225273605337,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.001,0.0025423858537444908,0.042106999000998756,0.040225194805194826,0.002559472526382888,2.562031998909271,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.003,0.02266834865696553,0.3627247767787766,0.36180386502386513,0.022811948729246252,22.8347606779755,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.01,0.25189907951423324,4.010002249000999,4.0200122387612405,0.253499415633458,253.75291504909148,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.03,2.2671795248257283,36.07400202677878,36.18010791996894,2.28157745954923,2283.8590370087795,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.1,25.191077942800046,400.80200200150114,402.00119880370653,25.35105247474334,25376.403527218084,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,0.3,226.7199711038404,3607.202001999279,3618.010789211069,228.15974324294285,228387.9029861858,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,0.1,256,1.0,2519.110554333745,40080.00200199903,40200.11988011991,2535.1080200980855,2537643.1281181835,1001.0,0.00015803492474010034,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563
1000,1e-05,1.0,1.0,256,1e-08,1.1181129428434984,250000.02001999045,250749.25074925122,1.1235440567995765,1124.667600856376,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,3e-08,1.1181129428434984,27777.797797771407,27861.02786103149,1.1235440567995765,1124.667600856376,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,1e-07,1.1181129428434984,2500.020020030091,2507.4925075327087,1.1235440567995765,1124.667600856376,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,3e-07,1.1181129428434984,277.7977981285078,278.6102789720797,1.1235440567995765,1124.667600856376,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,1e-06,1.1181129428434984,25.020023998009993,25.074929094937076,1.1235440567995765,1124.667600856376,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
1000,1e-05,1.0,1.0,256,3e-06,0.7344361717685369,2.797833839787765,2.7861389662106784,0.7428995854447827,743.6424850302275,1001.0,4.997503120320104e-05,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977
