h,probe_MSE,corr,last5_eval_acc,last5_eval_acc_std,last10_eval_acc,last5_eval_loss,steps,seed,batch_size,source_path,metrics_csv,probe_csv
1e-8,170.421371983,0.954980384101,0.445,0.0169558249578,0.42875,1.31638531685,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-8/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-8/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-8/seed13/zo_directional_probe.csv
3e-8,27.3026155587,0.992249471094,0.4725,0.031024184115,0.44875,1.31783072948,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-8/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-8/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-8/seed13/zo_directional_probe.csv
1e-7,2.48024111685,0.999327117976,0.4525,0.0122474487139,0.43375,1.35715010166,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-7/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-7/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-7/seed13/zo_directional_probe.csv
3e-7,0.301471352686,0.999916994497,0.46,0.0165831239518,0.4575,1.29424226284,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-7/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-7/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-7/seed13/zo_directional_probe.csv
1e-6,0.0287345321915,0.999991971371,0.47,0.00612372435696,0.45625,1.32356362343,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-6/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-6/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-6/seed13/zo_directional_probe.csv
3e-6,0.578327835997,0.999965109768,0.4425,0.0244948974278,0.4425,1.32087333202,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-6/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-6/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-6/seed13/zo_directional_probe.csv
1e-5,5.54467277575,0.999220487491,0.445,0.012747548784,0.43625,1.31351718903,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-5/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-5/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-5/seed13/zo_directional_probe.csv
3e-5,0.0254040399438,0.999991138767,0.4425,0.01,0.43625,1.31559901237,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-5/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-5/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-5/seed13/zo_directional_probe.csv
1e-4,0.212520030991,0.999928393364,0.45,0.0111803398875,0.4375,1.31380271912,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-4/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-4/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-4/seed13/zo_directional_probe.csv
3e-4,1.64548745399,0.99929035808,0.45,0.0136930639376,0.43875,1.31253128052,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-4/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-4/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-4/seed13/zo_directional_probe.csv
1e-3,7.49138427055,0.99786620717,0.4475,0.0145773797371,0.4425,1.30586543083,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-3/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-3/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-3/seed13/zo_directional_probe.csv
3e-3,96.7578223494,0.969730408797,0.4,0.0273861278753,0.37875,1.4246070385,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-3/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-3/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-3/seed13/zo_directional_probe.csv
1e-2,1446.26980659,0.463044225343,0.2,0,0.2,1.77282431126,20000,13,32,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-2/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-2/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-2/seed13/zo_directional_probe.csv
