h,steps,seed,batch_size,best_eval_acc,last_eval_acc,dev_eval_acc,last_eval_loss,dev_eval_loss,last5_eval_loss,final_train_loss,final_train_acc,probe_mse,corr,sign_agreement,source_path
0.01,50001,16,32,0.275175644028103,0.275175644028103,0.275175644028103,1.657196283340454,1.6764545440673828,1.6661290645599365,1.7671356201171875,0.4375,237.384965285,-0.10857135106310702,0.5625,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-2/seed16/run_summary.json
0.001,50001,16,32,0.531615925058548,0.5234192037470726,0.531615925058548,1.0486705303192139,1.0471101999282837,1.0628020286560058,0.9208755493164062,0.71875,9.96139350801,0.9914627392434392,1.0,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-3/seed16/run_summary.json
0.0001,50001,16,32,0.5187353629976581,0.5187353629976581,0.5187353629976581,1.0580774545669556,1.0580774545669556,1.0670582056045532,0.974517822265625,0.625,5.27319215638,0.9957440870522719,0.9375,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-4/seed16/run_summary.json
1e-05,50001,16,32,0.5199063231850117,0.5105386416861827,0.5199063231850117,1.0984796285629272,1.0748587846755981,1.0937907218933105,0.9222335815429688,0.65625,1162.80856022,0.6723379298506403,0.75,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-5/seed16/run_summary.json
1e-06,50001,16,32,0.2997658079625293,0.12763466042154567,0.2997658079625293,nan,1.5671578645706177,27.938654899597168,nan,0.1875,10866878.8122,-0.286233215665249,0.3125,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-6/seed16/run_summary.json
1e-07,50001,16,32,0.12763466042154567,0.12763466042154567,0.12763466042154567,nan,,,nan,0.1875,829352493.563,-0.2639271193364925,0.4375,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-7/seed16/run_summary.json
1e-08,50001,16,32,0.12763466042154567,0.12763466042154567,0.12763466042154567,nan,,,nan,0.1875,,,,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-8/seed16/run_summary.json
1e-09,50001,16,32,0.12763466042154567,0.12763466042154567,0.12763466042154567,nan,,,nan,0.1875,,,,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h1e-9/seed16/run_summary.json
0.003,50001,16,32,0.5128805620608899,0.5128805620608899,0.5128805620608899,1.0473164319992065,1.0473164319992065,1.0858274936676025,0.9810333251953125,0.65625,137.871457464,0.8309955284528118,0.875,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-3/seed16/run_summary.json
0.0003,50001,16,32,0.5175644028103045,0.5175644028103045,0.5175644028103045,1.0522716045379639,1.0521399974822998,1.0642536640167237,0.9649124145507812,0.6875,1.36344464623,0.9987998466040832,1.0,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-4/seed16/run_summary.json
3e-05,50001,16,32,0.5199063231850117,0.5152224824355972,0.5199063231850117,1.0638736486434937,1.0531409978866577,1.0671082973480224,0.9742584228515625,0.625,117.793817452,0.9436677561327137,0.8125,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-5/seed16/run_summary.json
3e-06,50001,16,32,0.4918032786885246,0.2786885245901639,0.4918032786885246,1.5727767944335938,1.2135010957717896,1.5034779071807862,1.5128173828125,0.4375,7975.71197421,0.44043174771571164,0.75,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-6/seed16/run_summary.json
3e-07,50001,16,32,0.12763466042154567,0.12763466042154567,0.12763466042154567,nan,,,nan,0.1875,46861757.6008,0.579680307184015,0.75,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-7/seed16/run_summary.json
3e-08,50001,16,32,0.12763466042154567,0.12763466042154567,0.12763466042154567,nan,,,nan,0.1875,,,,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-8/seed16/run_summary.json
3e-09,50001,16,32,0.12763466042154567,0.12763466042154567,0.12763466042154567,nan,,,nan,0.1875,,,,medium_models/sh_file/sst5/bs32/h_precision_sweep_16/workspace/result/sst5_bs32_full_fp16_h3e-9/seed16/run_summary.json
