h,probe_MSE,corr,nan_loss_frac,last500_train_acc,last100_train_acc,last100_train_loss,last5_eval_acc,last5_eval_loss,update_scale_proxy_lr_abs_fd_over_h,sign_agreement,mean_abs_fd,seed,batch_size,steps,source_path,metrics_csv,probe_csv
1e-8,,nan,0.9995,0.32,0.3,1.62266540527,0.2,nan,,nan,,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-8/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-8/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-8/seed13/zo_directional_probe.csv
3e-8,,nan,0.999,0.32,0.3,1.88126373291,0.2,nan,,nan,,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-8/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-8/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-8/seed13/zo_directional_probe.csv
1e-7,2987432515.42,-0.044669377524,0.982,0.32,0.3,49.623301506,0.2,39.4027290344,12207.03125,0.375,1220.703125,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-7/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-7/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-7/seed13/zo_directional_probe.csv
3e-7,125992057.967,0.0112221605196,0.843,0.32,0.3,76.26875,0.2,33.7680393219,7010.9228817,0.508333333333,2103.27686451,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-7/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-7/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-7/seed13/zo_directional_probe.csv
1e-6,44604301.2564,0.11893962344,0,0.17,0.15,17.9581089973,0.2,16.9123760223,687.744849678,0.544375,687.744849678,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-6/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-6/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-6/seed13/zo_directional_probe.csv
3e-6,10684.6611735,0.667903440322,0,0.28625,0.278125,1.6708190918,0.1975,1.75993356705,7.739066588,0.73875,23.217199764,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-6/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-6/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-6/seed13/zo_directional_probe.csv
1e-5,227.621081835,0.944795021633,0,0.691875,0.70625,0.955082702637,0.4225,1.32202732563,0.976037979126,0.880625,9.76037979126,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-5/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-5/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-5/seed13/zo_directional_probe.csv
3e-5,36.7883066966,0.991117079686,0,0.73625,0.715625,0.900173187256,0.475,1.31100869179,0.303713503443,0.96125,9.11140510328,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-5/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-5/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-5/seed13/zo_directional_probe.csv
1e-4,10.7709688521,0.997265772859,0,0.7275,0.721875,0.927206420898,0.46,1.31680157185,0.0921077728271,0.983125,9.21077728271,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-4/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-4/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_1e-4/seed13/zo_directional_probe.csv
3e-4,2.23208005596,0.999057949832,0,0.731875,0.734375,0.933965301514,0.45,1.31557588577,0.0304906358201,0.995625,9.14719074603,13,32,20000,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-4/seed13,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-4/seed13/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp16/eps_3e-4/seed13/zo_directional_probe.csv
