run_name,precision_mode,zo_quantization,update_backend,direction_type,h,sparse_rate,h_active,sparse_mode,sparse_rescale,lr,steps_completed,final_train_loss,final_train_acc,final_eval_loss,final_acc,best_acc,nan_occurred
dense_bf16_h1e-2,bf16,fp32,direct_int8,dense,0.01,1.0,0.01,none,none,1e-05,301,1.8302001953125,0.171875,1.639345645904541,0.27985948477751754,0.27985948477751754,False
dense_bf16_h1e-3,bf16,fp32,direct_int8,dense,0.001,1.0,0.001,none,none,1e-05,301,1.58599853515625,0.265625,1.53264319896698,0.32786885245901637,0.32786885245901637,False
dense_bf16_h1e-5,bf16,fp32,direct_int8,dense,1e-05,1.0,1e-05,none,none,1e-05,301,1.7852783203125,0.125,1.5790549516677856,0.2903981264637002,0.2903981264637002,False
dense_fp32_h1e-2,fp32,fp32,direct_int8,dense,0.01,1.0,0.01,none,none,1e-05,301,1.8311944007873535,0.171875,1.6362956762313843,0.27985948477751754,0.27985948477751754,False
dense_fp32_h1e-3,fp32,fp32,direct_int8,dense,0.001,1.0,0.001,none,none,1e-05,301,1.5870813131332397,0.265625,1.5323407649993896,0.32786885245901637,0.32786885245901637,False
dense_fp32_h1e-5,fp32,fp32,direct_int8,dense,1e-05,1.0,1e-05,none,none,1e-05,301,1.5810317993164062,0.265625,1.532173991203308,0.3360655737704918,0.3360655737704918,False
dense_int8_fp16master_h1e-2,int8,int8,fp16_master,dense,0.01,1.0,0.01,none,none,1e-05,301,1.6390914916992188,0.1875,1.6347349882125854,0.2822014051522248,0.2822014051522248,False
dense_int8_fp16master_h3e-3,int8,int8,fp16_master,dense,0.003,1.0,0.003,none,none,1e-05,301,1.5600357055664062,0.296875,1.5292662382125854,0.33840749414519905,0.33840749414519905,False
dense_int8_fp16master_h3e-4,int8,int8,fp16_master,dense,0.0003,1.0,0.0003,none,none,1e-05,301,1.5494918823242188,0.234375,1.537841796875,0.35011709601873536,0.35011709601873536,False
sparse_int8_fp16master_p0p003_h0p0003286,int8,int8,fp16_master,sparse,0.0003286335345030997,0.003,0.006,bernoulli,inv_sqrt_p,1e-05,301,1.600006103515625,0.265625,1.5356215238571167,0.32435597189695553,0.32435597189695553,False
sparse_int8_fp16master_p0p01_h0p0012,int8,int8,fp16_master,sparse,0.0012,0.01,0.011999999999999999,bernoulli,inv_sqrt_p,1e-05,301,1.5981521606445312,0.28125,1.548799991607666,0.32669789227166274,0.32669789227166274,False
