sparse_rate,h_active,h_raw,lr,num_runs,mean_best_eval_acc,mean_last_eval_acc,mean_last_eval_loss,best_single_run,best_single_best_eval_acc,best_single_last_run,best_single_last_eval_acc,gpu_group
0.003,0.006,0.000328633534503,1e-05,1,0.339578454,0.329039813,1.517735958,sparse_int8_fp16master_p0p003_hactive0p006_lr1e-5_seed0_step500,0.339578454,sparse_int8_fp16master_p0p003_hactive0p006_lr1e-5_seed0_step500,0.329039813,l4
0.003,0.006,0.000328633534503,3e-05,1,0.311475410,0.217798595,1.630926132,sparse_int8_fp16master_p0p003_hactive0p006_lr3e-5_seed0_step500,0.311475410,sparse_int8_fp16master_p0p003_hactive0p006_lr3e-5_seed0_step500,0.217798595,l4
0.003,0.006,0.000328633534503,3e-06,1,0.279859485,0.279859485,1.587319493,sparse_int8_fp16master_p0p003_hactive0p006_lr3e-6_seed0_step500,0.279859485,sparse_int8_fp16master_p0p003_hactive0p006_lr3e-6_seed0_step500,0.279859485,l4
0.003,0.012,0.000657267069006,1e-05,1,0.327868852,0.322014052,1.530879259,sparse_int8_fp16master_p0p003_hactive0p012_lr1e-5_seed0_step500,0.327868852,sparse_int8_fp16master_p0p003_hactive0p012_lr1e-5_seed0_step500,0.322014052,l4
0.003,0.012,0.000657267069006,3e-05,1,0.295081967,0.271662763,1.608855367,sparse_int8_fp16master_p0p003_hactive0p012_lr3e-5_seed0_step500,0.295081967,sparse_int8_fp16master_p0p003_hactive0p012_lr3e-5_seed0_step500,0.271662763,l4
0.003,0.012,0.000657267069006,3e-06,1,0.268149883,0.268149883,1.587388873,sparse_int8_fp16master_p0p003_hactive0p012_lr3e-6_seed0_step500,0.268149883,sparse_int8_fp16master_p0p003_hactive0p012_lr3e-6_seed0_step500,0.268149883,l4
0.01,0.006,0.0006,1e-05,1,0.379391101,0.379391101,1.491253495,sparse_int8_fp16master_p0p01_hactive0p006_lr1e-5_seed0_step500,0.379391101,sparse_int8_fp16master_p0p01_hactive0p006_lr1e-5_seed0_step500,0.379391101,l4
0.01,0.006,0.0006,3e-05,1,0.324355972,0.249414520,1.590567350,sparse_int8_fp16master_p0p01_hactive0p006_lr3e-5_seed0_step500,0.324355972,sparse_int8_fp16master_p0p01_hactive0p006_lr3e-5_seed0_step500,0.249414520,h100
0.01,0.006,0.0006,3e-06,1,0.265807963,0.265807963,1.595859766,sparse_int8_fp16master_p0p01_hactive0p006_lr3e-6_seed0_step500,0.265807963,sparse_int8_fp16master_p0p01_hactive0p006_lr3e-6_seed0_step500,0.265807963,l4
0.01,0.012,0.0012,1e-05,1,0.354800937,0.354800937,1.523963809,sparse_int8_fp16master_p0p01_hactive0p012_lr1e-5_seed0_step500,0.354800937,sparse_int8_fp16master_p0p01_hactive0p012_lr1e-5_seed0_step500,0.354800937,h100
0.01,0.012,0.0012,3e-05,1,0.309133489,0.278688525,1.572042465,sparse_int8_fp16master_p0p01_hactive0p012_lr3e-5_seed0_step500,0.309133489,sparse_int8_fp16master_p0p01_hactive0p012_lr3e-5_seed0_step500,0.278688525,h100
0.01,0.012,0.0012,3e-06,1,0.277517564,0.277517564,1.591430068,sparse_int8_fp16master_p0p01_hactive0p012_lr3e-6_seed0_step500,0.277517564,sparse_int8_fp16master_p0p01_hactive0p012_lr3e-6_seed0_step500,0.277517564,h100
0.03,0.006,0.00103923048454,1e-05,1,0.332552693,0.332552693,1.542285442,sparse_int8_fp16master_p0p03_hactive0p006_lr1e-5_seed0_step500,0.332552693,sparse_int8_fp16master_p0p03_hactive0p006_lr1e-5_seed0_step500,0.332552693,a100
0.03,0.006,0.00103923048454,3e-05,1,0.339578454,0.194379391,1.703124404,sparse_int8_fp16master_p0p03_hactive0p006_lr3e-5_seed0_step500,0.339578454,sparse_int8_fp16master_p0p03_hactive0p006_lr3e-5_seed0_step500,0.194379391,a100
0.03,0.006,0.00103923048454,3e-06,1,0.248243560,0.248243560,1.606166244,sparse_int8_fp16master_p0p03_hactive0p006_lr3e-6_seed0_step500,0.248243560,sparse_int8_fp16master_p0p03_hactive0p006_lr3e-6_seed0_step500,0.248243560,a100
0.03,0.012,0.00207846096908,1e-05,1,0.329039813,0.329039813,1.545110464,sparse_int8_fp16master_p0p03_hactive0p012_lr1e-5_seed0_step500,0.329039813,sparse_int8_fp16master_p0p03_hactive0p012_lr1e-5_seed0_step500,0.329039813,a100
0.03,0.012,0.00207846096908,3e-05,1,0.340749415,0.247072600,1.581661940,sparse_int8_fp16master_p0p03_hactive0p012_lr3e-5_seed0_step500,0.340749415,sparse_int8_fp16master_p0p03_hactive0p012_lr3e-5_seed0_step500,0.247072600,a100
0.03,0.012,0.00207846096908,3e-06,1,0.256440281,0.256440281,1.616426468,sparse_int8_fp16master_p0p03_hactive0p012_lr3e-6_seed0_step500,0.256440281,sparse_int8_fp16master_p0p03_hactive0p012_lr3e-6_seed0_step500,0.256440281,a100
